"","NSub","Low_1","Low_2","Medium_1","Medium_2","High_1","High_2"
"1",1,-91.3636749998925,-108.096964166111,-78.8214941664023,-121.314272499423,-64.3909066665714,-91.0496608327833
"2",2,6.54332500037829,64.0923966670016,4.49435500067921,36.7021116668487,45.166904167157,14.2229883341012
"3",3,11.2804741673623,26.8855558340514,-28.9802324992498,-9.8939883327186,-75.2368133326627,-36.4350508325553
"4",4,1.23829083317824,-15.9536175001923,-180.884886363806,-215.981308333501,-217.0176708335,-238.438939166861
"5",5,-198.995666666895,-217.097987500203,-225.265426666904,-276.444325833541,-213.699573333592,-280.026061558191
"6",6,-83.9159591675297,-97.995460798112,-178.759830834171,-197.836885834424,-156.515558334559,-186.569970834648
"7",7,-54.5958475001148,-56.9611808334467,-108.4494758335,-64.0383150001336,-163.568445000153,-154.1370316668
"8",8,-8.1087149993285,8.89301239208122,-54.7383133325942,-20.5280755064258,-44.8826045645845,-33.2583794558244
"9",9,-32.1590150000702,44.6851208330524,-146.990897753771,-122.720339166919,-195.226026993057,-177.842236666963
"10",10,-177.530865000145,-159.180003333565,-160.725064166814,-222.896126666808,-192.146665000111,-182.270133007458
"11",11,-23.7745191668485,-36.957045833437,-89.8245008335285,-115.967055000071,-153.305888333527,-154.382729999914
"12",12,-108.443105000223,-46.7746300002223,-92.5436994205434,-141.755250000182,-50.6441683335765,-97.1889681160999
"13",13,16.6160658333865,-1.39672333322476,-14.0184433333009,23.7020599998838,21.097864166677,38.000011920267
"14",14,-200.030190000219,-193.81432536242,-282.770641413199,-325.252417500169,-277.359040000217,-324.903881377034
"15",15,-101.862984166905,-170.360540833498,-63.4351885147949,-129.25653750026,-66.488893442275,-131.551257500259
"16",16,-24.4471450001744,39.6858383332064,-27.906656558123,-11.6330108334324,-47.7833508334963,-9.78398916676991
