"","NSub","baseline2_Low_1","baseline2_Medium_1","baseline2_High_1","Encoding2_Low_1","Encoding2_Medium_1","Encoding2_High_1","Reproduction2_Low_1","Reproduction2_Medium_1","Reproduction2_High_1"
"1",1,-56.9744883333333,-50.3020291666667,-19.2455175,1.40524416666667,-13.0749825,-0.404539999999987,32.0799266666667,22.6679,24.0863891666667
"2",2,-42.0690258333333,-89.2268758333333,-69.7326575,-137.058871666667,-179.464676666667,-159.241100833333,-80.6603624637681,-75.3376458333333,-108.874268333333
"3",3,-110.725079166667,-83.1211558333333,-86.790095,-172.181210833333,-208.5831525,-217.842970833333,-125.32169,-172.713126666667,-175.8506875
"4",4,-19.813325,-20.1863808333333,-28.1887166666667,-18.8483016666667,12.1509225,5.74176916666666,-31.5887531884058,17.20933,-28.9205166666667
"5",5,36.1461525,66.1627238043478,34.5411258333333,-208.950461666667,-189.32739,-197.6567425,3.48109083333335,54.3169741666667,84.615635
"6",6,-31.7146275,-34.9982033333333,-23.1015525,-0.701992499999995,-23.3979091666667,-19.91479,-84.9191675,-120.12126,-121.386676666667
"7",7,-50.8405466666667,-23.84405,-52.533745,52.9098791666667,-98.1748375,-116.555343333333,59.8779391666667,9.80654166666666,-11.8644533333333
"8",8,-12.5923841666667,-21.47278,-8.96073250000001,-93.1703441666667,-67.2575683333333,-18.3930525,-154.758883333333,-205.631673333333,-194.127578333333
"9",9,-67.4978041666667,-75.6391544927536,-62.0359075,-99.8021075,-66.7824683333333,-104.195950833333,-37.1834891666667,-71.1924241666667,-56.7180416666667
"10",10,30.7949544202899,21.1775291304348,-30.134557173913,51.6812908333333,-64.8618366666667,-19.398945,35.0436566666667,-18.0097268115942,-19.0143758333333
"11",11,-55.3962966666667,-52.33434,-36.0078141666667,-24.4698391666667,-78.564075,-58.7604583333333,-50.1925483333333,-49.9018925,-114.611130833333
"12",12,0.563250833333335,-0.183779166666669,-11.9699275,-57.1292783333333,-52.4334433333333,-28.9109225,-66.72479,-102.128355,-91.9107091666667
"13",13,77.8914758333333,20.64051,50.8639433333333,8.60733833333333,-83.5965566666667,-98.4621058333333,-57.1986941666667,-64.8290166666667,-19.6168866666667
"14",14,68.956165,66.0245108333333,72.893955,10.3450508333333,3.33631333333334,9.61039916666668,35.2853466666667,50.8066016666667,17.0690508333333
"15",15,-80.041505,-93.0556133333333,-88.1098958333333,-161.784195,-126.5172425,-106.3839925,-150.044786666667,-150.052315833333,-146.060866666667
"16",16,-55.2734475,-100.183883333333,-75.01849,52.1370533333333,37.9208441666667,41.61147,-49.6888641666667,-55.8899783333333,-57.6488166666667
"17",17,-193.842248333333,-226.040235,-177.986848333333,-44.3293383333333,-131.575938333333,-130.448344166667,-41.378555,-57.9113541666667,-59.2803766666667
"18",18,-114.244295833333,-122.638613333333,-113.919436666667,-28.0000866666667,-125.794030833333,-211.244399166667,-52.1784725,-74.3345466666667,-62.4495516666667
