"","NSub","Low_1","Medium_1","High_1"
"1",1,-56.9744883333333,-50.3020291666667,-19.2455175
"2",2,-42.0690258333333,-89.2268758333333,-69.7326575
"3",3,-110.725079166667,-83.1211558333333,-86.790095
"4",4,-19.813325,-20.1863808333333,-28.1887166666667
"5",5,36.1461525,66.1627238043478,34.5411258333333
"6",6,-31.7146275,-34.9982033333333,-23.1015525
"7",7,-50.8405466666667,-23.84405,-52.533745
"8",8,-12.5923841666667,-21.47278,-8.96073250000001
"9",9,-67.4978041666667,-75.6391544927536,-62.0359075
"10",10,30.7949544202899,21.1775291304348,-30.134557173913
"11",11,-55.3962966666667,-52.33434,-36.0078141666667
"12",12,0.563250833333335,-0.183779166666669,-11.9699275
"13",13,77.8914758333333,20.64051,50.8639433333333
"14",14,68.956165,66.0245108333333,72.893955
"15",15,-80.041505,-93.0556133333333,-88.1098958333333
"16",16,-55.2734475,-100.183883333333,-75.01849
"17",17,-193.842248333333,-226.040235,-177.986848333333
"18",18,-114.244295833333,-122.638613333333,-113.919436666667
