"","NSub","mbias_6a_0.5_low","mbias_6a_0.5_medium","mbias_6a_0.5_high","mbias_6b_0.5_low","mbias_6b_0.5_medium","mbias_6b_0.5_high","mbias_6c_0.5_low","mbias_6c_0.5_medium","mbias_6c_0.5_high","mbias_6a_0.8_low","mbias_6a_0.8_medium","mbias_6a_0.8_high","mbias_6b_0.8_low","mbias_6b_0.8_medium","mbias_6b_0.8_high","mbias_6c_0.8_low","mbias_6c_0.8_medium","mbias_6c_0.8_high","mbias_6a_1.1_low","mbias_6a_1.1_medium","mbias_6a_1.1_high","mbias_6b_1.1_low","mbias_6b_1.1_medium","mbias_6b_1.1_high","mbias_6c_1.1_low","mbias_6c_1.1_medium","mbias_6c_1.1_high","mbias_6a_1.4_low","mbias_6a_1.4_medium","mbias_6a_1.4_high","mbias_6b_1.4_low","mbias_6b_1.4_medium","mbias_6b_1.4_high","mbias_6c_1.4_low","mbias_6c_1.4_medium","mbias_6c_1.4_high","mbias_6a_1.7_low","mbias_6a_1.7_medium","mbias_6a_1.7_high","mbias_6b_1.7_low","mbias_6b_1.7_medium","mbias_6b_1.7_high","mbias_6c_1.7_low","mbias_6c_1.7_medium","mbias_6c_1.7_high","cv_6a_0.5_low","cv_6a_0.5_medium","cv_6a_0.5_high","cv_6b_0.5_low","cv_6b_0.5_medium","cv_6b_0.5_high","cv_6c_0.5_low","cv_6c_0.5_medium","cv_6c_0.5_high","cv_6a_0.8_low","cv_6a_0.8_medium","cv_6a_0.8_high","cv_6b_0.8_low","cv_6b_0.8_medium","cv_6b_0.8_high","cv_6c_0.8_low","cv_6c_0.8_medium","cv_6c_0.8_high","cv_6a_1.1_low","cv_6a_1.1_medium","cv_6a_1.1_high","cv_6b_1.1_low","cv_6b_1.1_medium","cv_6b_1.1_high","cv_6c_1.1_low","cv_6c_1.1_medium","cv_6c_1.1_high","cv_6a_1.4_low","cv_6a_1.4_medium","cv_6a_1.4_high","cv_6b_1.4_low","cv_6b_1.4_medium","cv_6b_1.4_high","cv_6c_1.4_low","cv_6c_1.4_medium","cv_6c_1.4_high","cv_6a_1.7_low","cv_6a_1.7_medium","cv_6a_1.7_high","cv_6b_1.7_low","cv_6b_1.7_medium","cv_6b_1.7_high","cv_6c_1.7_low","cv_6c_1.7_medium","cv_6c_1.7_high","biasChange_6a_low","biasChange_6a_medium","biasChange_6a_high","biasChange_6b_low","biasChange_6b_medium","biasChange_6b_high","biasChange_6c_low","biasChange_6c_medium","biasChange_6c_high"
"1",1,0.22894115,0.138601145833333,0.1203011625,0.114625891666667,0.240282395833333,0.219599479166667,0.152309195833333,0.1926387375,0.143923054166667,0.0855828083333333,0.189612308333333,0.167298520833333,0.182241516666667,0.117645391666667,0.206956925,0.0234019249999999,0.137337533333333,0.202270616666667,-0.0217317000000001,0.100917804166667,0.024899,0.0766208166666666,0.0245520749999999,0.0716124958333333,0.0642674708333333,-0.0423956250000002,0.0439642166666665,-0.127384929166667,-0.174427058333333,-0.116774258333333,-0.0400441208333333,-0.0437226249999998,-0.0910428666666665,-0.195693333333333,-0.2660414375,-0.126698441666667,-0.158381108333333,-0.3200791125,-0.197747125,-0.173044470833333,-0.2254177375,-0.2866940875,-0.3291577,-0.273049354166667,-0.359687033333333,0.344436524166759,0.357322400542816,0.367745050868585,0.280983501771396,0.271289217310993,0.28177796215392,0.315838337245027,0.302003359302772,0.330881604858943,0.206181782642193,0.250445841140687,0.164650486607197,0.211536914732499,0.220048912940994,0.205409884442996,0.287585779705684,0.233937978496055,0.222736205881103,0.231644984385287,0.166702978003455,0.214241173457006,0.163354584338391,0.186327733062797,0.148047180366069,0.146570584020017,0.176930254703221,0.260934082640085,0.191634105863413,0.20420508830372,0.137479817381672,0.135600530254291,0.164688206809721,0.126020721207678,0.163933629487929,0.174957710503542,0.238265576286815,0.142760134256352,0.141062007678237,0.178620015405699,0.178281390735567,0.147973598514944,0.143873759811643,0.218669941029797,0.211215912289581,0.202404611139121,0.387322258333333,0.458680258333333,0.3180482875,0.2876703625,0.465700133333333,0.506293566666667,0.481466895833333,0.465688091666667,0.5036100875
"2",2,0.16160935,0.0956240625,0.111301791666667,0.08128675,0.164608304166667,0.0952838874999999,0.1066397875,0.0430355416666667,0.0453100708333334,-0.0113944500000001,-0.0303958750000001,-0.0283109375,0.0502758291666666,0.08461135,0.0982744333333333,0.0779859583333333,0.0426716374999999,0.0139669708333333,-0.101740479166667,-0.190096629166667,-0.158052675,-0.0203923000000001,-0.0983994875,-0.102067004166667,0.0293090249999999,-0.0726815291666667,-0.0290071958333333,-0.312046945833333,-0.293726770833333,-0.297408895833333,-0.241286695833333,-0.20106405,-0.283722575,-0.128715354166667,-0.1063571125,-0.1138544875,-0.421721833333333,-0.478728170833333,-0.4237347875,-0.273185395652174,-0.326444345833333,-0.352140083333333,-0.295564545833333,-0.352802916666667,-0.265078645833333,0.216655589907826,0.300129512064793,0.227751886864501,0.260191846066105,0.302825065613282,0.256067563156975,0.329523959419938,0.216404788017925,0.198169061387522,0.22871615147525,0.263336291900447,0.260093951282324,0.251881853606675,0.172920713448592,0.244270210891047,0.207638188970282,0.232145412558294,0.282570494440202,0.200908193333022,0.189637070242904,0.290635160909769,0.169156885408151,0.212915177949452,0.261787219866271,0.143119909280303,0.18857060824082,0.150366543666537,0.180964771797201,0.197687071144025,0.137791964910927,0.189254106847961,0.163761493889167,0.16150151878604,0.13516376984295,0.127880426223023,0.154938764466304,0.207135252522364,0.195444451003428,0.117628222813785,0.205807795967069,0.172773405957885,0.169188059217183,0.115117574400815,0.130606442604534,0.139564371930548,0.583331183333333,0.574352233333333,0.535036579166667,0.354472145652174,0.49105265,0.447423970833333,0.402204333333333,0.395838458333333,0.310388716666667
"3",3,0.2399286875,0.209953454166667,0.2219621625,0.156621679166667,0.161269466666667,0.12230315,0.112615058333333,0.162239566666667,0.132977320833333,0.070945575,0.0666264375,0.0375972083333332,0.0999678291666666,0.00564230416666667,0.0656110833333333,0.0552697458333333,0.0459748416666667,0.0822516999999999,-0.0946903291666668,-0.154707075,-0.244017308333333,-0.120431754166667,-0.148355004166667,-0.151391083333333,-0.0397211541666667,-0.0643820041666667,-0.0400829041666668,-0.474398083333333,-0.447719020833333,-0.480047720833333,-0.2507003,-0.3607283125,-0.32073055,-0.256740995833333,-0.198406566666667,-0.230719366666666,-0.602691904166667,-0.717069558333333,-0.624709195833333,-0.512065904166667,-0.5213940875,-0.5950460375,-0.42504805,-0.361031616666667,-0.378377225,0.306095756653685,0.237550688051315,0.296724749833808,0.309124981419771,0.195950504111528,0.258165448563551,0.29067370111804,0.288773666403265,0.225812292681299,0.192394341121092,0.191420970446999,0.249344456748039,0.174337449749618,0.226131645364133,0.20372846194724,0.173588294485385,0.175682688477439,0.129674515899004,0.205614539355157,0.218869212124203,0.18414338208873,0.191258667470154,0.172992311481678,0.239985545051877,0.175972543430145,0.146661873409129,0.139376499242702,0.267408579820671,0.213512004409384,0.205253705105943,0.197222135410663,0.171755279738938,0.162977303541485,0.152914329065369,0.203036555896481,0.12814598287754,0.2018029012207,0.221373182934869,0.196180531026177,0.180481590706551,0.198252056709675,0.196900339287921,0.137261928545007,0.136426959886783,0.141560373252229,0.842620591666666,0.9270230125,0.846671358333333,0.668687583333333,0.682663554166667,0.7173491875,0.537663108333333,0.523271183333333,0.511354545833333
"4",4,0.000290733333333293,0.089963875,0.0576453625,0.00649762173913049,0.0596237125,0.0239658666666667,0.176634008333333,0.19829025,0.251720645833333,0.152606425,0.1686360875,0.204267808333333,0.0885846916666666,0.131282254166667,0.150297654166667,0.0644639791666666,0.141883583333333,0.0622288208333333,-0.0120551333333334,-0.0203894666666669,-0.0277182625000001,0.0169456333333333,0.0225944041666666,-0.0580629833333335,-0.0313914875000001,-0.0226513625,-0.0326827791666668,-0.0570473833333331,0.0249665000000001,0.00625542916666677,-0.0687550083333333,0.0376171916666668,-0.0477266458333332,-0.1660591625,-0.137074920833333,-0.138530975,-0.17803615,-0.202422383333333,-0.211741491666667,-0.201216704347826,-0.1650709125,-0.213076475,-0.1427139625,-0.281379454166667,-0.283679295833333,0.135644185431081,0.337298354175938,0.192904425961595,0.149850659236726,0.229777729226395,0.254988124120439,0.288543944715861,0.318470414059481,0.298646118298767,0.162412352137429,0.156043066917517,0.113415107217468,0.193777754483658,0.181227768116336,0.183441494070992,0.148713923443299,0.189136085224037,0.209570343729187,0.134560566757251,0.143503853533502,0.136920485650899,0.148008400720749,0.24168199335418,0.198607620726065,0.189654880243261,0.236614682828358,0.176515434620639,0.209534988397515,0.170868626918804,0.148888087582669,0.183648240220753,0.11870934693279,0.136958091929206,0.250885965931441,0.162785372961229,0.240970164773062,0.0533861189205844,0.105774766836436,0.079211951117376,0.122913055404075,0.144638290419265,0.138348403618794,0.212768224276732,0.182873679364984,0.178915404536502,0.178326883333333,0.292386258333333,0.269386854166667,0.207714326086957,0.224694625,0.237042341666667,0.319347970833333,0.479669704166667,0.535399941666667
"5",5,0.0549693041666667,0.204606820833333,0.2139507125,0.333278066666667,0.417594804166667,0.4146432375,0.174053483333333,0.164823156521739,0.129590720833333,-0.0127611000000001,-0.0453833666666668,-0.0267394041666668,0.225659733333333,0.0749087583333333,0.0962816875,0.0713922791666666,0.148970491666667,0.174327529166667,-0.1487348375,-0.234084283333333,-0.225054416666667,-0.0330341291666667,0.0842260291666665,0.0883034375,0.0580267541666666,0.165013229166667,0.0920148916666665,-0.349079941666667,-0.343699875,-0.391077979166667,-0.1670612375,0.00127282500000003,-0.0220609458333332,-0.0933430166666667,-0.0473783416666667,-0.0116145749999998,-0.589145733333333,-0.528076245833333,-0.559362625,-0.341436979166667,-0.306417545833333,-0.154089241666667,-0.0293987375,-0.100614916666667,-0.2116129375,0.442821765694358,0.380127085144946,0.38747194488989,0.343012936673456,0.298024856047593,0.388994235873332,0.301831466113611,0.299038087647963,0.368718407917059,0.242177003192938,0.259657684519015,0.249541263006064,0.296838171104534,0.377716005866657,0.314670816057707,0.305119213858905,0.180113652477612,0.276529463782355,0.205249416809014,0.246735527939062,0.246355840503217,0.246871970451738,0.196679511450068,0.309477427327058,0.194231690973041,0.26703755039001,0.159188870163622,0.234835213953494,0.312294385698656,0.246981588924711,0.259194734506192,0.209922119783839,0.251610371105314,0.220527272126867,0.226492879851721,0.244733959499527,0.371085794667147,0.318894730764116,0.335821416930915,0.259754016253667,0.219629174011539,0.18210530171595,0.179265529966119,0.194963190880475,0.269155652681257,0.6441150375,0.732683066666667,0.7733133375,0.674715045833333,0.72401235,0.568732479166667,0.203452220833333,0.265438073188406,0.341203658333333
"6",6,0.0769835791666666,0.091635875,0.0539693208333334,0.133628075,0.0696243291666667,0.0616383541666666,0.0166378041666667,0.0616333041666667,0.0723173541666666,0.0646294541666667,0.0182223833333333,0.0372858583333333,0.0375987833333333,0.0229388625,-0.0357425375,0.0305914458333333,-0.00438889583333335,0.0322848625,0.0582969375,0.0376283249999998,0.0479491208333331,-0.0910473583333333,-0.146031066666667,-0.109061470833333,0.0452962625,0.0635631041666667,0.0536037666666667,-0.0200476833333332,-0.0440717791666665,0.00562159166666687,-0.210403129166667,-0.2514346375,-0.216389283333333,-0.0670626749999998,-0.0747319916666667,-0.0720117666666666,-0.18337225,-0.22040435,-0.244399841666667,-0.294372208333333,-0.2957037875,-0.307378445833333,-0.184035975,-0.2210665375,-0.201701979166667,0.212863290844633,0.274091137101119,0.177355995707845,0.199292280752361,0.236651230365152,0.232534980718186,0.303448022593005,0.236285803909712,0.344612054360737,0.202475354380649,0.228985941201251,0.223777846610157,0.181739742215083,0.157442816805007,0.192285749665707,0.174726035963423,0.215890339129433,0.256640739940835,0.135355582391139,0.161641828261832,0.140529076266103,0.241598249951766,0.219135668485462,0.238130970545307,0.167102921423453,0.115162954952773,0.142880567795292,0.123731108456746,0.116052214066828,0.0961120951594474,0.223458014159417,0.173120968284318,0.182478214983124,0.161685502554885,0.129858777648716,0.133819550712154,0.108002253894428,0.120530933745027,0.114034976497453,0.163117624667474,0.161127368432568,0.146582676883614,0.123587551126431,0.121744700933833,0.115436667178583,0.260355829166667,0.312040225,0.2983691625,0.428000283333333,0.365328116666667,0.3690168,0.200673779166667,0.282699841666667,0.274019333333333
"7",7,0.17418705,0.1442792125,0.1793068375,0.0879483375,0.0852704541666667,0.0436212791666667,0.0532889583333334,0.0756307833333333,0.0916357875,0.16870885,0.024614975,0.0174879625,0.120950958333333,0.0399665749999999,0.1092544125,0.0993099333333333,0.151277945833333,0.111514754166667,0.145279741666667,-0.158708275,-0.196071083333333,0.0802438249999999,0.0632151583333331,0.0812639583333332,-0.0220080041666668,0.0376150916666667,-0.0380177791666667,-0.0534325874999999,-0.297988683333333,-0.301471229166667,0.0192645791666668,-0.0540231874999999,-0.106399229166667,-0.0953679083333332,-0.0976962625,-0.178400341666667,-0.170193658333333,-0.203071416666667,-0.282029204166667,-0.00901800416666654,-0.0853962916666666,-0.1870626875,-0.2894257125,-0.286047808333333,-0.249401145833333,0.304773241904588,0.300387200740121,0.39969683942749,0.239582026115964,0.2658803007869,0.341744483010028,0.25573932705044,0.265744604806856,0.324674841667641,0.291732520520162,0.247316275813524,0.372254896563272,0.203279784388923,0.181038974486976,0.212844298642993,0.198991383864623,0.157031658402602,0.189752795634532,0.239870859325146,0.223611707133913,0.232773617724121,0.202938264412802,0.268867698891251,0.205507970038602,0.186567493653562,0.179585479430934,0.170142521406455,0.268495593111216,0.241803891942049,0.242671771179968,0.133921727248183,0.144125153576834,0.189487842924316,0.134844938709572,0.172532799123464,0.183381689304174,0.187929466350985,0.213855383525251,0.238243478565407,0.177317712523741,0.153057710868068,0.12152943622212,0.215667154548565,0.23286592125672,0.16378289636623,0.344380708333333,0.347350629166666,0.461336041666667,0.0969663416666665,0.170666745833333,0.230683966666667,0.342714670833333,0.361678591666667,0.341036933333333
"8",8,0.0609585708333333,0.111639820833333,0.1569248875,0.1309754375,0.0849684458333333,0.0265906208333333,0.0483485958333333,0.0342586125,0.0381069625,-0.0417051083333334,0.0166226583333333,0.167253883333333,-0.0436726000000001,-0.0513641958333334,-0.000703654166666734,0.0458003583333333,0.0785981708333333,0.0413075875,-0.0557250541666667,-0.0281230375000001,-0.110373454166667,-0.1607176625,-0.152706879166667,-0.1533728,-0.0517336083333333,0.0108845708333332,0.0840327041666666,-0.268993766666667,-0.170724425,-0.170378770833333,-0.243032370833333,-0.377016545833333,-0.354705579166667,-0.08002965,-0.0990539083333333,-0.172213795833333,-0.1603863625,-0.265702858333333,-0.135391808333333,-0.457347220833333,-0.532039191666667,-0.488446479166667,-0.0253476166666666,-0.132051345833333,-0.0360371208333332,0.262764645286596,0.334922167747945,0.273124934333905,0.292702466518461,0.284545834063841,0.140000098062969,0.157036007422655,0.171831579122118,0.17540483752418,0.291791805379796,0.238009194616392,0.248773511699689,0.295279011609531,0.257373409763057,0.287362512604685,0.267870845905927,0.259324439033611,0.231913028142285,0.234910460410121,0.2510502792383,0.209230204988901,0.283568637836513,0.185427120313209,0.247783711099443,0.21716436472087,0.176433662104623,0.111456882353257,0.332389425434521,0.242208302235975,0.181669119962971,0.126964096427027,0.226968954881302,0.16742594686223,0.174899085045346,0.242036746047593,0.192427990196375,0.139525212488866,0.228423595465749,0.131916600928025,0.255494157143922,0.248825221356256,0.292770891655827,0.101519572869071,0.209137846847833,0.119700164875704,0.221344933333333,0.377342679166667,0.292316695833333,0.588322658333333,0.6170076375,0.5150371,0.0736962124999999,0.166309958333333,0.0741440833333332
"9",9,0.045337,0.0602714583333334,0.2463371875,0.134945979166667,0.1063032625,0.0809944916666667,0.0979717666666666,0.0696589208333334,0.0696607958333333,0.0400394208333332,0.0317099958333333,0.00249123749999991,0.0969654,0.0646086749999999,0.0775865208333333,0.0449809874999999,0.0939535608695652,0.0899910708333332,-0.0574145416666667,-0.029690725,-0.1449320125,0.0396191333333333,-0.0473996291666667,-0.0177164208333334,-0.00903134166666675,-0.0780417083333333,-0.0343845083333334,-0.211251058333333,-0.1237260875,-0.242541954166667,-0.167037775,-0.155058779166667,-0.127381129166667,-0.230710879166667,-0.173700941666667,-0.213429766666667,-0.315721358333333,-0.272476983333333,-0.3823342125,-0.290410183333333,-0.32441565,-0.297073670833333,-0.240699554166667,-0.290065604166667,-0.222017129166667,0.282422742270517,0.216946294757778,0.371608408629842,0.21312990512672,0.316426338585676,0.243871734919037,0.246150003917993,0.180610718509847,0.219187053124691,0.278718798802351,0.307133363022118,0.298229730410077,0.196471490511349,0.166925634776059,0.24156447874375,0.202976414956426,0.174604186685658,0.180628274512517,0.194710931445175,0.242619745895159,0.223789895764139,0.14676313235758,0.11419111346074,0.244747511849432,0.146000630165624,0.211005353247948,0.0923797227212509,0.251285729084655,0.166113371817613,0.292515571719634,0.250492393648846,0.168796928236293,0.0988096940071051,0.116897479166473,0.13204871320371,0.0763453768979754,0.169012896197946,0.207114910665387,0.184894966482993,0.127386254581698,0.115488002667175,0.205147551986548,0.116643527104538,0.20245484847832,0.125466691832398,0.361058358333333,0.332748441666667,0.6286714,0.4253561625,0.4307189125,0.3780681625,0.338671320833333,0.359724525,0.291677925
"10",10,0.264602495833333,0.168934408333333,0.210597729166667,0.264638208333333,0.150919283333333,0.137940433333333,0.182103629166667,0.198019079166667,0.157980754166667,0.0995976374999999,0.0499422458333333,0.0999316916666666,0.224132641666667,0.0765300826086955,0.0532669041666666,0.1361334375,0.201291995652174,0.123389816666667,-0.119738675,-0.0857447708333334,-0.103385654166667,-0.0510671458333334,0.0236088166666666,-0.0880559666666667,0.0612948166666665,-0.0605763333333333,-0.0767194291666669,0.0855917416666667,-0.154377245833333,-0.0910600291666666,0.000618795833333463,-0.0554221958333332,-0.00615277916666646,0.000994758333333401,-0.0300393958333331,-0.0873572666666667,-0.0716467458333332,-0.303063820833333,-0.2130784625,-0.263104216666667,-0.285684620833333,-0.192070470833333,-0.226551869565217,-0.2028077,-0.267966660869565,0.420325117194932,0.276379373556185,0.539686513495167,0.392154993776688,0.215709199247188,0.262778243743867,0.359690655522547,0.397495406934127,0.349630804150385,0.185373308101922,0.22377216578699,0.274670685967181,0.297506209064994,0.21942657083229,0.160444802569586,0.208984223006809,0.298098020971039,0.16837012579693,0.259378621173716,0.182789904591094,0.297382761583992,0.233852192271719,0.209676160488216,0.363616637143741,0.274915933414811,0.217361240354413,0.139692919644954,0.244981718979304,0.288005355686539,0.252369782256787,0.102533944264081,0.164972360222828,0.159109214994492,0.192449893375974,0.294725522611944,0.177165031103512,0.212639127283913,0.276491980594927,0.282362975439069,0.140926471413982,0.237443807863689,0.0916811963650132,0.186901404455324,0.257616068727642,0.177385307336864,0.336249241666667,0.471998229166667,0.423676191666667,0.527742425,0.436603904166667,0.330010904166666,0.408655498731884,0.400826779166667,0.425947415036232
