Exp,NSub,low,medium,high
Exp4b,1,-0.09973031958300194,-0.10006788333291272,-0.07772028374967713
Exp4b,2,0.03531786083368986,0.020598233333763826,0.029694946250629205
Exp4b,3,0.01908301500070688,-0.019437110415984192,-0.05583593208260886
Exp4b,4,-0.007357663333507136,-0.19835934875016964,-0.22772830500018013
Exp4b,5,-0.20804682708354877,-0.2508548762502225,-0.24893476250023822
Exp4b,6,-0.0953605212509275,-0.1882983583342973,-0.17154276458460332
Exp4b,7,-0.0557785141667809,-0.0862438954168169,-0.15885273833347643
Exp4b,8,0.020894872084052895,-0.019924242499223577,0.015623037500658988
Exp4b,9,0.006263052916490897,-0.13907951125019805,-0.1907162920836339
Exp4b,10,-0.168355434166855,-0.19181059541681064,-0.1904211787501602
Exp4b,11,-0.03036578250014279,-0.10289577791679941,-0.15384430916672054
Exp4b,12,-0.07760886750022285,-0.1221099287502179,-0.07774844041686799
Exp4b,13,0.007609671250080963,0.004841808333291442,0.03542989916666097
Exp4b,14,-0.2029694129168253,-0.30621179333349546,-0.3038039112502198
Exp4b,15,-0.1361117625002019,-0.09904905291694485,-0.1034972216669161
Exp4b,16,0.007619346666516069,-0.021707102916791055,-0.02878367000013309
