"","Nsub","Exp","model","sig_s","ks","ls","kr","mu_pr","sig_pr2","sig_mn","ls_1","ls_3","ls_5","ks_1","ks_3","ks_5","kr_1","kr_3","kr_5","m_WMCrr_1","se_WMCrr_1","wp_1","sig_post2_1","m_WMCrr_3","se_WMCrr_3","wp_3","sig_post2_3","m_WMCrr_5","se_WMCrr_5","wp_5","sig_post2_5","InP_1","InP_3","InP_5"
"1",1,"Exp1","Exp1",0.38319822883599,0,0,0,0.894832875850253,0.0465720476621299,0.0426542546667628,1,1,1,1,1,1,1,1,1,0.916666666666667,0.0254424399503991,0.758630388901518,0.0352891808063751,0.758333333333333,0.0394077927677865,0.758630388901518,0.0352891808063751,0.733333333333333,0.0407079039206385,0.758630388901518,0.0352891808063751,0.894832875850253,0.894832875850253,0.894832875850253
"2",1,"Exp2","Exp2",0.381128220466217,0.0340627335383064,0.0689609241655203,0,1.02793861494394,0.131405575830539,0.0870797593869898,0.862078151668959,0.862078151668959,0.793117227503439,1.03406273353831,1.06812546707661,1.10218820061492,1,1,1,0.908333333333333,0.0265626871416717,0.556895419854379,0.0726433543313899,0.808333333333333,0.0362336596607828,0.585372470377084,0.0763575902139626,0.75,0.0398606427752317,0.610592755333201,0.0796559992484724,1.00081388565326,0.980619578465231,0.965045796793157
"3",1,"Exp3","Exp3",0.361362352351833,0,0,0.0124298076717387,0.909854600774749,0.0717040617051336,0.0856651724323703,1,1,1,1,1,1,1.01242980767174,1.02485961534348,1.03728942301522,0.866666666666667,0.031292414663908,0.646653564007153,0.0462556169402054,0.725,0.0411035196685566,0.646653564007153,0.0462556169402054,0.616666666666667,0.0447566107168272,0.646653564007153,0.0462556169402054,0.927463187101476,0.945314260041897,0.963412863223086
"4",1,"Exp4","Exp4",0.27762028254188,0.0708499149909405,0.0508512611669145,0.063111857171433,0.762738466198722,0.123444959919648,0.031373571888498,0.898297477666171,0.898297477666171,0.847446216499256,1.07084991499094,1.14169982998188,1.21254974497282,1.06311185717143,1.12622371434287,1.1893355715143,0.85,0.0328699280934587,0.408335715984362,0.05003370443675,0.758333333333333,0.0394077927677865,0.430095385122362,0.0526603926536873,0.608333333333333,0.0449337613747409,0.450652856581735,0.0551471801246752,0.796780321846667,0.822647507926081,0.842017900119669
"5",2,"Exp1","Exp1",0.304587532869742,0,0,0,1.09334745683804,0.0985780428272294,0.0270197179023485,1,1,1,1,1,1,1,1,1,0.925,0.0242462824306782,0.485534215012554,0.0477054574074701,0.783333333333333,0.0379239020640365,0.485534215012554,0.0477054574074701,0.666666666666667,0.0433947713860775,0.485534215012554,0.0477054574074701,1.09334745683804,1.09334745683804,1.09334745683804
"6",2,"Exp2","Exp2",0.269033610096243,0.0185155480238738,0.05554748795454,0,0.798141022204198,0.094674385997194,0.0290373733491127,0.88890502409092,0.88890502409092,0.83335753613638,1.01851554802387,1.03703109604775,1.05554664407162,1,1,1,0.933333333333333,0.0229623546576125,0.459344632434309,0.0432956494217605,0.666666666666667,0.0433947713860775,0.483663489610458,0.0455899575407774,0.533333333333333,0.0459247093152251,0.506373989103332,0.0477340185762133,0.781118060454698,0.767788304068369,0.757143046771599
"7",2,"Exp3","Exp3",0.375491581237393,0,0,0.0346888619114224,0.843230001016676,0.0680850392388572,0.029525405202393,1,1,1,1,1,1,1.03468886191142,1.06937772382284,1.10406658573427,0.891666666666667,0.0286105351086856,0.673956507691053,0.0458066435210864,0.683333333333333,0.0428214274204997,0.673956507691053,0.0458066435210864,0.566666666666667,0.0456161411446998,0.673956507691053,0.0458066435210864,0.887372227911988,0.933047463101558,0.98033697719996
"8",2,"Exp4","Exp4",0.194016259303593,0.0566472472468144,0.0250907762437519,0.0315740564230521,0.964550236687669,0.0399633020123968,0.0459897962032304,0.949818447512496,0.949818447512496,0.924727671268744,1.05664724724681,1.11329449449363,1.16994174174044,1.03157405642305,1.0631481128461,1.09472216926916,0.725,0.0411035196685566,0.4989354811512,0.0198667473264581,0.591666666666667,0.0452469833694679,0.510620026315962,0.0203275573375226,0.508333333333333,0.0460207125751414,0.521799501629846,0.020768779553438,0.968868420452577,0.972076067362917,0.97437238389771
"9",3,"Exp1","Exp1",0.124044775680664,0,0,0,0.974408345450011,0.0550307764483264,0.0248964690109112,1,1,1,1,1,1,1,1,1,0.883333333333333,0.0295514888401186,0.528688789985822,0.0290437307569114,0.716666666666667,0.0414811797723995,0.528688789985822,0.0290437307569114,0.65,0.0439070604289517,0.528688789985822,0.0290437307569114,0.974408345450011,0.974408345450011,0.974408345450011
"10",3,"Exp2","Exp2",0.305128820562572,0.0742911899799946,0.132342760087575,0,0.980938859331717,0.0553802008876465,0.0384814290020426,0.73531447982485,0.73531447982485,0.602971719737275,1.07429118997999,1.14858237995999,1.22287356993998,1,1,1,0.883333333333333,0.0295514888401186,0.675781786253549,0.0373412888324372,0.658333333333333,0.0436584074407572,0.717715845520594,0.0396487714108149,0.633333333333333,0.0443604098483567,0.750192750857722,0.0414410332861853,0.947179024509059,0.92677900786814,0.913168227346068
