"","curDur","WMSize","NSub","Exp","model","wp","mu_r","sig_r","predY","mu_post","log_lik"
"1",0.4,1,1,"Exp1","Exp1",0.745235861843908,0.741732414837601,0.201233932229501,0.740150696160758,-0.314556582445778,0.183333655054826
"2",0.41,1,1,"Exp1","Exp1",0.745235861843908,0.746399325807679,0.200384610108296,0.745604453305671,-0.308265790280369,0.188450277117867
"3",0.42,1,1,"Exp1","Exp1",0.745235861843908,0.750982414049457,0.199590719539191,0.754402005038789,-0.302126598320658,0.20185178363803
"4",0.43,1,1,"Exp1","Exp1",0.745235861843908,0.755485130203698,0.198848588819526,0.756158142962694,-0.296131871427566,0.200341113290349
"5",0.44,1,1,"Exp1","Exp1",0.745235861843908,0.759910706521522,0.198154851676715,0.76206970533856,-0.290274966630427,0.207575463796831
"6",0.45,1,1,"Exp1","Exp1",0.745235861843908,0.764262175299663,0.197506416174822,0.766446394210544,-0.284549688877371,0.199967273872305
"7",0.46,1,1,"Exp1","Exp1",0.745235861843908,0.768542385387242,0.196900437371541,0.767195601667929,-0.278950251649549,0.209196084269605
"8",0.47,1,1,"Exp1","Exp1",0.745235861843908,0.772754017003056,0.196334293203874,0.773324359695275,-0.273471241811422,0.205941730547558
"9",0.48,1,1,"Exp1","Exp1",0.745235861843908,0.776899595068347,0.195805563162746,0.778995643021594,-0.268107588161889,0.212388393925787
"10",0.49,1,1,"Exp1","Exp1",0.745235861843908,0.780981501231411,0.195312009384418,0.781399980726476,-0.262854533228291,0.218072127821209
"11",0.5,1,1,"Exp1","Exp1",0.745235861843908,0.785001984736308,0.19485155984267,0.783839343689263,-0.257707607910123,0.209043391688668
"12",0.51,1,1,"Exp1","Exp1",0.745235861843908,0.78896317226756,0.194422293372402,0.788234924151291,-0.252662608633786,0.222002425344633
"13",0.52,1,1,"Exp1","Exp1",0.745235861843908,0.792867076885355,0.194022426294336,0.793895929501605,-0.24771557672576,0.246452667669562
"14",0.53,1,1,"Exp1","Exp1",0.745235861843908,0.79671560615108,0.193650300443255,0.798699212419553,-0.242862779750622,0.218846958637691
"15",0.54,1,1,"Exp1","Exp1",0.745235861843908,0.80051056953033,0.19330437242978,0.803509624538283,-0.238100694593482,0.213914696797311
"16",0.55,1,1,"Exp1","Exp1",0.745235861843908,0.804253685149782,0.192983203988948,0.800198576064839,-0.233425992094772,0.225769263712104
"17",0.56,1,1,"Exp1","Exp1",0.745235861843908,0.807946585974951,0.192685453288648,0.808156647953773,-0.228835523069522,0.23409922225188
"18",0.57,1,1,"Exp1","Exp1",0.745235861843908,0.811590825467897,0.192409867087689,0.813659087044244,-0.224326305564065,0.223875490755651
"19",0.58,1,1,"Exp1","Exp1",0.745235861843908,0.815187882776941,0.192155273647646,0.81624014765182,-0.219895513221044,0.21922169024967
"20",0.59,1,1,"Exp1","Exp1",0.745235861843908,0.818739167504468,0.191920576314843,0.817129166983117,-0.215540464638995,0.241451700518142
"21",0.6,1,1,"Exp1","Exp1",0.745235861843908,0.822246024093654,0.191704747699335,0.822098669505398,-0.211258613626234,0.232068049477244
"22",0.61,1,1,"Exp1","Exp1",0.745235861843908,0.825709735870377,0.191506824386806,0.82188879622134,-0.207047540260313,0.238722995752116
"23",0.62,1,1,"Exp1","Exp1",0.745235861843908,0.829131528772605,0.191325902127063,0.828817595463166,-0.202904942674444,0.239386873018183
"24",0.63,1,1,"Exp1","Exp1",0.745235861843908,0.832512574796038,0.191161131449562,0.835273833035897,-0.198828629501115,0.235865200403383
"25",0.64,1,1,"Exp1","Exp1",0.745235861843908,0.835853995181751,0.191011713662229,0.836035788526673,-0.194816512910752,0.237986242493448
"26",0.65,1,1,"Exp1","Exp1",0.745235861843908,0.839156863368837,0.190876897194918,0.83753675937498,-0.190866602190106,0.25010296551685
"27",0.66,1,1,"Exp1","Exp1",0.745235861843908,0.842422207732743,0.190755974253252,0.841740622137256,-0.186976997810883,0.230232862595358
"28",0.67,1,1,"Exp1","Exp1",0.745235861843908,0.845651014127809,0.190648277752465,0.845637479879301,-0.183145885944409,0.247719533347913
"29",0.68,1,1,"Exp1","Exp1",0.745235861843908,0.848844228250746,0.190553178504212,0.853831733948724,-0.179371533382649,0.245363629909417
"30",0.69,1,1,"Exp1","Exp1",0.745235861843908,0.852002757840075,0.190470082632277,0.855565267726068,-0.175652282830006,0.242829739977298
"31",0.7,1,1,"Exp1","Exp1",0.745235861843908,0.855127474725119,0.19039842919572,0.853913272707122,-0.171986548533867,0.253045476403009
"32",0.71,1,1,"Exp1","Exp1",0.745235861843908,0.858219216736845,0.190337688000242,0.857960983874912,-0.168372812225083,0.250200202307902
"33",0.72,1,1,"Exp1","Exp1",0.745235861843908,0.86127878949165,0.190287357580606,0.861898154480649,-0.164809619342346,0.224506783468332
"34",0.73,1,1,"Exp1","Exp1",0.745235861843908,0.86430696805821,0.190246963338701,0.865062470650908,-0.161295575516992,0.248541866636193
"35",0.74,1,1,"Exp1","Exp1",0.745235861843908,0.867304498516519,0.190216055823406,0.86827713303235,-0.15782934329695,0.247838188948077
"36",0.75,1,1,"Exp1","Exp1",0.745235861843908,0.870272099417468,0.190194209139824,0.870969272420469,-0.15440963909058,0.230374674675275
"37",0.76,1,1,"Exp1","Exp1",0.745235861843908,0.873210463150535,0.190181019476669,0.872023073942239,-0.151035230312929,0.258140774355077
