NSub,Exp,wp_low,InP_curve_low,wp_medium,InP_curve_medium,wp_high,InP_curve_high
1,Exp1,0.747985536833342,0.92,0.747985536833342,0.92,0.747985536833342,0.92
2,Exp1,0.508091769236528,1.09,0.508091769236528,1.09,0.508091769236528,1.09
3,Exp1,0.53133328125492,1.02,0.53133328125492,1.02,0.53133328125492,1.02
4,Exp1,0.628104667941307,0.97,0.628104667941307,0.97,0.628104667941307,0.97
5,Exp1,0.182516088192995,0.97,0.182516088192995,0.97,0.182516088192995,0.97
6,Exp1,0.619733785317916,0.86,0.619733785317916,0.86,0.619733785317916,0.86
7,Exp1,0.537808167625282,0.81,0.537808167625282,0.81,0.537808167625282,0.81
8,Exp1,0.439810828201776,1.06,0.439810828201776,1.06,0.439810828201776,1.06
9,Exp1,0.297364934694117,1.09,0.297364934694117,1.09,0.297364934694117,1.09
10,Exp1,0.517874860378604,0.99,0.517874860378604,0.99,0.517874860378604,0.99
11,Exp1,0.419769877733707,1.04,0.419769877733707,1.04,0.419769877733707,1.04
12,Exp1,0.0704231099264732,0.81,0.0704231099264732,0.81,0.0704231099264732,0.81
13,Exp1,0.276325223965607,1.09,0.276325223965607,1.09,0.276325223965607,1.09
14,Exp1,0.0162333387503049,1.09,0.0162333387503049,1.09,0.0162333387503049,1.09
15,Exp1,0.331383490440941,1,0.331383490440941,1,0.331383490440941,1
16,Exp1,0.336156677578987,0.94,0.336156677578987,0.94,0.336156677578987,0.94
1,Exp2,0.58116850465417,1.04,0.619536384482472,1.01,0.651464648325041,0.99
2,Exp2,0.420759795931934,0.81,0.447891046656842,0.81,0.472594396925423,0.81
3,Exp2,0.711889416411616,0.98,0.768711809121133,0.94,0.806812974606228,0.92
4,Exp2,0.612076748392252,1.09,0.7086155392147,1.09,0.766679744549666,1.09
5,Exp2,0.632259666714677,1.09,0.750125224500976,1.09,0.810774467709137,1.09
6,Exp2,0.596568457048681,1.09,0.678640273769505,1.04,0.732964463349685,0.99
7,Exp2,0.591428014095299,1.09,0.674142600316219,1.09,0.729004999394728,1.09
8,Exp2,0.398624312524209,1.02,0.51035006195859,0.96,0.587066365497698,0.93
9,Exp2,0.979750827414318,1.08,0.988716062718415,1.05,0.9921788456462,1.03
10,Exp2,0.6974600144124,0.96,0.793815228331778,0.95,0.843620234272096,0.94
11,Exp2,0.0608233612535074,1.09,0.0781797955136991,1.09,0.0949063596340504,1.05
12,Exp2,0.806559615252938,1.09,0.878740636857453,1.09,0.91169214039387,1.09
13,Exp2,0.485685881176752,0.94,0.618103054542335,0.91,0.696295828953024,0.89
14,Exp2,0.149169596218941,1.07,0.171352857554436,0.81,0.192408766356649,0.81
15,Exp2,0.198574612985565,0.81,0.308902542868156,0.81,0.392529715239705,0.81
16,Exp2,0.456902384369024,1.09,0.587439123120807,1.09,0.667385092405185,1.09
1,Exp3,0.62818309200091,0.95,0.62818309200091,0.97,0.62818309200091,0.99
2,Exp3,0.634436112206531,0.91,0.634436112206531,0.96,0.634436112206531,1.01
3,Exp3,0.481302281503743,0.89,0.481302281503743,0.91,0.481302281503743,0.93
4,Exp3,0.630915630356984,1.03,0.630915630356984,1.05,0.630915630356984,1.07
5,Exp3,0.0532545510424082,1.09,0.0532545510424082,1.09,0.0532545510424082,1.09
6,Exp3,0.626222036623807,1.06,0.626222036623807,1.09,0.626222036623807,1.09
7,Exp3,0.242037996288428,0.86,0.242037996288428,0.99,0.242037996288428,1.09
8,Exp3,0.720709172935754,1.09,0.720709172935754,1.09,0.720709172935754,1.09
9,Exp3,0.556663969399517,0.99,0.556663969399517,1.02,0.556663969399517,1.07
10,Exp3,0.565815530356141,0.9,0.565815530356141,1.01,0.565815530356141,1.09
11,Exp3,0.568998355392882,1.08,0.568998355392882,1.09,0.568998355392882,1.09
12,Exp3,0.660197156669925,1.08,0.660197156669925,1.09,0.660197156669925,1.09
13,Exp3,0.438660464281988,0.81,0.438660464281988,0.81,0.438660464281988,0.81
14,Exp3,0.401311030533074,1.09,0.401311030533074,1.09,0.401311030533074,1.09
15,Exp3,0.428647506185568,0.81,0.428647506185568,0.81,0.428647506185568,0.83
16,Exp3,0.432157219286721,0.81,0.432157219286721,0.81,0.432157219286721,0.84
1,Exp4,0.368109454164664,0.86,0.395213376373304,0.82,0.420087772736992,0.82
2,Exp4,0.526310100535739,1.02,0.540486803633715,1,0.553839597451274,0.99
3,Exp4,0.579075581222647,0.84,0.644707257389495,0.87,0.692632786367028,0.92
4,Exp4,0.711932897299452,0.93,0.761056265063346,0.92,0.795866622989549,0.94
5,Exp4,0.478777091491032,1.09,0.551057889493712,1.09,0.6057330223503,1.09
6,Exp4,0.178109985664469,0.92,0.244428392631532,0.94,0.300843423325268,1.01
7,Exp4,0.148536377266152,1.09,0.154597372828529,0.93,0.16057268999422,0.81
8,Exp4,0.41526130325348,1.09,0.453429797496379,1.09,0.486920760402847,1.09
9,Exp4,0.39112722578183,1.09,0.417471390942603,1.09,0.44163042848793,1.09
10,Exp4,0.0470133105816381,0.87,0.0503576219536436,0.81,0.0536785430590077,0.81
11,Exp4,0.563241702649722,1.02,0.658394403200981,1.02,0.719503677472592,1.05
12,Exp4,0.489241948444127,1.09,0.529936483286108,1.09,0.56462489826628,1.09
13,Exp4,0.477983265371316,0.81,0.497399703521571,0.81,0.51542354849728,0.81
14,Exp4,0.362943111326024,0.98,0.376431935637706,0.96,0.389361388401226,0.96
15,Exp4,0.118451830985552,1.09,0.143947475683817,1.09,0.168009831518296,1.09
16,Exp4,0.177706954198277,0.81,0.194710523447537,0.81,0.211025131578571,0.81
