NSub,low,medium,high
1,0.8854166666666666,0.7625,0.6770833333333333
2,0.86875,0.68125,0.56875
3,0.8395833333333333,0.6875,0.60625
4,0.8395833333333333,0.68125,0.6041666666666666
5,0.9020833333333333,0.7145833333333333,0.6958333333333333
6,0.8479166666666667,0.7125,0.6645833333333333
7,0.8958333333333334,0.7666666666666666,0.6458333333333334
8,0.90625,0.7125,0.625
9,0.8729166666666667,0.75,0.6270833333333333
10,0.8854166666666666,0.7520833333333333,0.6958333333333333
11,0.88125,0.7229166666666667,0.6291666666666667
12,0.8375,0.675,0.65625
13,0.8833333333333333,0.7208333333333333,0.6520833333333333
14,0.8020833333333333,0.65,0.5875
15,0.9145833333333333,0.8041666666666667,0.7083333333333334
16,0.9270833333333334,0.8208333333333333,0.7291666666666667
