"","WMSize","Exp","n","m_obs_cv_Intercept","m_obs_cv_slope","se_obs_CV_slope","se_obs_CV_Intercept"
"1","low","Exp1",16,-1.63292843592957,-0.2760685142746,0.0788971584189364,0.0579750630100487
"2","low","Exp2",16,-1.41648169891045,-0.301199574192245,0.0643361633434147,0.0512771690747228
"3","low","Exp3",16,-1.57046401904906,-0.249425470081894,0.0820729828997509,0.0325700508332443
"4","low","Exp4",16,-1.61111492900833,-0.224463061752277,0.0929951216614432,0.0526954637048522
"5","medium","Exp1",16,-1.65795118117926,-0.188485721406251,0.0466317758689334,0.0541833480809816
"6","medium","Exp2",16,-1.37764326919383,-0.251921484250985,0.0624163814990617,0.0529530186514349
"7","medium","Exp3",16,-1.59335311645274,-0.258730982513193,0.056158593969089,0.030391146646198
"8","medium","Exp4",16,-1.54886340345804,-0.261778222076343,0.0936591736222707,0.04470823809566
"9","high","Exp1",16,-1.63155119318862,-0.218286567201884,0.0572172441269223,0.0672241320422073
"10","high","Exp2",16,-1.36878757076605,-0.243330899540167,0.0670155016010046,0.0517565576714453
"11","high","Exp3",16,-1.56326444415533,-0.22517071101678,0.0503545733802564,0.0352848073512894
"12","high","Exp4",16,-1.58296219781124,-0.289769666738431,0.0728927564235381,0.0480818546485622
