"","WMSize","DurLevel","TPresent","NT","NSub","curDur","repDur","repWaitTime","WMRP","WMRTTest","Crr","repBias","Exp","gap","Gap","valid","log_RP","log_dur"
"1",5,3,2,1,1,1.1,1.045568,1.7658354,-1,2.0000529,1,0.240999682,"Exp6a",4,3.6,1,0.0445602784219064,0.0953101798043249
"2",5,4,1,2,1,1.4,1.1492646,0.4286895,1,0.9112825,1,0.176417641,"Exp6a",4,3.3,1,0.139122259560856,0.336472236621213
"3",5,3,1,3,1,1.1,1.1730681,0.4790468,1,0.8429359,1,0.240999682,"Exp6a",4,3.6,1,0.159622624252123,0.0953101798043249
"4",1,1,2,4,1,0.5,1.0059073,0.4371885,1,0.7312703,1,0.251073956,"Exp6a",4,4.2,1,0.00588992031444486,-0.693147180559945
"5",1,2,1,5,1,0.8,0.7979458,0.5159218,1,0.8884794,1,0.182591042,"Exp6a",4,3.9,1,-0.225714603638481,-0.22314355131421
"6",1,1,1,6,1,0.5,0.6698994,0.5522984,1,0.8414175,1,0.251073956,"Exp6a",4,4.2,1,-0.400627727124384,-0.693147180559945
"7",3,4,2,7,1,1.4,0.677849,0.3756158,2,1.1580121,1,0.250268231,"Exp6a",4,3.3,1,-0.388830729710464,0.336472236621213
"8",5,1,1,8,1,0.5,0.6778729,0.4465109,2,1.0156967,1,0.228112683,"Exp6a",4,4.2,1,-0.388795471741993,-0.693147180559945
"9",3,3,1,9,1,1.1,1.1578165,0.6184408,1,1.1392711,1,0.200196574,"Exp6a",4,3.6,1,0.146535903727225,0.0953101798043249
"10",5,4,2,10,1,1.4,1.021982,1.1562802,2,1.5654263,1,0.176417641,"Exp6a",4,3.3,1,0.0217438791019485,0.336472236621213
"11",3,5,1,11,1,1.7,1.0859972,0.638942,1,0.9596798,1,0.194654411,"Exp6a",4,3,1,0.0824986432395433,0.53062825106217
"12",1,5,2,12,1,1.7,1.3179149,0.7311404,2,1.2602251,1,0.22008172,"Exp6a",4,3,1,0.276050866469188,0.53062825106217
"13",3,4,1,13,1,1.4,1.0539456,0.9704642,1,1.0188756,1,0.250268231,"Exp6a",4,3.3,1,0.0525408358839531,0.336472236621213
"14",5,5,1,14,1,1.7,1.2699978,0.6347694,1,1.003878,1,0.268332432,"Exp6a",4,3,1,0.239015168185535,0.53062825106217
"15",3,2,2,15,1,0.8,0.8459741,0.5914118,1,1.3045279,1,0.247844287,"Exp6a",4,3.9,1,-0.167266534501762,-0.22314355131421
"16",5,2,2,16,1,0.8,0.9819245,0.4230019,2,0.9921661,1,0.159266172,"Exp6a",4,3.9,1,-0.0182408574937775,-0.22314355131421
"17",3,3,2,17,1,1.1,0.9099019,0.6638513,2,1.3049339,1,0.200196574,"Exp6a",4,3.6,1,-0.094418487480118,0.0953101798043249
"18",1,2,2,18,1,0.8,0.7178894,0.6181659,2,0.7949671,1,0.182591042,"Exp6a",4,3.9,1,-0.331439760796352,-0.22314355131421
"19",3,1,2,19,1,0.5,0.6378067,0.5896434,2,1.0307587,1,0.228186494,"Exp6a",4,4.2,1,-0.449720019600898,-0.693147180559945
