,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.25,0.268,0.763,1.77,0.009,0.006,905.0,1375.0,1.01
epsilon[1],1.679,0.362,0.992,2.348,0.012,0.008,928.0,1434.0,1.0
epsilon[2],1.147,0.247,0.711,1.627,0.008,0.006,933.0,1386.0,1.0
epsilon[3],1.925,0.416,1.125,2.69,0.013,0.009,926.0,1429.0,1.01
epsilon[4],1.484,0.328,0.897,2.123,0.01,0.007,1011.0,1484.0,1.0
epsilon[5],1.159,0.25,0.719,1.647,0.008,0.006,914.0,1385.0,1.0
epsilon[6],2.816,0.607,1.669,3.945,0.019,0.014,944.0,1500.0,1.0
epsilon[7],3.844,0.839,2.393,5.525,0.026,0.018,1002.0,1467.0,1.0
epsilon[8],2.22,0.487,1.306,3.13,0.015,0.011,1006.0,1514.0,1.0
epsilon[9],2.163,0.471,1.326,3.096,0.015,0.011,927.0,1382.0,1.0
epsilon[10],2.404,0.528,1.433,3.387,0.017,0.012,936.0,1358.0,1.01
epsilon[11],4.197,0.988,2.491,6.132,0.026,0.019,1297.0,2085.0,1.0
epsilon[12],1.938,0.426,1.19,2.784,0.013,0.01,955.0,1459.0,1.0
epsilon[13],5.04,1.139,3.026,7.271,0.032,0.022,1207.0,1674.0,1.0
epsilon[14],3.576,0.792,2.096,5.009,0.024,0.017,1011.0,1435.0,1.01
epsilon[15],2.915,0.642,1.707,4.12,0.02,0.014,975.0,1416.0,1.01
epsilon_k[0],3.173,2.026,0.0,6.711,0.024,0.017,5039.0,2781.0,1.0
epsilon_k[1],2.016,1.622,0.0,4.993,0.018,0.013,5545.0,3430.0,1.0
epsilon_k[2],3.162,1.972,0.0,6.501,0.026,0.019,4088.0,2347.0,1.0
epsilon_k[3],2.052,1.611,0.001,4.99,0.016,0.011,7313.0,4375.0,1.0
epsilon_k[4],2.402,1.69,0.005,5.354,0.02,0.014,5499.0,3931.0,1.0
epsilon_k[5],1.868,1.496,0.0,4.572,0.016,0.012,6145.0,3715.0,1.0
epsilon_k[6],1.55,1.327,0.0,4.049,0.014,0.01,6764.0,4253.0,1.0
epsilon_k[7],1.787,1.464,0.0,4.505,0.016,0.011,5758.0,3466.0,1.0
epsilon_k[8],1.366,1.43,0.0,4.195,0.023,0.017,3478.0,3975.0,1.0
epsilon_k[9],1.983,1.534,0.0,4.793,0.016,0.011,6768.0,3894.0,1.0
epsilon_k[10],1.35,1.283,0.001,3.712,0.017,0.012,4637.0,4480.0,1.0
epsilon_k[11],2.248,1.601,0.0,5.097,0.019,0.013,4544.0,2759.0,1.0
epsilon_k[12],2.105,1.574,0.0,4.962,0.017,0.012,5095.0,2817.0,1.0
epsilon_k[13],1.959,1.562,0.001,4.82,0.017,0.012,6216.0,4028.0,1.0
epsilon_k[14],3.588,2.141,0.029,7.231,0.031,0.022,3876.0,2916.0,1.0
epsilon_k[15],2.455,1.721,0.002,5.513,0.018,0.013,7060.0,4027.0,1.0
k_s[0],0.008,0.009,0.0,0.026,0.0,0.0,3637.0,2714.0,1.0
k_s[1],0.006,0.007,0.0,0.019,0.0,0.0,3520.0,3265.0,1.0
k_s[2],0.008,0.008,0.0,0.023,0.0,0.0,3214.0,2795.0,1.0
k_s[3],0.005,0.007,0.0,0.018,0.0,0.0,3559.0,3604.0,1.0
k_s[4],0.006,0.005,0.0,0.015,0.0,0.0,3906.0,3245.0,1.0
k_s[5],0.005,0.006,0.0,0.016,0.0,0.0,3685.0,3663.0,1.0
k_s[6],0.004,0.005,0.0,0.013,0.0,0.0,3811.0,3511.0,1.0
k_s[7],0.005,0.006,0.0,0.016,0.0,0.0,3776.0,3654.0,1.0
k_s[8],0.004,0.007,0.0,0.016,0.0,0.0,2697.0,3717.0,1.0
k_s[9],0.005,0.005,0.0,0.015,0.0,0.0,4480.0,3485.0,1.0
k_s[10],0.004,0.005,0.0,0.013,0.0,0.0,3136.0,3064.0,1.0
k_s[11],0.006,0.006,0.0,0.017,0.0,0.0,2851.0,2786.0,1.0
k_s[12],0.005,0.006,0.0,0.016,0.0,0.0,3490.0,2453.0,1.0
k_s[13],0.005,0.006,0.0,0.016,0.0,0.0,3466.0,3268.0,1.0
k_s[14],0.009,0.009,0.0,0.025,0.0,0.0,3507.0,3198.0,1.0
k_s[15],0.006,0.007,0.0,0.018,0.0,0.0,4256.0,3740.0,1.0
k_s0,0.003,0.002,0.0,0.006,0.0,0.0,3273.0,2980.0,1.0
l_s[0],0.106,0.108,0.0,0.307,0.002,0.001,2299.0,2565.0,1.0
l_s[1],0.056,0.056,0.0,0.159,0.001,0.001,3545.0,4222.0,1.0
l_s[2],0.103,0.097,0.0,0.281,0.002,0.001,2161.0,2691.0,1.0
l_s[3],0.059,0.063,0.0,0.177,0.001,0.001,3890.0,4231.0,1.0
l_s[4],0.076,0.075,0.0,0.215,0.001,0.001,2613.0,3539.0,1.0
l_s[5],0.051,0.052,0.0,0.144,0.001,0.0,3904.0,3688.0,1.0
l_s[6],0.041,0.042,0.0,0.119,0.001,0.0,4300.0,4338.0,1.0
l_s[7],0.049,0.051,0.0,0.141,0.001,0.0,3707.0,3843.0,1.0
l_s[8],0.028,0.027,0.0,0.078,0.0,0.0,6781.0,4512.0,1.0
l_s[9],0.06,0.062,0.0,0.174,0.001,0.001,3140.0,4004.0,1.0
l_s[10],0.033,0.034,0.0,0.096,0.0,0.0,5873.0,4387.0,1.0
l_s[11],0.064,0.061,0.0,0.175,0.001,0.001,2942.0,3242.0,1.0
l_s[12],0.063,0.063,0.0,0.18,0.001,0.001,2571.0,2806.0,1.0
l_s[13],0.056,0.058,0.0,0.163,0.001,0.001,3804.0,4243.0,1.0
l_s[14],0.125,0.122,0.0,0.352,0.002,0.002,2125.0,3043.0,1.0
l_s[15],0.076,0.075,0.0,0.217,0.001,0.001,2977.0,3966.0,1.0
l_s0,0.031,0.021,0.0,0.068,0.0,0.0,2161.0,3731.0,1.0
mu_p[0],-0.111,0.016,-0.14,-0.08,0.0,0.0,13195.0,6187.0,1.0
mu_p[1],0.098,0.022,0.054,0.138,0.0,0.0,10101.0,6145.0,1.0
mu_p[2],-0.002,0.018,-0.037,0.031,0.0,0.0,10403.0,6276.0,1.0
mu_p[3],-0.061,0.021,-0.1,-0.022,0.0,0.0,12088.0,5542.0,1.0
mu_p[4],-0.041,0.042,-0.122,0.036,0.0,0.0,8614.0,5606.0,1.0
mu_p[5],-0.167,0.018,-0.202,-0.134,0.0,0.0,15091.0,5604.0,1.0
mu_p[6],-0.39,0.038,-0.46,-0.319,0.0,0.0,9979.0,6099.0,1.0
mu_p[7],-0.013,0.039,-0.084,0.063,0.0,0.0,10876.0,6003.0,1.0
mu_p[8],0.262,0.041,0.185,0.34,0.0,0.0,7631.0,4922.0,1.0
mu_p[9],-0.048,0.026,-0.096,0.0,0.0,0.0,12003.0,5946.0,1.0
mu_p[10],-0.007,0.03,-0.064,0.049,0.0,0.0,11672.0,5986.0,1.0
mu_p[11],-0.572,0.186,-0.927,-0.251,0.003,0.002,6375.0,4512.0,1.0
mu_p[12],0.171,0.036,0.104,0.239,0.0,0.0,9533.0,5646.0,1.0
mu_p[13],0.166,0.1,-0.022,0.354,0.001,0.001,8584.0,5703.0,1.0
mu_p[14],-0.055,0.045,-0.146,0.024,0.0,0.0,9338.0,5550.0,1.0
mu_p[15],-0.112,0.042,-0.193,-0.036,0.0,0.0,13138.0,5839.0,1.0
sig_n,0.002,0.0,0.001,0.003,0.0,0.0,1281.0,2016.0,1.0
var_p,0.044,0.01,0.028,0.061,0.0,0.0,832.0,1216.0,1.01
var_s[0],0.15,0.024,0.108,0.196,0.0,0.0,6280.0,5295.0,1.0
var_s[1],0.071,0.007,0.057,0.085,0.0,0.0,7783.0,6138.0,1.0
var_s[2],0.053,0.006,0.041,0.064,0.0,0.0,3943.0,5298.0,1.0
var_s[3],0.158,0.021,0.122,0.202,0.0,0.0,10567.0,5759.0,1.0
var_s[4],0.014,0.001,0.011,0.016,0.0,0.0,5874.0,5558.0,1.0
var_s[5],0.076,0.008,0.062,0.092,0.0,0.0,9384.0,5568.0,1.0
var_s[6],0.153,0.02,0.116,0.189,0.0,0.0,8525.0,6294.0,1.0
var_s[7],0.124,0.014,0.097,0.151,0.0,0.0,10005.0,6099.0,1.0
var_s[8],0.036,0.003,0.03,0.043,0.0,0.0,10209.0,6649.0,1.0
var_s[9],0.093,0.01,0.075,0.113,0.0,0.0,7726.0,5555.0,1.0
var_s[10],0.071,0.007,0.058,0.085,0.0,0.0,11719.0,6230.0,1.0
var_s[11],0.017,0.002,0.013,0.022,0.0,0.0,6633.0,5465.0,1.0
var_s[12],0.03,0.003,0.024,0.036,0.0,0.0,5784.0,4617.0,1.0
var_s[13],0.026,0.003,0.021,0.032,0.0,0.0,7418.0,5603.0,1.0
var_s[14],0.071,0.01,0.052,0.089,0.0,0.0,3808.0,5558.0,1.0
var_s[15],0.059,0.007,0.046,0.071,0.0,0.0,6555.0,6036.0,1.0
