,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.693,0.599,1.629,3.836,0.019,0.013,994.0,1342.0,1.01
epsilon[1],2.168,0.481,1.285,3.077,0.015,0.01,1027.0,1467.0,1.0
epsilon[2],1.22,0.269,0.746,1.748,0.008,0.006,991.0,1405.0,1.0
epsilon[3],1.484,0.33,0.889,2.123,0.01,0.007,993.0,1430.0,1.0
epsilon[4],3.998,0.883,2.353,5.663,0.027,0.019,1009.0,1398.0,1.01
epsilon[5],1.747,0.385,1.03,2.457,0.012,0.009,985.0,1423.0,1.0
epsilon[6],2.578,0.574,1.494,3.643,0.018,0.013,1016.0,1514.0,1.0
epsilon[7],3.095,0.688,1.851,4.402,0.021,0.015,1037.0,1476.0,1.0
epsilon[8],1.659,0.368,0.974,2.346,0.012,0.008,988.0,1411.0,1.0
epsilon[9],1.845,0.406,1.059,2.567,0.013,0.009,973.0,1419.0,1.0
epsilon[10],3.088,0.739,1.802,4.544,0.02,0.014,1240.0,1848.0,1.0
epsilon[11],2.478,0.548,1.477,3.531,0.017,0.012,1012.0,1367.0,1.0
epsilon[12],2.871,0.637,1.706,4.076,0.02,0.014,1026.0,1413.0,1.0
epsilon[13],5.515,1.203,3.327,7.799,0.035,0.025,1144.0,1595.0,1.0
epsilon[14],2.378,0.533,1.391,3.358,0.016,0.012,1012.0,1445.0,1.0
epsilon[15],1.826,0.404,1.106,2.604,0.013,0.009,989.0,1415.0,1.0
epsilon_k[0],0.791,0.702,0.0,2.078,0.008,0.005,6079.0,4480.0,1.0
epsilon_k[1],0.593,0.499,0.0,1.486,0.006,0.004,5930.0,4194.0,1.0
epsilon_k[2],1.798,1.143,0.002,3.801,0.014,0.01,5548.0,3479.0,1.0
epsilon_k[3],1.981,1.247,0.0,4.154,0.016,0.011,4246.0,2647.0,1.0
epsilon_k[4],2.778,1.643,0.047,5.622,0.018,0.013,6231.0,3909.0,1.0
epsilon_k[5],2.823,1.403,0.389,5.435,0.017,0.012,5578.0,4200.0,1.0
epsilon_k[6],1.762,1.308,0.001,4.105,0.015,0.011,6614.0,4878.0,1.0
epsilon_k[7],2.544,1.241,0.288,4.729,0.016,0.011,5029.0,3588.0,1.0
epsilon_k[8],2.994,1.915,0.002,6.275,0.02,0.014,6847.0,3946.0,1.0
epsilon_k[9],2.16,1.372,0.001,4.575,0.015,0.011,6210.0,3655.0,1.0
epsilon_k[10],1.638,0.981,0.081,3.439,0.014,0.01,4417.0,3518.0,1.0
epsilon_k[11],4.168,2.031,0.623,8.092,0.023,0.016,5826.0,2628.0,1.0
epsilon_k[12],2.639,1.336,0.434,5.195,0.016,0.011,6412.0,4436.0,1.0
epsilon_k[13],2.971,1.245,0.933,5.426,0.015,0.011,5780.0,4279.0,1.0
epsilon_k[14],3.038,1.157,1.094,5.264,0.016,0.011,4873.0,4928.0,1.0
epsilon_k[15],2.519,1.28,0.293,4.913,0.016,0.011,5682.0,3562.0,1.0
k_s[0],0.016,0.015,0.0,0.041,0.0,0.0,5752.0,4446.0,1.0
k_s[1],0.011,0.009,0.0,0.028,0.0,0.0,5972.0,4346.0,1.0
k_s[2],0.036,0.026,0.0,0.082,0.0,0.0,4677.0,3437.0,1.0
k_s[3],0.04,0.029,0.0,0.092,0.0,0.0,3757.0,2710.0,1.0
k_s[4],0.056,0.039,0.001,0.125,0.0,0.0,5656.0,3554.0,1.0
k_s[5],0.058,0.037,0.0,0.123,0.001,0.0,4232.0,3313.0,1.0
k_s[6],0.034,0.028,0.0,0.084,0.0,0.0,6538.0,5033.0,1.0
k_s[7],0.05,0.028,0.003,0.101,0.0,0.0,3894.0,3610.0,1.0
k_s[8],0.063,0.052,0.0,0.153,0.001,0.0,4797.0,3830.0,1.0
k_s[9],0.043,0.031,0.0,0.097,0.0,0.0,5162.0,3580.0,1.0
k_s[10],0.031,0.017,0.0,0.06,0.0,0.0,4438.0,3418.0,1.0
k_s[11],0.086,0.056,0.0,0.182,0.001,0.001,4222.0,2665.0,1.0
k_s[12],0.052,0.03,0.003,0.107,0.0,0.0,5198.0,3874.0,1.0
k_s[13],0.059,0.03,0.011,0.116,0.0,0.0,4319.0,3842.0,1.0
k_s[14],0.058,0.02,0.022,0.097,0.0,0.0,6125.0,4389.0,1.0
k_s[15],0.049,0.027,0.005,0.101,0.0,0.0,5005.0,3393.0,1.0
k_s0,0.021,0.009,0.006,0.038,0.0,0.0,3417.0,3278.0,1.0
l_s[0],0.154,0.131,0.0,0.388,0.001,0.001,6383.0,4278.0,1.0
l_s[1],0.115,0.09,0.0,0.28,0.001,0.001,6669.0,4022.0,1.0
l_s[2],0.354,0.214,0.0,0.72,0.002,0.002,6214.0,3604.0,1.0
l_s[3],0.393,0.238,0.0,0.804,0.003,0.002,4212.0,2737.0,1.0
l_s[4],0.569,0.357,0.002,1.176,0.004,0.003,6222.0,3928.0,1.0
l_s[5],0.556,0.256,0.086,1.027,0.003,0.002,6135.0,3922.0,1.0
l_s[6],0.357,0.27,0.0,0.844,0.003,0.002,6591.0,4892.0,1.0
l_s[7],0.504,0.232,0.096,0.937,0.003,0.002,5644.0,3758.0,1.0
l_s[8],0.624,0.45,0.0,1.433,0.005,0.004,5529.0,3835.0,1.0
l_s[9],0.436,0.283,0.0,0.929,0.003,0.002,5621.0,3742.0,1.0
l_s[10],0.326,0.191,0.008,0.66,0.003,0.002,4389.0,3514.0,1.0
l_s[11],0.876,0.512,0.0,1.758,0.006,0.004,4594.0,2540.0,1.0
l_s[12],0.526,0.259,0.078,1.015,0.003,0.002,6759.0,4217.0,1.0
