,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.53,0.526,1.591,3.551,0.019,0.014,741.0,1551.0,1.0
epsilon[1],2.123,0.438,1.313,2.942,0.016,0.012,701.0,1492.0,1.01
epsilon[2],2.811,0.587,1.766,3.93,0.021,0.015,760.0,1779.0,1.0
epsilon[3],1.821,0.378,1.131,2.535,0.013,0.01,773.0,1765.0,1.0
epsilon[4],4.172,0.905,2.509,5.869,0.03,0.021,878.0,1793.0,1.0
epsilon[5],2.692,0.556,1.673,3.739,0.02,0.014,753.0,1598.0,1.0
epsilon[6],3.409,0.726,2.086,4.773,0.025,0.018,812.0,1622.0,1.0
epsilon[7],2.289,0.475,1.438,3.191,0.018,0.012,708.0,1700.0,1.0
epsilon[8],2.706,0.56,1.691,3.765,0.021,0.015,692.0,1377.0,1.01
epsilon[9],2.612,0.54,1.63,3.618,0.02,0.014,739.0,1719.0,1.0
epsilon[10],1.79,0.372,1.087,2.474,0.013,0.01,750.0,1691.0,1.0
epsilon[11],2.161,0.45,1.338,3.001,0.017,0.012,719.0,1634.0,1.0
epsilon[12],3.519,0.734,2.189,4.905,0.026,0.018,784.0,1579.0,1.0
epsilon[13],3.058,0.641,1.833,4.228,0.023,0.016,750.0,1524.0,1.0
epsilon[14],2.211,0.461,1.361,3.077,0.017,0.012,739.0,1544.0,1.0
epsilon[15],2.905,0.603,1.835,4.106,0.022,0.015,747.0,1697.0,1.01
epsilon_k[0],2.284,1.766,0.001,5.485,0.017,0.013,7371.0,3343.0,1.0
epsilon_k[1],2.17,1.717,0.0,5.27,0.016,0.012,7606.0,3728.0,1.0
epsilon_k[2],1.999,1.628,0.0,4.914,0.015,0.011,7587.0,4092.0,1.0
epsilon_k[3],2.063,1.647,0.0,5.063,0.016,0.012,7141.0,4686.0,1.0
epsilon_k[4],2.236,1.724,0.008,5.34,0.016,0.011,7522.0,3362.0,1.0
epsilon_k[5],2.392,1.804,0.0,5.606,0.018,0.013,6575.0,3240.0,1.0
epsilon_k[6],1.913,1.582,0.0,4.756,0.016,0.012,7302.0,4189.0,1.0
epsilon_k[7],1.944,1.605,0.001,4.885,0.016,0.011,6130.0,3831.0,1.0
epsilon_k[8],2.991,2.083,0.0,6.614,0.025,0.018,4932.0,3087.0,1.0
epsilon_k[9],2.444,1.793,0.0,5.652,0.018,0.013,6672.0,3779.0,1.0
epsilon_k[10],2.639,1.917,0.003,6.067,0.019,0.014,6605.0,3335.0,1.0
epsilon_k[11],2.342,1.787,0.001,5.556,0.016,0.012,7152.0,3158.0,1.0
epsilon_k[12],1.809,1.495,0.0,4.489,0.015,0.011,6931.0,4199.0,1.0
epsilon_k[13],2.323,1.76,0.001,5.528,0.017,0.012,7591.0,4041.0,1.0
epsilon_k[14],1.909,1.547,0.0,4.723,0.015,0.011,7292.0,3905.0,1.0
epsilon_k[15],1.784,1.527,0.0,4.646,0.014,0.01,7739.0,4270.0,1.0
k_s[0],0.001,0.002,0.0,0.005,0.0,0.0,6495.0,4555.0,1.0
k_s[1],0.001,0.002,0.0,0.004,0.0,0.0,6545.0,4299.0,1.0
k_s[2],0.001,0.002,0.0,0.004,0.0,0.0,6809.0,4759.0,1.0
k_s[3],0.001,0.002,0.0,0.004,0.0,0.0,7025.0,5285.0,1.0
k_s[4],0.001,0.002,0.0,0.004,0.0,0.0,6564.0,5222.0,1.0
k_s[5],0.001,0.002,0.0,0.005,0.0,0.0,6238.0,4207.0,1.0
k_s[6],0.001,0.001,0.0,0.003,0.0,0.0,6847.0,4697.0,1.0
k_s[7],0.001,0.002,0.0,0.004,0.0,0.0,6902.0,4758.0,1.0
k_s[8],0.002,0.002,0.0,0.006,0.0,0.0,5138.0,3571.0,1.0
k_s[9],0.001,0.002,0.0,0.004,0.0,0.0,6615.0,5152.0,1.0
k_s[10],0.001,0.002,0.0,0.005,0.0,0.0,6112.0,4427.0,1.0
k_s[11],0.001,0.002,0.0,0.005,0.0,0.0,6398.0,4264.0,1.0
k_s[12],0.001,0.001,0.0,0.003,0.0,0.0,6621.0,4630.0,1.0
k_s[13],0.001,0.002,0.0,0.004,0.0,0.0,6911.0,4887.0,1.0
k_s[14],0.001,0.001,0.0,0.003,0.0,0.0,6640.0,4302.0,1.0
k_s[15],0.001,0.001,0.0,0.003,0.0,0.0,6827.0,5160.0,1.0
k_s0,0.001,0.001,0.0,0.002,0.0,0.0,8278.0,4584.0,1.0
l_s[0],0.029,0.036,0.0,0.093,0.0,0.0,5204.0,4452.0,1.0
l_s[1],0.028,0.036,0.0,0.092,0.0,0.0,5224.0,4717.0,1.0
l_s[2],0.024,0.029,0.0,0.077,0.0,0.0,5516.0,4763.0,1.0
l_s[3],0.025,0.031,0.0,0.08,0.0,0.0,5282.0,4968.0,1.0
l_s[4],0.031,0.04,0.0,0.101,0.001,0.0,4773.0,4711.0,1.0
l_s[5],0.033,0.042,0.0,0.109,0.001,0.0,4400.0,4650.0,1.0
l_s[6],0.024,0.03,0.0,0.077,0.0,0.0,5333.0,4805.0,1.0
l_s[7],0.023,0.028,0.0,0.072,0.0,0.0,5733.0,4690.0,1.0
l_s[8],0.047,0.064,0.0,0.163,0.001,0.001,3654.0,3552.0,1.0
l_s[9],0.035,0.047,0.0,0.117,0.001,0.0,4354.0,4516.0,1.0
l_s[10],0.038,0.048,0.0,0.124,0.001,0.0,4329.0,4304.0,1.0
l_s[11],0.032,0.04,0.0,0.104,0.0,0.0,4781.0,4219.0,1.0
l_s[12],0.021,0.024,0.0,0.064,0.0,0.0,6050.0,4961.0,1.0
l_s[13],0.031,0.039,0.0,0.1,0.001,0.0,4923.0,4929.0,1.0
l_s[14],0.023,0.028,0.0,0.072,0.0,0.0,5345.0,4511.0,1.0
l_s[15],0.021,0.026,0.0,0.067,0.0,0.0,6000.0,4823.0,1.0
l_s0,0.014,0.012,0.0,0.036,0.0,0.0,4612.0,4719.0,1.0
mu_p[0],-0.062,0.022,-0.103,-0.021,0.0,0.0,18034.0,5245.0,1.0
mu_p[1],-0.072,0.02,-0.109,-0.033,0.0,0.0,15530.0,5255.0,1.0
mu_p[2],-0.134,0.028,-0.184,-0.078,0.0,0.0,11985.0,5572.0,1.0
mu_p[3],0.023,0.018,-0.012,0.055,0.0,0.0,15329.0,5532.0,1.0
mu_p[4],0.235,0.071,0.099,0.369,0.001,0.0,13226.0,5717.0,1.0
mu_p[5],0.061,0.021,0.021,0.101,0.0,0.0,11891.0,5950.0,1.0
mu_p[6],-0.05,0.045,-0.136,0.033,0.0,0.0,12614.0,4841.0,1.0
mu_p[7],0.102,0.018,0.07,0.138,0.0,0.0,14588.0,6401.0,1.0
mu_p[8],-0.017,0.023,-0.063,0.025,0.0,0.0,14144.0,6057.0,1.0
mu_p[9],-0.031,0.023,-0.073,0.012,0.0,0.0,15391.0,6265.0,1.0
mu_p[10],0.075,0.018,0.041,0.111,0.0,0.0,14050.0,6577.0,1.0
mu_p[11],0.089,0.019,0.056,0.125,0.0,0.0,14024.0,6066.0,1.0
mu_p[12],-0.416,0.047,-0.502,-0.328,0.0,0.0,11300.0,5207.0,1.0
mu_p[13],0.18,0.031,0.123,0.238,0.0,0.0,11370.0,5738.0,1.0
mu_p[14],-0.276,0.033,-0.344,-0.22,0.0,0.0,13643.0,5477.0,1.0
mu_p[15],-0.312,0.039,-0.386,-0.24,0.0,0.0,15508.0,5587.0,1.0
sig_n,0.003,0.001,0.001,0.004,0.0,0.0,970.0,2247.0,1.0
var_p,0.031,0.006,0.021,0.043,0.0,0.0,650.0,1435.0,1.01
var_s[0],0.143,0.019,0.109,0.179,0.0,0.0,12683.0,5977.0,1.0
var_s[1],0.109,0.013,0.086,0.133,0.0,0.0,13623.0,6109.0,1.0
var_s[2],0.078,0.009,0.062,0.095,0.0,0.0,13166.0,5528.0,1.0
var_s[3],0.091,0.01,0.073,0.112,0.0,0.0,13208.0,5843.0,1.0
var_s[4],0.019,0.002,0.015,0.023,0.0,0.0,9520.0,6159.0,1.0
var_s[5],0.145,0.019,0.11,0.181,0.0,0.0,10178.0,5962.0,1.0
var_s[6],0.034,0.004,0.027,0.041,0.0,0.0,11025.0,5822.0,1.0
var_s[7],0.208,0.033,0.15,0.268,0.0,0.0,11027.0,5692.0,1.0
var_s[8],0.101,0.013,0.077,0.125,0.0,0.0,8623.0,5855.0,1.0
var_s[9],0.1,0.012,0.079,0.123,0.0,0.0,9189.0,5370.0,1.0
var_s[10],0.069,0.008,0.054,0.083,0.0,0.0,10436.0,6268.0,1.0
var_s[11],0.121,0.015,0.096,0.15,0.0,0.0,11607.0,5478.0,1.0
var_s[12],0.083,0.009,0.066,0.101,0.0,0.0,10168.0,5986.0,1.0
var_s[13],0.06,0.006,0.048,0.071,0.0,0.0,8489.0,6813.0,1.0
var_s[14],0.049,0.005,0.039,0.058,0.0,0.0,10626.0,5775.0,1.0
var_s[15],0.065,0.007,0.052,0.078,0.0,0.0,10574.0,5765.0,1.0
