WMSize,DurLevel,TPresent,NT,NSub,curDur,phyDur,repVDur,repDur,presentColorDeg,respColorDeg,WMRP
3,3,2,1,1,1.1,1.100343581,0.710133853,0.693990635,1.79768913,3.874630939,2
1,5,2,2,1,1.7,1.700222035,1.310139513,1.301956477,2.827433388,5.846852994,2
5,3,1,3,1,1.1,1.100117782,0.819060273,0.805939834,3.909537524,3.909537524,1
1,4,2,4,1,1.4,1.400145805,0.868794462,0.853918951,1.029744259,0.750491578,1
3,2,2,5,1,0.8,0.800085716,0.480030965,0.46997125,4.031710572,5.148721293,2
3,1,1,6,1,0.5,0.500093461,0.559974596,0.549965888,2.914699851,2.914699851,1
3,5,1,7,1,1.7,1.700194977,0.998343832,0.981974193,2.600540585,2.600540585,2
5,3,2,8,1,1.1,1.100100365,1.079686109,1.062041298,2.460914245,1.640609497,2
1,2,1,9,1,0.8,0.800097846,1.230183441,1.221907411,3.822271062,3.822271062,1
1,5,1,10,1,1.7,1.700182536,1.610142343,1.60597641,4.276056667,4.276056667,1
5,4,1,11,1,1.4,1.40015047,1.180859795,1.174020978,4.22369679,4.22369679,1
5,2,2,12,1,0.8,0.80007452,0.99176861,0.98201618,4.852015321,5.794493117,2
1,2,2,13,1,0.8,0.800020403,0.999394138,0.981881199,2.059488517,2.49582083,2
5,1,1,14,1,0.5,0.500061426,0.751605239,0.742028534,0.907571211,0.907571211,1
5,1,2,15,1,0.5,0.500066713,0.30000874,0.294018688,5.183627878,0.628318531,2
5,4,2,16,1,1.4,1.40015949,0.800089449,0.789972506,5.113814708,4.136430327,1
5,5,2,17,1,1.7,1.700106026,1.410147195,1.398000863,0.20943951,1.064650844,2
3,1,2,18,1,0.5,0.500042765,1.090183883,1.077995875,0.453785606,3.455751919,2
1,4,1,19,1,1.4,1.400147671,1.040105709,1.029903547,5.759586532,5.759586532,1
5,5,1,20,1,1.7,1.700177249,0.940081854,0.933991344,5.253441049,5.253441049,2
3,4,1,21,1,1.4,1.400186548,1.360004951,1.349911957,3.316125579,3.316125579,1
1,3,1,22,1,1.1,1.100133644,1.140194566,1.125999873,2.251474735,2.251474735,1
1,3,2,23,1,1.1,1.100119337,0.980111052,0.96600842,4.066617157,0.06981317,2
3,4,2,24,1,1.4,1.400176907,1.59999944,1.589932571,4.886921906,2.583087293,2
1,1,1,25,1,0.5,0.500047119,0.860680326,0.85398582,1.431169987,1.431169987,1
3,2,1,26,1,0.8,0.800148542,0.708631016,0.693910392,0.610865238,0.610865238,1
3,3,1,27,1,1.1,1.100130534,0.910136776,0.901990441,3.176499239,3.176499239,2
3,5,2,28,1,1.7,1.700170718,1.238779343,1.222051412,3.281218994,5.654866776,2
1,1,2,29,1,0.5,0.500075111,0.250019516,0.245972392,0.750491578,2.21656815,2
5,2,1,30,1,0.8,0.800072654,0.830074336,0.822036857,4.328416545,4.328416545,2
1,2,2,31,1,0.8,0.800164093,0.830149603,0.821979008,4.380776423,4.921828491,2
3,2,1,32,1,0.8,0.800087894,0.880084087,0.869997935,3.717551307,3.717551307,2
1,1,2,33,1,0.5,0.500048052,0.670078529,0.661944634,5.009094953,1.256637061,2
1,2,1,34,1,0.8,0.800130503,0.690075711,0.678027661,1.291543646,1.291543646,1
5,1,1,35,1,0.5,0.500061737,0.239983914,0.229907715,1.099557429,1.099557429,1
1,5,2,36,1,1.7,1.700206485,0.600580421,0.597948426,4.57276264,1.361356817,2
1,5,1,37,1,1.7,1.700173517,0.731316012,0.725962924,0.785398163,0.785398163,1
5,5,2,38,1,1.7,1.700173206,1.000189721,0.998037626,5.881759579,1.692969374,2
1,4,2,39,1,1.4,1.400152647,0.830104194,0.822032503,0.872664626,0.837758041,1
1,4,1,40,1,1.4,1.400134608,1.220065108,1.2059208,2.617993878,2.617993878,1
3,2,2,41,1,0.8,0.800094114,1.159943557,1.14201883,0.06981317,0.541052068,1
5,5,1,42,1,1.7,1.700200575,1.379334379,1.365970414,2.583087293,2.583087293,2
5,4,1,43,1,1.4,1.400145494,1.330040902,1.317913231,6.23082543,6.23082543,1
3,5,1,44,1,1.7,1.700153612,1.490208702,1.478004832,6.021385919,6.021385919,1
3,3,2,45,1,1.1,1.100061488,0.770065995,0.757879231,5.026548246,0.680678408,2
3,1,1,46,1,0.5,0.50006267,0.510083965,0.501987704,4.694935688,4.694935688,1
5,2,1,47,1,0.8,0.800105933,0.490054126,0.485884772,4.4331363,4.4331363,1
1,3,2,48,1,1.1,1.100209844,0.989990834,0.98197637,2.443460953,2.338741198,1
3,4,2,49,1,1.4,1.400147049,1.139361039,1.125957264,5.288347634,1.047197551,2
5,3,1,50,1,1.1,1.100116538,1.040087981,1.029978502,4.241150082,4.241150082,2
3,4,1,51,1,1.4,1.400161356,1.120023214,1.109931464,5.201081171,5.201081171,2
5,2,2,52,1,0.8,0.800108421,1.100139554,1.093990261,3.054326191,4.22369679,2
5,3,2,53,1,1.1,1.100184962,0.870080519,0.853923928,0.157079633,3.595378259,2
1,1,1,54,1,0.5,0.500113988,0.930115297,0.917933509,3.892084232,3.892084232,1
5,4,2,55,1,1.4,1.40015358,0.860072909,0.854043047,1.099557429,2.565634,2
3,3,1,56,1,1.1,1.100146085,1.079504474,1.061994023,5.009094953,5.009094953,1
3,5,2,57,1,1.7,1.700224835,1.020153624,1.014045075,4.345869837,4.136430327,1
3,1,2,58,1,0.5,0.500044942,0.950130207,0.933997253,1.658062789,1.623156204,2
1,3,1,59,1,1.1,1.100131156,0.960105161,0.949991018,4.904375198,4.904375198,1
5,1,2,60,1,0.5,0.499112201,0.590049368,0.581947819,5.427973974,0.436332313,2
1,4,1,61,1,1.4,1.400180639,0.700087987,0.693954246,6.021385919,6.021385919,1
3,3,1,62,1,1.1,1.100135821,1.030113338,1.013965455,0.785398163,0.785398163,1
