WMSize,ShortLong,DurLevel,TPresent,NT,NSub,curDur,repDur,WMRP,valid,stdRepDur
3,1,5,1,1,1,1.7,0.741968746,2,1,0.267018045
1,1,4,2,2,1,1.4,1.157973566,1,1,0.182222249
1,1,2,1,3,1,0.8,1.157923181,2,1,0.218704926
5,1,1,2,4,1,0.5,0.885972125,2,1,0.262938991
3,1,3,2,5,1,1.1,1.109993693,1,1,0.193113733
3,1,2,2,6,1,0.8,0.949892935,2,1,0.225974358
5,1,5,2,7,1,1.7,1.077958799,2,1,0.308974279
3,1,5,2,8,1,1.7,1.429923066,2,1,0.267018045
5,1,3,1,9,1,1.1,1.173915124,2,1,0.186925457
5,1,4,1,10,1,1.4,1.12596231,2,1,0.244865
3,1,3,1,11,1,1.1,1.077996121,1,1,0.193113733
1,1,1,1,12,1,0.5,0.486004347,1,1,0.281483542
3,1,1,1,13,1,0.5,0.805948961,1,1,0.298763828
3,1,2,1,14,1,0.8,0.549983628,2,1,0.225974358
1,1,4,1,15,1,1.4,1.141720678,1,1,0.182222249
1,1,3,2,16,1,1.1,0.950014232,1,1,0.221570131
5,1,4,2,17,1,1.4,1.029974882,2,1,0.244865
5,1,2,2,18,1,0.8,0.805990326,2,1,0.178798236
3,1,1,2,19,1,0.5,0.565953178,2,1,0.298763828
1,1,2,2,20,1,0.8,0.805967,2,1,0.218704926
3,1,4,1,21,1,1.4,0.917976539,2,1,0.175458226
1,1,3,1,22,1,1.1,1.094021965,1,1,0.221570131
5,1,1,1,23,1,0.5,0.806042888,1,1,0.262938991
5,1,2,1,24,1,0.8,1.349981389,1,1,0.178798236
1,1,5,2,25,1,1.7,0.981978836,1,1,0.212768047
1,1,5,1,26,1,1.7,1.125933696,1,1,0.212768047
1,1,1,2,27,1,0.5,0.83797328,1,1,0.281483542
5,1,3,2,28,1,1.1,0.949983441,1,1,0.186925457
3,1,4,2,29,1,1.4,0.853986372,2,1,0.175458226
5,1,5,1,30,1,1.7,1.206001647,2,1,0.308974279
1,1,2,2,31,1,0.8,1.046022187,1,1,0.218704926
3,1,2,1,32,1,0.8,1.013982317,2,1,0.225974358
1,1,1,1,33,1,0.5,0.757973753,1,1,0.281483542
5,1,5,1,34,1,1.7,1.078016026,1,1,0.308974279
5,1,4,1,35,1,1.4,1.238030943,1,1,0.244865
1,1,1,2,36,1,0.5,0.566044928,1,1,0.281483542
5,1,4,2,37,1,1.4,0.725909312,2,1,0.244865
5,1,2,2,38,1,0.8,0.709984238,2,1,0.178798236
5,1,3,1,39,1,1.1,0.725933571,2,1,0.186925457
5,1,1,2,40,1,0.5,0.534048912,1,1,0.262938991
1,1,3,1,41,1,1.1,0.965886745,1,1,0.221570131
3,1,4,2,42,1,1.4,0.917942016,2,1,0.175458226
5,1,5,2,43,1,1.7,1.046002904,1,1,0.308974279
3,1,5,2,44,1,1.7,1.046009746,2,1,0.267018045
1,1,5,1,45,1,1.7,1.381989535,1,1,0.212768047
5,1,3,2,46,1,1.1,0.74197901,2,1,0.186925457
5,1,1,1,47,1,0.5,1.014034568,1,1,0.262938991
1,1,2,1,48,1,0.8,1.157974499,1,1,0.218704926
3,1,3,2,49,1,1.1,0.93397377,2,1,0.193113733
1,1,5,2,50,1,1.7,1.749970005,2,1,0.212768047
3,1,3,1,51,1,1.1,1.238011037,1,1,0.193113733
3,1,1,2,52,1,0.5,1.045989219,2,1,0.298763828
3,1,5,1,53,1,1.7,1.381915512,2,1,0.267018045
3,1,4,1,54,1,1.4,1.045930125,1,1,0.175458226
1,1,3,2,55,1,1.1,1.109914694,2,1,0.221570131
3,1,1,1,56,1,0.5,1.349958373,2,1,0.298763828
1,1,4,1,57,1,1.4,1.349931004,1,1,0.182222249
3,1,2,2,58,1,0.8,1.221891265,1,1,0.225974358
5,1,2,1,59,1,0.8,0.806001212,1,1,0.178798236
1,1,4,2,60,1,1.4,0.933983101,2,1,0.182222249
1,1,4,2,61,1,1.4,1.013978585,2,1,0.182222249
5,1,2,1,62,1,0.8,0.949917194,2,1,0.178798236
3,1,2,1,63,1,0.8,0.486004969,1,1,0.225974358
3,1,5,2,64,1,1.7,1.526015929,2,1,0.267018045
5,1,3,1,65,1,1.1,1.189994153,2,1,0.186925457
3,1,4,2,66,1,1.4,1.237957231,1,1,0.175458226
1,1,1,2,67,1,0.5,0.725962807,1,1,0.281483542
5,1,1,2,68,1,0.5,0.965920957,1,1,0.262938991
1,1,3,2,69,1,1.1,0.87000102,2,1,0.221570131
5,1,1,1,70,1,0.5,0.437982175,1,1,0.262938991
5,1,5,1,71,1,1.7,0.99803827,2,1,0.308974279
3,1,2,2,72,1,0.8,0.997967358,2,1,0.225974358
3,1,5,1,73,1,1.7,1.381903072,2,1,0.267018045
1,1,4,1,74,1,1.4,1.301974768,1,1,0.182222249
3,1,3,1,75,1,1.1,1.333985713,1,1,0.193113733
3,1,1,2,76,1,0.5,0.725967472,2,1,0.298763828
1,1,5,2,77,1,1.7,1.109981563,1,1,0.212768047
3,1,4,1,78,1,1.4,1.110054652,1,1,0.175458226
1,1,2,1,79,1,0.8,0.725977425,1,1,0.218704926
1,1,1,1,80,1,0.5,0.885956263,1,1,0.281483542
5,1,4,2,81,1,1.4,0.85397051,2,1,0.244865
5,1,3,2,82,1,1.1,0.854038001,1,1,0.186925457
5,1,2,2,83,1,0.8,1.046035561,1,1,0.178798236
1,1,2,2,84,1,0.8,0.870021547,2,1,0.218704926
3,1,1,1,85,1,0.5,0.565970906,1,1,0.298763828
3,1,3,2,86,1,1.1,0.869983914,1,1,0.193113733
5,1,4,1,87,1,1.4,0.99793128,2,1,0.244865
1,1,3,1,88,1,1.1,1.253957261,1,1,0.221570131
1,1,5,1,89,1,1.7,1.125927475,1,1,0.212768047
5,1,5,2,90,1,1.7,1.70200475,1,1,0.308974279
5,1,5,2,91,1,1.7,1.749983379,2,1,0.308974279
3,1,4,2,92,1,1.4,1.333883388,2,1,0.175458226
5,1,2,2,93,1,0.8,1.045942566,2,1,0.178798236
1,1,1,2,94,1,0.5,0.821989734,2,1,0.281483542
5,1,2,1,95,1,0.8,0.981924097,1,1,0.178798236
5,1,3,1,96,1,1.1,0.870007552,2,1,0.186925457
3,1,2,1,97,1,0.8,0.902052087,1,1,0.225974358
3,1,1,2,98,1,0.5,0.326027375,1,1,0.298763828
3,1,4,1,99,1,1.4,0.741869221,1,1,0.175458226
3,1,5,2,100,1,1.7,1.061970588,2,1,0.267018045
3,1,3,1,101,1,1.1,1.317960802,1,1,0.193113733
3,1,1,1,102,1,0.5,0.485940899,1,1,0.298763828
3,1,5,1,103,1,1.7,0.886034018,1,1,0.267018045
1,1,5,1,104,1,1.7,1.141967316,1,1,0.212768047
5,1,1,2,105,1,0.5,0.46993807,2,1,0.262938991
5,1,4,1,106,1,1.4,0.69391454,1,1,0.244865
1,1,4,2,107,1,1.4,1.157977609,2,1,0.182222249
3,1,2,2,108,1,0.8,1.173972352,2,1,0.225974358
1,1,3,2,109,1,1.1,1.17401776,2,1,0.221570131
5,1,1,1,110,1,0.5,0.40593764,1,1,0.262938991
5,1,4,2,111,1,1.4,0.934020423,2,1,0.244865
1,1,1,1,112,1,0.5,0.853963668,1,1,0.281483542
5,1,3,2,113,1,1.1,0.949953273,2,1,0.186925457
5,1,5,1,114,1,1.7,1.014005643,1,1,0.308974279
1,1,2,1,115,1,0.8,1.174028646,1,1,0.218704926
1,1,5,2,116,1,1.7,1.285905692,2,1,0.212768047
1,1,2,2,117,1,0.8,1.237970294,2,1,0.218704926
1,1,4,1,118,1,1.4,1.02991019,1,1,0.182222249
1,1,3,1,119,1,1.1,1.20597801,1,1,0.221570131
3,1,3,2,120,1,1.1,1.11000831,2,1,0.193113733
3,1,5,1,121,1,1.7,0.677990398,2,1,0.267018045
3,1,3,1,122,1,1.1,1.093919329,1,1,0.193113733
3,1,2,2,123,1,0.8,0.805971665,1,1,0.225974358
5,1,4,1,124,1,1.4,0.789988741,2,1,0.244865
1,1,2,2,125,1,0.8,1.190031786,1,1,0.218704926
5,1,5,2,126,1,1.7,1.237995175,2,1,0.308974279
5,1,1,1,127,1,0.5,1.109973165,2,1,0.262938991
5,1,1,2,128,1,0.5,0.821987246,2,1,0.262938991
5,1,2,1,129,1,0.8,0.533950941,1,1,0.178798236
5,1,2,2,130,1,0.8,0.901969045,2,1,0.178798236
1,1,4,1,131,1,1.4,1.141875876,1,1,0.182222249
5,1,3,2,132,1,1.1,1.061909628,2,1,0.186925457
3,1,4,2,133,1,1.4,1.301932158,1,1,0.175458226
5,1,3,1,134,1,1.1,0.758007965,2,1,0.186925457
3,1,1,1,135,1,0.5,0.88595533,1,1,0.298763828
3,1,3,2,136,1,1.1,0.998002192,2,1,0.193113733
1,1,4,2,137,1,1.4,1.045978022,2,1,0.182222249
1,1,5,1,138,1,1.7,1.157960192,1,1,0.212768047
1,1,2,1,139,1,0.8,1.381950658,1,1,0.218704926
3,1,2,1,140,1,0.8,0.933990254,1,1,0.225974358
1,1,1,2,141,1,0.5,0.469921897,2,1,0.281483542
5,1,5,1,142,1,1.7,0.773964452,2,1,0.308974279
3,1,5,2,143,1,1.7,1.030054814,2,1,0.267018045
1,1,1,1,144,1,0.5,0.629993419,1,1,0.281483542
5,1,4,2,145,1,1.4,0.933969727,2,1,0.244865
3,1,4,1,146,1,1.4,1.013908916,1,1,0.175458226
1,1,5,2,147,1,1.7,1.142065286,2,1,0.212768047
3,1,1,2,148,1,0.5,0.965924067,2,1,0.298763828
1,1,3,1,149,1,1.1,0.662006541,1,1,0.221570131
1,1,3,2,150,1,1.1,0.85397331,2,1,0.221570131
5,1,5,2,151,1,1.7,1.509981998,2,1,0.308974279
