"","WMSize","ShortLong","DurLevel","TPresent","NT","NSub","curDur","repDur","WMRP","valid","stdRepDur"
"1",1,1,4,2,1,1,1.4,0.869968388,2,1,0.241810905
"2",5,1,3,2,2,1,1.1,1.013950215,1,1,0.144830756
"3",3,1,4,1,3,1,1.4,1.109969097,2,1,0.290821574
"4",1,1,5,2,4,1,1.7,1.189969334,2,1,0.274819072
"5",1,1,4,1,5,1,1.4,1.429956047,1,1,0.241810905
"6",5,1,1,2,6,1,0.5,0.565989199,1,1,0.202133408
"7",1,1,3,2,7,1,1.1,0.933972994,2,1,0.161661868
"8",1,1,2,2,8,1,0.8,0.821942307,1,1,0.246401703
"9",1,1,5,1,9,1,1.7,1.029944291,1,1,0.274819072
"10",5,1,1,1,10,1,0.5,0.389999627,2,1,0.202133408
"11",1,1,2,1,11,1,0.8,0.773925868,1,1,0.246401703
"12",5,1,5,1,12,1,1.7,0.853947876,1,1,0.33002058
"13",3,1,1,2,13,1,0.5,0.597987614,1,1,0.23080033
"14",5,1,4,1,14,1,1.4,0.98195802,1,1,0.18571276
"15",3,1,4,2,15,1,1.4,1.061966343,2,1,0.290821574
"16",1,1,1,1,16,1,0.5,0.357975086,1,1,0.186105769
"17",3,1,2,1,17,1,0.8,0.662048825,1,1,0.185615692
"18",3,1,1,1,18,1,0.5,0.422010794,2,1,0.23080033
"19",5,1,3,1,19,1,1.1,1.061983449,2,1,0.144830756
"20",5,1,2,2,20,1,0.8,0.805922417,2,1,0.188165028
"21",5,1,2,1,21,1,0.8,0.837962198,1,1,0.188165028
"22",1,1,3,1,22,1,1.1,0.837962198,1,1,0.161661868
"23",5,1,5,2,23,1,1.7,2.101944223,2,1,0.33002058
"24",3,1,5,1,24,1,1.7,1.445984335,1,1,0.327662655
"25",3,1,5,2,25,1,1.7,1.557930735,2,1,0.327662655
"26",1,1,1,2,26,1,0.5,0.565931972,2,1,0.186105769
"27",5,1,4,2,27,1,1.4,0.885990767,2,1,0.18571276
"28",3,1,3,2,28,1,1.1,1.701971344,2,1,0.206971664
"29",3,1,2,2,29,1,0.8,0.661909178,1,1,0.185615692
"30",3,1,3,1,30,1,1.1,1.237933522,1,1,0.206971664
"31",5,1,2,1,31,1,0.8,0.837994544,2,1,0.188165028
"32",3,1,4,1,32,1,1.4,1.061973496,1,1,0.290821574
"33",1,1,1,1,33,1,0.5,0.582032104,1,1,0.186105769
"34",5,1,3,2,34,1,1.1,0.853962805,1,1,0.144830756
"35",3,1,3,1,35,1,1.1,0.821993314,1,1,0.206971664
"36",5,1,1,1,36,1,0.5,0.486032194,2,1,0.202133408
"37",1,1,2,1,37,1,0.8,0.565972715,1,1,0.246401703
"38",3,1,4,2,38,1,1.4,0.789925853,2,1,0.290821574
"39",5,1,4,1,39,1,1.4,1.221984544,2,1,0.18571276
"40",3,1,2,1,40,1,0.8,0.837904348,1,1,0.185615692
"41",5,1,5,2,41,1,1.7,0.918014685,2,1,0.33002058
"42",1,1,3,2,42,1,1.1,0.838029066,2,1,0.161661868
"43",1,1,5,2,43,1,1.7,1.669945248,1,1,0.274819072
"44",1,1,1,2,44,1,0.5,0.597892443,2,1,0.186105769
"45",5,1,3,1,45,1,1.1,0.837905592,1,1,0.144830756
"46",5,1,4,2,46,1,1.4,1.029902303,2,1,0.18571276
"47",5,1,5,1,47,1,1.7,0.854058598,2,1,0.33002058
"48",3,1,5,2,48,1,1.7,1.813912457,2,1,0.327662655
"49",1,1,5,1,49,1,1.7,1.349959543,1,1,0.274819072
"50",3,1,1,2,50,1,0.5,0.453886979,2,1,0.23080033
"51",5,1,2,2,51,1,0.8,0.78991559,2,1,0.188165028
"52",1,1,3,1,52,1,1.1,0.950005014,1,1,0.161661868
"53",1,1,4,1,53,1,1.4,0.901979244,2,1,0.241810905
"54",3,1,5,1,54,1,1.7,1.094019497,1,1,0.327662655
"55",3,1,1,1,55,1,0.5,0.485907476,1,1,0.23080033
"56",3,1,3,2,56,1,1.1,0.82201944,2,1,0.206971664
"57",1,1,2,2,57,1,0.8,0.870003222,1,1,0.246401703
"58",3,1,2,2,58,1,0.8,0.741981881,2,1,0.185615692
"59",1,1,4,2,59,1,1.4,1.109969097,2,1,0.241810905
"60",5,1,1,2,60,1,0.5,0.501971531,2,1,0.202133408
"61",3,1,2,1,61,1,0.8,0.918014996,1,1,0.185615692
"62",5,1,2,2,62,1,0.8,0.597935674,2,1,0.188165028
"63",3,1,5,1,63,1,1.7,1.046018609,1,1,0.327662655
"64",5,1,3,2,64,1,1.1,0.997995327,2,1,0.144830756
"65",3,1,1,2,65,1,0.5,0.56595903,2,1,0.23080033
"66",3,1,3,1,66,1,1.1,0.982010893,1,1,0.206971664
"67",5,1,1,2,67,1,0.5,0.549983927,2,1,0.202133408
"68",3,1,2,2,68,1,0.8,0.821994558,2,1,0.185615692
"69",3,1,4,2,69,1,1.4,-0.000124572,2,0,0.290821574
"70",5,1,4,2,70,1,1.4,0.981920076,2,1,0.18571276
"71",1,1,1,1,71,1,0.5,0.822042455,1,1,0.186105769
"72",1,1,2,1,72,1,0.8,0.725994959,1,1,0.246401703
