WMSize,DurLevel,TPresent,NT,NSub,curDur,phyDur,repVDur,repDur,presentColorDeg,respColorDeg,WMRP
1,4,2,1,1,1.4,1.398493369,0.879914893,0.869968388,3.385938749,2.513274123,2
5,3,2,2,1,1.1,1.100093523,1.020125321,1.013950215,1.79768913,1.291543646,1
3,4,1,3,1,1.4,1.400193702,1.120123051,1.109969097,3.316125579,3.316125579,2
1,5,2,4,1,1.7,1.700153923,1.200019719,1.189969334,4.36332313,0.226892803,2
1,4,1,5,1,1.4,1.400124345,1.440164429,1.429956047,3.735004599,3.735004599,1
5,1,2,6,1,0.5,0.499604852,0.571307141,0.565989199,1.640609497,3.525565089,1
1,3,2,7,1,1.1,1.100114672,0.940032402,0.933972994,5.026548246,4.694935688,2
1,2,2,8,1,0.8,0.800055237,0.830099529,0.821942307,5.759586532,0.034906585,1
1,5,1,9,1,1.7,1.700238519,1.039844143,1.029944291,6.108652382,6.108652382,1
5,1,1,10,1,0.5,0.499999222,0.400012378,0.389999627,5.445427266,5.445427266,2
1,2,1,11,1,0.8,0.800137034,0.781726352,0.773925868,4.345869837,4.345869837,1
5,5,1,12,1,1.7,1.700177871,0.86030555,0.853947876,4.171336912,4.171336912,1
3,1,2,13,1,0.5,0.50009937,0.610012649,0.597987614,5.305800926,5.550147021,1
5,4,1,14,1,1.4,1.400170375,0.990121773,0.98195802,4.520402763,4.520402763,1
3,4,2,15,1,1.4,1.400237244,1.07100561,1.061966343,4.956735076,4.241150082,2
1,1,1,16,1,0.5,0.500070756,0.369980838,0.357975086,2.600540585,2.600540585,1
3,2,1,17,1,0.8,0.800183687,0.679584779,0.662048825,0.680678408,0.680678408,1
3,1,1,18,1,0.5,0.500061426,0.438438593,0.422010794,5.235987756,5.235987756,2
5,3,1,19,1,1.1,1.10018123,1.079605866,1.061983449,2.513274123,2.513274123,2
5,2,2,20,1,0.8,0.800090693,0.811389026,0.805922417,2.094395102,5.148721293,2
5,2,1,21,1,0.8,0.80008976,0.850009315,0.837962198,5.846852994,5.846852994,1
1,3,1,22,1,1.1,1.100129912,0.840646133,0.837962198,0.925024504,0.925024504,1
5,5,2,23,1,1.7,1.699963891,2.110201592,2.101944223,4.764748858,3.647738137,2
3,5,1,24,1,1.7,1.700214882,1.46016441,1.445984335,3.420845334,3.420845334,1
3,5,2,25,1,1.7,1.70017756,1.570255902,1.557930735,0.663225116,1.710422667,2
1,1,2,26,1,0.5,0.500047119,0.579819069,0.565931972,3.665191429,1.919862177,2
5,4,2,27,1,1.4,1.400228847,0.890859911,0.885990767,0.890117919,2.35619449,2
3,3,2,28,1,1.1,1.100096322,1.718644536,1.701971344,4.276056667,6.248278722,2
3,2,2,29,1,0.8,0.800092559,0.669946968,0.661909178,4.258603375,1.029744259,1
3,3,1,30,1,1.1,1.100232859,1.250189332,1.237933522,2.775073511,2.775073511,1
5,2,1,31,1,0.8,0.800081051,0.850180686,0.837994544,0.767944871,0.767944871,2
3,4,1,32,1,1.4,1.400197434,1.070122631,1.061973496,4.380776423,4.380776423,1
1,1,1,33,1,0.5,0.500053028,0.59134289,0.582032104,3.368485456,3.368485456,1
5,3,2,34,1,1.1,1.100101298,0.860107121,0.853962805,0.314159265,1.378810109,1
3,3,1,35,1,1.1,1.100128046,0.830150536,0.821993314,2.35619449,2.35619449,1
5,1,1,36,1,0.5,0.500058627,0.490445386,0.486032194,6.265732015,6.265732015,2
1,2,1,37,1,0.8,0.800084161,0.580040824,0.565972715,5.532693729,5.532693729,1
3,4,2,38,1,1.4,1.400199922,0.800123661,0.789925853,4.415683008,1.431169987,2
5,4,1,39,1,1.4,1.400126833,1.239376186,1.221984544,2.932153143,2.932153143,2
3,2,1,40,1,0.8,0.800071721,0.850034196,0.837904348,5.131268001,5.131268001,1
5,5,2,41,1,1.7,1.700182536,0.930081707,0.918014685,4.57276264,5.253441049,2
1,3,2,42,1,1.1,1.100080149,0.841122612,0.838029066,4.921828491,2.687807048,2
1,5,2,43,1,1.7,1.700177249,1.671794101,1.669945248,0.087266463,2.792526803,1
1,1,2,44,1,0.5,0.500089107,0.609987457,0.597892443,1.256637061,0.541052068,2
5,3,1,45,1,1.1,1.100143597,0.850106352,0.837905592,3.961897402,3.961897402,1
5,4,2,46,1,1.4,1.40015638,1.040168534,1.029902303,5.445427266,4.904375198,2
5,5,1,47,1,1.7,1.700234787,0.860061712,0.854058598,4.974188368,4.974188368,2
3,5,2,48,1,1.7,1.700227012,1.830284895,1.813912457,3.892084232,0.698131701,2
1,5,1,49,1,1.7,1.700249405,1.360107898,1.349959543,1.500983157,1.500983157,1
3,1,2,50,1,0.5,0.500134515,0.470081826,0.453886979,2.792526803,5.724679947,2
5,2,2,51,1,0.8,0.800159739,0.800039375,0.78991559,2.35619449,2.897246558,2
1,3,1,52,1,1.1,1.100108452,0.960103606,0.950005014,3.228859116,3.228859116,1
1,4,1,53,1,1.4,1.400174108,0.910121847,0.901979244,2.42600766,2.42600766,2
3,5,1,54,1,1.7,1.700223902,1.100163191,1.094019497,3.141592654,3.141592654,1
3,1,1,55,1,0.5,0.500040899,0.499566286,0.485907476,5.969026042,5.969026042,1
3,3,2,56,1,1.1,1.100111251,0.830131564,0.82201944,3.979350695,3.385938749,2
1,2,2,57,1,0.8,0.800094736,0.879881925,0.870003222,2.617993878,3.106686069,1
3,2,2,58,1,0.8,0.800152896,0.750121064,0.741981881,1.239183769,5.846852994,2
1,4,2,59,1,1.4,1.400198367,1.120137358,1.109969097,3.909537524,1.605702912,2
5,1,2,60,1,0.5,0.500042454,0.511197097,0.501971531,5.061454831,1.047197551,2
3,2,1,61,1,0.8,0.800082606,0.930133958,0.918014996,1.466076572,1.466076572,1
5,2,2,62,1,0.8,0.800140456,0.600925028,0.597935674,4.206243497,6.003932627,2
3,5,1,63,1,1.7,1.700288593,1.060040998,1.046018609,2.652900463,2.652900463,1
5,3,2,64,1,1.1,1.100342026,1.0100073,0.997995327,0.645771823,4.450589593,2
3,1,2,65,1,0.5,0.500051162,0.570021395,0.56595903,1.623156204,5.934119457,2
3,3,1,66,1,1.1,1.100124936,0.990073254,0.982010893,4.258603375,4.258603375,1
5,1,2,67,1,0.5,0.500095327,0.560055461,0.549983927,6.143558967,1.431169987,2
3,2,2,68,1,0.8,0.800124905,0.830085533,0.821994558,6.16101226,3.211405824,2
3,4,2,69,1,1.4,1.400141451,0.010078834,-0.000124572,1.745329252,2.35619449,2
5,4,2,70,1,1.4,1.400195257,0.990136391,0.981920076,6.091199089,0.13962634,2
1,1,1,71,1,0.5,0.500116476,0.830066561,0.822042455,3.647738137,3.647738137,1
1,2,1,72,1,0.8,0.800100334,0.738434891,0.725994959,4.171336912,4.171336912,1
1,4,1,73,1,1.4,1.400137408,1.730158404,1.718053127,5.916666164,5.916666164,1
1,4,2,74,1,1.4,1.400164466,1.100119337,1.093989639,0.41887902,6.283185307,1
1,1,2,75,1,0.5,0.5000014,0.480067354,0.470051181,0.401425728,5.550147021,2
1,5,1,76,1,1.7,1.700174761,0.76113295,0.757948899,6.265732015,6.265732015,1
5,4,1,77,1,1.4,1.400103818,1.490134991,1.477973419,5.096361416,5.096361416,1
1,3,2,78,1,1.1,1.100106275,1.180170581,1.174017556,3.979350695,0.855211333,2
1,3,1,79,1,1.1,1.100114983,1.200116756,1.189922992,0.226892803,0.226892803,1
