,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.255,0.273,0.784,1.794,0.009,0.007,790.0,1348.0,1.01
epsilon[1],1.685,0.369,1.042,2.395,0.012,0.009,849.0,1277.0,1.01
epsilon[2],1.157,0.251,0.688,1.611,0.009,0.006,813.0,1178.0,1.01
epsilon[3],1.926,0.418,1.146,2.683,0.014,0.01,832.0,1464.0,1.01
epsilon[4],1.491,0.332,0.887,2.102,0.011,0.008,894.0,1536.0,1.01
epsilon[5],1.161,0.252,0.738,1.65,0.009,0.006,849.0,1485.0,1.01
epsilon[6],2.818,0.615,1.723,3.953,0.021,0.015,856.0,1606.0,1.01
epsilon[7],3.848,0.844,2.285,5.388,0.027,0.019,901.0,1389.0,1.01
epsilon[8],2.222,0.493,1.348,3.149,0.016,0.012,876.0,1526.0,1.01
epsilon[9],2.168,0.479,1.314,3.05,0.016,0.011,863.0,1538.0,1.01
epsilon[10],2.4,0.527,1.495,3.44,0.018,0.012,842.0,1604.0,1.01
epsilon[11],4.156,0.991,2.458,6.074,0.028,0.02,1150.0,1880.0,1.0
epsilon[12],1.942,0.433,1.171,2.751,0.014,0.01,864.0,1444.0,1.0
epsilon[13],5.03,1.121,3.103,7.204,0.033,0.024,1073.0,1693.0,1.0
epsilon[14],3.607,0.795,2.178,5.077,0.026,0.018,893.0,1535.0,1.01
epsilon[15],2.919,0.646,1.75,4.114,0.021,0.015,882.0,1473.0,1.0
epsilon_k[0],2.395,1.807,0.0,5.663,0.017,0.012,7983.0,4477.0,1.0
epsilon_k[1],2.407,1.782,0.0,5.651,0.018,0.013,6519.0,3532.0,1.0
epsilon_k[2],2.392,1.836,0.0,5.702,0.017,0.013,7715.0,3437.0,1.0
epsilon_k[3],2.403,1.822,0.001,5.729,0.017,0.012,7377.0,4343.0,1.0
epsilon_k[4],2.387,1.786,0.001,5.552,0.017,0.012,6716.0,2932.0,1.0
epsilon_k[5],2.386,1.804,0.0,5.639,0.018,0.013,6757.0,4334.0,1.0
epsilon_k[6],2.364,1.756,0.002,5.474,0.017,0.012,7111.0,4359.0,1.0
epsilon_k[7],2.378,1.818,0.001,5.732,0.017,0.012,7402.0,3901.0,1.0
epsilon_k[8],2.39,1.785,0.004,5.572,0.017,0.012,6616.0,3284.0,1.0
epsilon_k[9],2.391,1.752,0.001,5.559,0.016,0.011,8043.0,4549.0,1.0
epsilon_k[10],2.381,1.792,0.0,5.596,0.017,0.012,6612.0,3207.0,1.0
epsilon_k[11],2.399,1.834,0.0,5.749,0.016,0.012,7830.0,2926.0,1.0
epsilon_k[12],2.378,1.817,0.0,5.671,0.017,0.012,6399.0,3420.0,1.0
epsilon_k[13],2.386,1.801,0.0,5.596,0.017,0.012,6743.0,3264.0,1.0
epsilon_k[14],2.381,1.859,0.002,5.754,0.017,0.012,7709.0,3752.0,1.0
epsilon_k[15],2.409,1.799,0.001,5.626,0.017,0.012,7707.0,4208.0,1.0
mu_p[0],-0.113,0.016,-0.145,-0.084,0.0,0.0,14631.0,5376.0,1.0
mu_p[1],0.093,0.022,0.052,0.133,0.0,0.0,13138.0,6490.0,1.0
mu_p[2],-0.008,0.017,-0.043,0.023,0.0,0.0,16946.0,5850.0,1.0
mu_p[3],-0.063,0.021,-0.102,-0.022,0.0,0.0,15427.0,5911.0,1.0
mu_p[4],-0.063,0.038,-0.134,0.007,0.0,0.0,14656.0,5448.0,1.0
mu_p[5],-0.17,0.018,-0.205,-0.137,0.0,0.0,14166.0,5353.0,1.0
mu_p[6],-0.393,0.039,-0.468,-0.324,0.0,0.0,13622.0,5291.0,1.0
mu_p[7],-0.019,0.038,-0.088,0.055,0.0,0.0,13536.0,5851.0,1.0
mu_p[8],0.252,0.037,0.181,0.322,0.0,0.0,11707.0,6140.0,1.0
mu_p[9],-0.052,0.025,-0.099,-0.005,0.0,0.0,13193.0,6155.0,1.0
mu_p[10],-0.011,0.029,-0.067,0.043,0.0,0.0,13819.0,6311.0,1.0
mu_p[11],-0.611,0.187,-0.963,-0.298,0.002,0.002,7308.0,4827.0,1.0
mu_p[12],0.159,0.032,0.101,0.221,0.0,0.0,12154.0,5843.0,1.0
mu_p[13],0.133,0.087,-0.031,0.294,0.001,0.001,12067.0,6008.0,1.0
mu_p[14],-0.074,0.043,-0.153,0.006,0.0,0.0,10728.0,5218.0,1.0
mu_p[15],-0.124,0.04,-0.197,-0.049,0.0,0.0,13931.0,5469.0,1.0
sig_n,0.002,0.0,0.001,0.003,0.0,0.0,1109.0,1859.0,1.0
var_p,0.044,0.009,0.028,0.061,0.0,0.0,743.0,1140.0,1.01
var_s[0],0.165,0.023,0.125,0.208,0.0,0.0,16526.0,5658.0,1.0
var_s[1],0.074,0.007,0.061,0.088,0.0,0.0,11378.0,6637.0,1.0
var_s[2],0.057,0.005,0.047,0.067,0.0,0.0,14279.0,5547.0,1.0
var_s[3],0.166,0.022,0.127,0.207,0.0,0.0,13905.0,5595.0,1.0
var_s[4],0.014,0.001,0.012,0.017,0.0,0.0,11485.0,5869.0,1.0
var_s[5],0.079,0.008,0.065,0.094,0.0,0.0,16095.0,5605.0,1.0
var_s[6],0.158,0.02,0.122,0.194,0.0,0.0,10856.0,6266.0,1.0
var_s[7],0.129,0.015,0.103,0.157,0.0,0.0,12289.0,6483.0,1.0
var_s[8],0.037,0.004,0.031,0.044,0.0,0.0,9749.0,6496.0,1.0
var_s[9],0.098,0.01,0.08,0.117,0.0,0.0,12789.0,5415.0,1.0
var_s[10],0.073,0.007,0.06,0.086,0.0,0.0,11091.0,5943.0,1.0
var_s[11],0.018,0.002,0.014,0.022,0.0,0.0,10302.0,6225.0,1.0
var_s[12],0.031,0.003,0.026,0.036,0.0,0.0,10413.0,6465.0,1.0
var_s[13],0.028,0.003,0.022,0.033,0.0,0.0,13132.0,6495.0,1.0
var_s[14],0.078,0.008,0.063,0.094,0.0,0.0,12534.0,5501.0,1.0
var_s[15],0.062,0.006,0.051,0.074,0.0,0.0,13395.0,5760.0,1.0
