,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.991,0.407,1.247,2.771,0.012,0.009,1116.0,1854.0,1.0
epsilon[1],3.448,0.716,2.101,4.79,0.02,0.014,1205.0,1897.0,1.0
epsilon[2],2.058,0.424,1.319,2.878,0.012,0.009,1167.0,1827.0,1.01
epsilon[3],3.398,0.696,2.172,4.763,0.02,0.014,1168.0,1751.0,1.01
epsilon[4],3.003,0.61,1.907,4.194,0.018,0.013,1142.0,1647.0,1.01
epsilon[5],2.54,0.519,1.589,3.529,0.015,0.011,1152.0,1762.0,1.01
epsilon[6],2.069,0.421,1.322,2.883,0.012,0.009,1137.0,1877.0,1.0
epsilon[7],3.342,0.687,2.146,4.683,0.02,0.014,1167.0,1842.0,1.0
epsilon[8],3.611,0.734,2.228,4.955,0.021,0.015,1172.0,1813.0,1.01
epsilon[9],2.466,0.502,1.572,3.445,0.015,0.01,1139.0,1891.0,1.01
epsilon[10],2.095,0.427,1.345,2.921,0.012,0.009,1151.0,1956.0,1.01
epsilon[11],1.878,0.38,1.231,2.642,0.011,0.008,1143.0,1963.0,1.01
epsilon[12],2.28,0.463,1.429,3.157,0.013,0.009,1161.0,1845.0,1.0
epsilon[13],2.775,0.562,1.747,3.834,0.017,0.012,1104.0,1854.0,1.01
epsilon[14],1.176,0.236,0.757,1.635,0.007,0.005,1118.0,1821.0,1.01
epsilon[15],4.115,0.857,2.541,5.726,0.025,0.017,1189.0,1873.0,1.01
epsilon_k[0],0.132,0.117,0.0,0.345,0.001,0.001,6142.0,4671.0,1.0
epsilon_k[1],0.212,0.169,0.0,0.51,0.002,0.002,4622.0,4967.0,1.0
epsilon_k[2],1.056,0.354,0.45,1.719,0.007,0.005,2712.0,4241.0,1.0
epsilon_k[3],4.673,1.163,2.494,6.821,0.023,0.016,2431.0,3034.0,1.0
epsilon_k[4],1.281,0.526,0.341,2.216,0.008,0.006,4229.0,4770.0,1.0
epsilon_k[5],2.013,0.625,0.928,3.206,0.011,0.008,2945.0,4267.0,1.0
epsilon_k[6],1.708,0.548,0.766,2.754,0.01,0.007,3150.0,4309.0,1.0
epsilon_k[7],1.085,0.638,0.001,2.187,0.009,0.006,4207.0,3585.0,1.0
epsilon_k[8],4.697,1.206,2.478,6.904,0.022,0.016,2744.0,3682.0,1.0
epsilon_k[9],0.461,0.322,0.001,1.027,0.004,0.003,4616.0,3833.0,1.0
epsilon_k[10],2.267,0.642,1.133,3.471,0.012,0.009,2588.0,3530.0,1.0
epsilon_k[11],4.332,1.751,0.899,7.46,0.03,0.022,3048.0,1674.0,1.0
epsilon_k[12],1.384,1.064,0.002,3.26,0.015,0.011,4155.0,4389.0,1.0
epsilon_k[13],4.833,1.438,2.23,7.514,0.021,0.015,4383.0,4838.0,1.0
epsilon_k[14],0.376,0.359,0.0,1.0,0.005,0.003,4592.0,3283.0,1.0
epsilon_k[15],0.643,0.347,0.004,1.238,0.006,0.004,3584.0,3557.0,1.0
k_r,0.017,0.009,0.0,0.035,0.0,0.0,2011.0,1534.0,1.0
k_s,0.075,0.024,0.034,0.122,0.001,0.0,1758.0,1974.0,1.0
l_s,0.138,0.039,0.076,0.212,0.001,0.001,2501.0,3338.0,1.0
mu_p[0],-0.193,0.032,-0.251,-0.131,0.0,0.0,12004.0,5505.0,1.0
mu_p[1],0.351,0.064,0.239,0.474,0.001,0.001,7348.0,5011.0,1.0
mu_p[2],0.239,0.054,0.135,0.337,0.001,0.0,8366.0,5855.0,1.0
mu_p[3],0.024,0.052,-0.074,0.121,0.001,0.001,9683.0,5577.0,1.0
mu_p[4],-0.417,0.04,-0.491,-0.34,0.0,0.0,9760.0,5986.0,1.0
mu_p[5],-0.169,0.037,-0.239,-0.099,0.0,0.0,9281.0,6292.0,1.0
mu_p[6],-0.042,0.033,-0.102,0.022,0.0,0.0,8383.0,6340.0,1.0
mu_p[7],0.068,0.037,-0.002,0.135,0.0,0.0,6353.0,6011.0,1.0
mu_p[8],0.114,0.051,0.016,0.207,0.001,0.0,9263.0,6282.0,1.0
mu_p[9],-0.311,0.032,-0.367,-0.25,0.0,0.0,9009.0,6049.0,1.0
mu_p[10],0.015,0.036,-0.051,0.085,0.0,0.0,8911.0,5271.0,1.0
mu_p[11],-0.03,0.021,-0.069,0.007,0.0,0.0,7073.0,5236.0,1.0
mu_p[12],0.13,0.023,0.089,0.175,0.0,0.0,6257.0,6512.0,1.0
mu_p[13],-0.323,0.031,-0.385,-0.266,0.0,0.0,4485.0,3279.0,1.0
mu_p[14],-0.071,0.014,-0.096,-0.045,0.0,0.0,10167.0,6525.0,1.0
mu_p[15],0.14,0.068,0.014,0.27,0.001,0.001,5720.0,5609.0,1.0
sig_n,0.002,0.001,0.001,0.003,0.0,0.0,1181.0,1828.0,1.01
var_p,0.04,0.008,0.027,0.055,0.0,0.0,1060.0,1720.0,1.01
var_s[0],0.027,0.002,0.024,0.03,0.0,0.0,12830.0,6067.0,1.0
var_s[1],0.022,0.002,0.019,0.025,0.0,0.0,8352.0,6074.0,1.0
var_s[2],0.015,0.001,0.013,0.018,0.0,0.0,6738.0,6511.0,1.0
var_s[3],0.036,0.004,0.029,0.043,0.0,0.0,5791.0,6001.0,1.0
var_s[4],0.073,0.006,0.061,0.085,0.0,0.0,8854.0,6605.0,1.0
var_s[5],0.045,0.004,0.038,0.053,0.0,0.0,6576.0,6212.0,1.0
var_s[6],0.037,0.003,0.031,0.042,0.0,0.0,7565.0,6410.0,1.0
var_s[7],0.082,0.009,0.067,0.099,0.0,0.0,6060.0,6206.0,1.0
var_s[8],0.045,0.005,0.036,0.054,0.0,0.0,5295.0,6073.0,1.0
var_s[9],0.066,0.005,0.056,0.076,0.0,0.0,8812.0,6322.0,1.0
var_s[10],0.029,0.003,0.025,0.034,0.0,0.0,6249.0,6683.0,1.0
var_s[11],0.114,0.02,0.08,0.153,0.0,0.0,3173.0,2336.0,1.0
var_s[12],0.099,0.012,0.076,0.121,0.0,0.0,4484.0,5796.0,1.0
var_s[13],0.109,0.014,0.085,0.135,0.0,0.0,6303.0,5147.0,1.0
var_s[14],0.055,0.004,0.047,0.063,0.0,0.0,7642.0,5559.0,1.0
var_s[15],0.036,0.003,0.03,0.041,0.0,0.0,6595.0,5989.0,1.0
