,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.711,0.573,1.669,3.779,0.016,0.011,1279.0,1966.0,1.0
epsilon[1],2.182,0.46,1.384,3.071,0.013,0.009,1271.0,2057.0,1.0
epsilon[2],1.226,0.258,0.738,1.701,0.007,0.005,1267.0,1809.0,1.0
epsilon[3],1.489,0.313,0.89,2.054,0.009,0.006,1242.0,1990.0,1.0
epsilon[4],4.019,0.846,2.547,5.678,0.023,0.016,1283.0,1860.0,1.0
epsilon[5],1.756,0.367,1.106,2.453,0.01,0.007,1241.0,1833.0,1.0
epsilon[6],2.592,0.55,1.581,3.627,0.015,0.011,1245.0,1988.0,1.0
epsilon[7],3.105,0.656,1.9,4.325,0.018,0.012,1325.0,1957.0,1.0
epsilon[8],1.668,0.353,1.028,2.335,0.01,0.007,1208.0,1768.0,1.0
epsilon[9],1.856,0.389,1.14,2.573,0.011,0.007,1305.0,1887.0,1.0
epsilon[10],3.107,0.727,1.843,4.513,0.017,0.012,1613.0,2476.0,1.0
epsilon[11],2.492,0.529,1.512,3.469,0.015,0.01,1263.0,1873.0,1.0
epsilon[12],2.892,0.612,1.746,4.024,0.017,0.012,1281.0,1889.0,1.0
epsilon[13],5.551,1.176,3.432,7.824,0.03,0.021,1477.0,2315.0,1.0
epsilon[14],2.385,0.509,1.477,3.374,0.014,0.01,1348.0,2105.0,1.0
epsilon[15],1.829,0.387,1.122,2.57,0.011,0.007,1285.0,1843.0,1.0
epsilon_k[0],0.779,0.702,0.0,2.025,0.008,0.006,6790.0,4330.0,1.0
epsilon_k[1],0.594,0.487,0.0,1.474,0.006,0.004,6210.0,4089.0,1.0
epsilon_k[2],1.792,1.143,0.001,3.766,0.014,0.01,5293.0,3405.0,1.0
epsilon_k[3],1.973,1.222,0.006,4.075,0.015,0.011,5059.0,3223.0,1.0
epsilon_k[4],2.777,1.604,0.004,5.484,0.018,0.013,5309.0,3162.0,1.0
epsilon_k[5],2.805,1.404,0.32,5.335,0.017,0.012,6115.0,4032.0,1.0
epsilon_k[6],1.78,1.312,0.0,4.079,0.016,0.011,4853.0,3185.0,1.0
epsilon_k[7],2.538,1.247,0.321,4.781,0.016,0.012,4829.0,2790.0,1.0
epsilon_k[8],3.023,1.918,0.014,6.389,0.021,0.015,5988.0,3320.0,1.0
epsilon_k[9],2.179,1.396,0.0,4.613,0.017,0.012,4843.0,2739.0,1.0
epsilon_k[10],1.647,0.983,0.009,3.365,0.013,0.009,4877.0,3546.0,1.0
epsilon_k[11],4.152,2.037,0.302,7.733,0.025,0.018,5059.0,2746.0,1.0
epsilon_k[12],2.621,1.307,0.361,4.998,0.016,0.011,6196.0,4548.0,1.0
epsilon_k[13],2.976,1.253,0.928,5.404,0.015,0.011,6211.0,5083.0,1.0
epsilon_k[14],3.01,1.157,1.133,5.238,0.016,0.011,5314.0,5602.0,1.0
epsilon_k[15],2.477,1.224,0.355,4.734,0.016,0.011,4868.0,4035.0,1.0
k_s[0],0.015,0.015,0.0,0.042,0.0,0.0,6383.0,4369.0,1.0
k_s[1],0.011,0.009,0.0,0.028,0.0,0.0,6597.0,4199.0,1.0
k_s[2],0.036,0.027,0.0,0.083,0.0,0.0,4623.0,3383.0,1.0
k_s[3],0.04,0.028,0.0,0.089,0.0,0.0,4145.0,3345.0,1.0
k_s[4],0.056,0.038,0.0,0.124,0.0,0.0,4766.0,3609.0,1.0
k_s[5],0.058,0.036,0.001,0.123,0.001,0.0,4093.0,3787.0,1.0
k_s[6],0.035,0.028,0.0,0.085,0.0,0.0,4504.0,3194.0,1.0
k_s[7],0.051,0.028,0.003,0.101,0.0,0.0,4095.0,3121.0,1.0
k_s[8],0.064,0.052,0.0,0.154,0.001,0.0,4288.0,3251.0,1.0
k_s[9],0.044,0.031,0.0,0.099,0.0,0.0,4452.0,2980.0,1.0
k_s[10],0.031,0.017,0.001,0.061,0.0,0.0,5097.0,3816.0,1.0
k_s[11],0.086,0.057,0.0,0.184,0.001,0.001,3834.0,2745.0,1.0
k_s[12],0.052,0.03,0.003,0.105,0.0,0.0,5146.0,4266.0,1.0
k_s[13],0.06,0.03,0.009,0.114,0.0,0.0,4748.0,4250.0,1.0
k_s[14],0.057,0.021,0.02,0.096,0.0,0.0,5958.0,5128.0,1.0
k_s[15],0.049,0.027,0.004,0.097,0.0,0.0,4710.0,3947.0,1.0
k_s0,0.021,0.009,0.007,0.038,0.0,0.0,3417.0,3757.0,1.0
l_s[0],0.154,0.133,0.0,0.392,0.001,0.001,7614.0,4691.0,1.0
l_s[1],0.117,0.091,0.0,0.28,0.001,0.001,6583.0,4290.0,1.0
l_s[2],0.356,0.217,0.001,0.718,0.002,0.002,5838.0,3230.0,1.0
l_s[3],0.395,0.236,0.002,0.799,0.003,0.002,5031.0,3039.0,1.0
l_s[4],0.574,0.356,0.001,1.18,0.004,0.003,5228.0,3422.0,1.0
l_s[5],0.557,0.259,0.078,1.022,0.003,0.002,6670.0,4371.0,1.0
l_s[6],0.363,0.272,0.0,0.846,0.003,0.002,4527.0,3198.0,1.0
l_s[7],0.509,0.238,0.084,0.944,0.003,0.002,5373.0,2827.0,1.0
l_s[8],0.637,0.46,0.002,1.452,0.006,0.004,5013.0,3348.0,1.0
l_s[9],0.442,0.287,0.0,0.932,0.004,0.002,4645.0,2828.0,1.0
l_s[10],0.332,0.196,0.001,0.677,0.003,0.002,5066.0,3621.0,1.0
l_s[11],0.879,0.517,0.006,1.782,0.007,0.005,4343.0,2521.0,1.0
l_s[12],0.528,0.259,0.082,1.016,0.003,0.002,6695.0,4996.0,1.0
l_s[13],0.591,0.225,0.19,1.018,0.002,0.002,8287.0,5393.0,1.0
l_s[14],0.602,0.215,0.233,1.009,0.003,0.002,6510.0,6492.0,1.0
l_s[15],0.499,0.239,0.06,0.923,0.003,0.002,5554.0,3831.0,1.0
l_s0,0.211,0.065,0.105,0.337,0.001,0.001,4588.0,5275.0,1.0
mu_p[0],-0.041,0.028,-0.097,0.009,0.0,0.0,12036.0,5890.0,1.0
mu_p[1],-0.267,0.039,-0.341,-0.194,0.0,0.0,12820.0,5938.0,1.0
