,curDur,Gap,WMSize,mu_r,Exp,NSub
0,0.4,0.5,1.0,0.7013445961696317,Encoding,1
1,0.41000000000000003,0.5,1.0,0.7081866028469677,Encoding,1
2,0.42000000000000004,0.5,1.0,0.7149280748726553,Encoding,1
3,0.43000000000000005,0.5,1.0,0.721572831570087,Encoding,1
4,0.44,0.5,1.0,0.7281244622891403,Encoding,1
5,0.45,0.5,1.0,0.7345863451341321,Encoding,1
6,0.46,0.5,1.0,0.740961663786718,Encoding,1
7,0.47000000000000003,0.5,1.0,0.7472534226545072,Encoding,1
8,0.48000000000000004,0.5,1.0,0.7534644605439165,Encoding,1
9,0.49,0.5,1.0,0.759597463028622,Encoding,1
10,0.5,0.5,1.0,0.7656549736619975,Encoding,1
11,0.51,0.5,1.0,0.7716394041624299,Encoding,1
12,0.52,0.5,1.0,0.7775530436837974,Encoding,1
13,0.53,0.5,1.0,0.7833980672692101,Encoding,1
14,0.54,0.5,1.0,0.7891765435739476,Encoding,1
15,0.55,0.5,1.0,0.7948904419330683,Encoding,1
16,0.56,0.5,1.0,0.800541638840149,Encoding,1
17,0.5700000000000001,0.5,1.0,0.8061319238958097,Encoding,1
18,0.5800000000000001,0.5,1.0,0.8116630052779161,Encoding,1
19,0.5900000000000001,0.5,1.0,0.8171365147794685,Encoding,1
20,0.6000000000000001,0.5,1.0,0.822554012455059,Encoding,1
21,0.61,0.5,1.0,0.827916990912301,Encoding,1
22,0.62,0.5,1.0,0.8332268792807074,Encoding,1
23,0.63,0.5,1.0,0.8384850468870508,Encoding,1
24,0.64,0.5,1.0,0.8436928066632093,Encoding,1
25,0.65,0.5,1.0,0.8488514183098259,Encoding,1
26,0.66,0.5,1.0,0.8539620912367529,Encoding,1
27,0.67,0.5,1.0,0.8590259872991591,Encoding,1
28,0.68,0.5,1.0,0.8640442233463265,Encoding,1
29,0.69,0.5,1.0,0.8690178735985131,Encoding,1
30,0.7,0.5,1.0,0.8739479718657978,Encoding,1
31,0.71,0.5,1.0,0.8788355136215062,Encoding,1
32,0.72,0.5,1.0,0.88368145794166,Encoding,1
33,0.73,0.5,1.0,0.8884867293208351,Encoding,1
34,0.74,0.5,1.0,0.8932522193738879,Encoding,1
35,0.75,0.5,1.0,0.8979787884321603,Encoding,1
36,0.76,0.5,1.0,0.9026672670420216,Encoding,1
37,0.77,0.5,1.0,0.907318457372927,Encoding,1
38,0.78,0.5,1.0,0.9119331345415521,Encoding,1
39,0.79,0.5,1.0,0.916512047858018,Encoding,1
40,0.8,0.5,1.0,0.9210559219997128,Encoding,1
41,0.81,0.5,1.0,0.9255654581177667,Encoding,1
42,0.8200000000000001,0.5,1.0,0.9300413348808261,Encoding,1
43,0.8300000000000001,0.5,1.0,0.9344842094603961,Encoding,1
44,0.8400000000000001,0.5,1.0,0.9388947184616887,Encoding,1
45,0.8500000000000001,0.5,1.0,0.9432734788035975,Encoding,1
46,0.8600000000000001,0.5,1.0,0.9476210885511454,Encoding,1
47,0.8700000000000001,0.5,1.0,0.951938127703493,Encoding,1
48,0.88,0.5,1.0,0.9562251589403608,Encoding,1
49,0.89,0.5,1.0,0.9604827283295077,Encoding,1
50,0.9,0.5,1.0,0.9647113659977093,Encoding,1
51,0.91,0.5,1.0,0.9689115867675049,Encoding,1
52,0.92,0.5,1.0,0.9730838907618115,Encoding,1
53,0.93,0.5,1.0,0.9772287639783623,Encoding,1
54,0.9400000000000001,0.5,1.0,0.9813466788357782,Encoding,1
55,0.9500000000000001,0.5,1.0,0.9854380946929616,Encoding,1
56,0.9600000000000001,0.5,1.0,0.9895034583433818,Encoding,1
57,0.9700000000000001,0.5,1.0,0.9935432044857136,Encoding,1
58,0.98,0.5,1.0,0.9975577561721921,Encoding,1
59,0.99,0.5,1.0,1.001547525235954,Encoding,1
60,1.0,0.5,1.0,1.0055129126985531,Encoding,1
61,1.01,0.5,1.0,1.009454309158758,Encoding,1
62,1.02,0.5,1.0,1.0133720951636673,Encoding,1
63,1.03,0.5,1.0,1.017266641563112,Encoding,1
64,1.04,0.5,1.0,1.0211383098482525,Encoding,1
65,1.05,0.5,1.0,1.0249874524752203,Encoding,1
66,1.06,0.5,1.0,1.0288144131745984,Encoding,1
67,1.07,0.5,1.0,1.0326195272474912,Encoding,1
68,1.08,0.5,1.0,1.0364031218488807,Encoding,1
69,1.09,0.5,1.0,1.04016551625893,Encoding,1
70,1.1,0.5,1.0,1.043907022142852,Encoding,1
71,1.1099999999999999,0.5,1.0,1.047627943799922,Encoding,1
72,1.12,0.5,1.0,1.0513285784021864,Encoding,1
73,1.13,0.5,1.0,1.0550092162233744,Encoding,1
74,1.1400000000000001,0.5,1.0,1.0586701408585075,Encoding,1
75,1.15,0.5,1.0,1.062311629434651,Encoding,1
76,1.1600000000000001,0.5,1.0,1.0659339528132508,Encoding,1
77,1.17,0.5,1.0,1.06953737578445,Encoding,1
78,1.1800000000000002,0.5,1.0,1.0731221572537784,Encoding,1
79,1.19,0.5,1.0,1.0766885504215673,Encoding,1
80,1.2000000000000002,0.5,1.0,1.0802368029554406,Encoding,1
81,1.21,0.5,1.0,1.0837671571561955,Encoding,1
82,1.2200000000000002,0.5,1.0,1.087279850117388,Encoding,1
83,1.23,0.5,1.0,1.0907751138789021,Encoding,1
84,1.24,0.5,1.0,1.0942531755747857,Encoding,1
85,1.25,0.5,1.0,1.097714257575604,Encoding,1
86,1.26,0.5,1.0,1.1011585776255606,Encoding,1
87,1.27,0.5,1.0,1.1045863489746164,Encoding,1
88,1.28,0.5,1.0,1.1079977805058272,Encoding,1
89,1.29,0.5,1.0,1.1113930768581095,Encoding,1
90,1.3,0.5,1.0,1.1147724385446318,Encoding,1
91,1.31,0.5,1.0,1.1181360620670202,Encoding,1
92,1.32,0.5,1.0,1.1214841400255557,Encoding,1
93,1.33,0.5,1.0,1.1248168612255374,Encoding,1
94,1.34,0.5,1.0,1.1281344107799658,Encoding,1
95,1.35,0.5,1.0,1.1314369702087064,Encoding,1
96,1.3599999999999999,0.5,1.0,1.134724717534276,Encoding,1
97,1.37,0.5,1.0,1.1379978273743927,Encoding,1
98,1.38,0.5,1.0,1.141256471031417,Encoding,1
99,1.3900000000000001,0.5,1.0,1.1445008165788184,Encoding,1
100,1.4,0.5,1.0,1.147731028944778,Encoding,1
101,1.4100000000000001,0.5,1.0,1.1509472699930496,Encoding,1
102,1.42,0.5,1.0,1.154149698601181,Encoding,1
103,1.4300000000000002,0.5,1.0,1.1573384707362064,Encoding,1
104,1.44,0.5,1.0,1.1605137395279024,Encoding,1
105,1.4500000000000002,0.5,1.0,1.1636756553397072,Encoding,1
106,1.46,0.5,1.0,1.1668243658373898,Encoding,1
107,1.4700000000000002,0.5,1.0,1.1699600160555592,Encoding,1
108,1.48,0.5,1.0,1.1730827484620896,Encoding,1
109,1.4900000000000002,0.5,1.0,1.176192703020549,Encoding,1
110,1.5,0.5,1.0,1.1792900172506973,Encoding,1
111,1.5100000000000002,0.5,1.0,1.1823748262871325,Encoding,1
112,1.52,0.5,1.0,1.185447262936151,Encoding,1
113,1.5300000000000002,0.5,1.0,1.1885074577308867,Encoding,1
114,1.54,0.5,1.0,1.191555538984794,Encoding,1
115,1.5500000000000003,0.5,1.0,1.1945916328435346,Encoding,1
116,1.56,0.5,1.0,1.1976158633353235,Encoding,1
117,1.5699999999999998,0.5,1.0,1.2006283524197923,Encoding,1
118,1.58,0.5,1.0,1.2036292200354215,Encoding,1
119,1.5899999999999999,0.5,1.0,1.2066185841455914,Encoding,1
120,1.6,0.5,1.0,1.2095965607833028,Encoding,1
121,1.6099999999999999,0.5,1.0,1.2125632640946098,Encoding,1
122,1.62,0.5,1.0,1.215518806380816,Encoding,1
123,1.63,0.5,1.0,1.2184632981394692,Encoding,1
124,1.6400000000000001,0.5,1.0,1.2213968481042023,Encoding,1
125,1.65,0.5,1.0,1.2243195632834554,Encoding,1
126,1.6600000000000001,0.5,1.0,1.2272315489981196,Encoding,1
127,1.67,0.5,1.0,1.2301329089181374,Encoding,1
128,1.6800000000000002,0.5,1.0,1.2330237450980963,Encoding,1
129,1.69,0.5,1.0,1.2359041580118468,Encoding,1
130,1.7000000000000002,0.5,1.0,1.2387742465861795,Encoding,1
131,1.71,0.5,1.0,1.2416341082335898,Encoding,1
132,1.7200000000000002,0.5,1.0,1.2444838388841633,Encoding,1
133,1.73,0.5,1.0,1.2473235330166075,Encoding,1
134,1.7400000000000002,0.5,1.0,1.2501532836884583,Encoding,1
135,1.75,0.5,1.0,1.2529731825654893,Encoding,1
136,1.7600000000000002,0.5,1.0,1.2557833199503474,Encoding,1
137,1.77,0.5,1.0,1.258583784810439,Encoding,1
138,1.7800000000000002,0.5,1.0,1.2613746648050954,Encoding,1
139,1.79,0.5,1.0,1.2641560463120314,Encoding,1
140,1.8,0.5,1.0,1.266928014453128,Encoding,1
141,0.4,0.5,3.0,0.6946717346968415,Encoding,1
142,0.41000000000000003,0.5,3.0,0.7010910877299625,Encoding,1
143,0.42000000000000004,0.5,3.0,0.7074129313151799,Encoding,1
144,0.43000000000000005,0.5,3.0,0.7136410165312969,Encoding,1
145,0.44,0.5,3.0,0.7197788668585164,Encoding,1
146,0.45,0.5,3.0,0.7258297968147023,Encoding,1
147,0.46,0.5,3.0,0.7317969286878564,Encoding,1
148,0.47000000000000003,0.5,3.0,0.7376832075962267,Encoding,1
149,0.48000000000000004,0.5,3.0,0.7434914150750257,Encoding,1
150,0.49,0.5,3.0,0.7492241813614384,Encoding,1
151,0.5,0.5,3.0,0.7548839965265133,Encoding,1
152,0.51,0.5,3.0,0.7604732205829524,Encoding,1
153,0.52,0.5,3.0,0.7659940926811445,Encoding,1
154,0.53,0.5,3.0,0.7714487394915507,Encoding,1
155,0.54,0.5,3.0,0.7768391828593498,Encoding,1
156,0.55,0.5,3.0,0.7821673468067658,Encoding,1
157,0.56,0.5,3.0,0.78743506394946,Encoding,1
158,0.5700000000000001,0.5,3.0,0.7926440813855555,Encoding,1
159,0.5800000000000001,0.5,3.0,0.7977960661090883,Encoding,1
160,0.5900000000000001,0.5,3.0,0.8028926099937882,Encoding,1
161,0.6000000000000001,0.5,3.0,0.8079352343879669,Encoding,1
162,0.61,0.5,3.0,0.8129253943568044,Encoding,1
163,0.62,0.5,3.0,0.8178644826044046,Encoding,1
164,0.63,0.5,3.0,0.8227538331045431,Encoding,1
165,0.64,0.5,3.0,0.827594724466008,Encoding,1
166,0.65,0.5,3.0,0.8323883830557585,Encoding,1
167,0.66,0.5,3.0,0.8371359859007731,Encoding,1
168,0.67,0.5,3.0,0.8418386633873712,Encoding,1
169,0.68,0.5,3.0,0.8464975017749427,Encoding,1
170,0.69,0.5,3.0,0.851113545539376,Encoding,1
171,0.7,0.5,3.0,0.855687799560015,Encoding,1
172,0.71,0.5,3.0,0.8602212311626671,Encoding,1
173,0.72,0.5,3.0,0.8647147720300261,Encoding,1
174,0.73,0.5,3.0,0.869169319989828,Encoding,1
175,0.74,0.5,3.0,0.8735857406901265,Encoding,1
176,0.75,0.5,3.0,0.8779648691702365,Encoding,1
177,0.76,0.5,3.0,0.8823075113351444,Encoding,1
178,0.77,0.5,3.0,0.8866144453405027,Encoding,1
179,0.78,0.5,3.0,0.8908864228947192,Encoding,1
180,0.79,0.5,3.0,0.8951241704840981,Encoding,1
181,0.8,0.5,3.0,0.8993283905264948,Encoding,1
182,0.81,0.5,3.0,0.9034997624584928,Encoding,1
183,0.8200000000000001,0.5,3.0,0.9076389437607034,Encoding,1
184,0.8300000000000001,0.5,3.0,0.911746570925421,Encoding,1
185,0.8400000000000001,0.5,3.0,0.9158232603705262,Encoding,1
186,0.8500000000000001,0.5,3.0,0.9198696093032261,Encoding,1
187,0.8600000000000001,0.5,3.0,0.9238861965369397,Encoding,1
188,0.8700000000000001,0.5,3.0,0.9278735832643845,Encoding,1
189,0.88,0.5,3.0,0.9318323137896877,Encoding,1
190,0.89,0.5,3.0,0.935762916222132,Encoding,1
191,0.9,0.5,3.0,0.9396659031339554,Encoding,1
192,0.91,0.5,3.0,0.9435417721844426,Encoding,1
193,0.92,0.5,3.0,0.9473910067123886,Encoding,1
194,0.93,0.5,3.0,0.9512140762988601,Encoding,1
195,0.9400000000000001,0.5,3.0,0.9550114373020469,Encoding,1
196,0.9500000000000001,0.5,3.0,0.9587835333658697,Encoding,1
197,0.9600000000000001,0.5,3.0,0.9625307959038933,Encoding,1
198,0.9700000000000001,0.5,3.0,0.966253644559987,Encoding,1
199,0.98,0.5,3.0,0.969952487647079,Encoding,1
200,0.99,0.5,3.0,0.973627722565258,Encoding,1
201,1.0,0.5,3.0,0.9772797362003911,Encoding,1
202,1.01,0.5,3.0,0.9809089053043537,Encoding,1
203,1.02,0.5,3.0,0.9845155968578899,Encoding,1
204,1.03,0.5,3.0,0.9881001684170617,Encoding,1
205,1.04,0.5,3.0,0.9916629684441781,Encoding,1
206,1.05,0.5,3.0,0.9952043366240445,Encoding,1
207,1.06,0.5,3.0,0.9987246041663137,Encoding,1
208,1.07,0.5,3.0,1.0022240940946772,Encoding,1
209,1.08,0.5,3.0,1.005703121523584,Encoding,1
210,1.09,0.5,3.0,1.0091619939231389,Encoding,1
211,1.1,0.5,3.0,1.0126010113727832,Encoding,1
212,1.1099999999999999,0.5,3.0,1.0160204668043364,Encoding,1
213,1.12,0.5,3.0,1.019420646234932,Encoding,1
214,1.13,0.5,3.0,1.0228018289903555,Encoding,1
215,1.1400000000000001,0.5,3.0,1.0261642879192632,Encoding,1
216,1.15,0.5,3.0,1.0295082895987253,Encoding,1
217,1.1600000000000001,0.5,3.0,1.0328340945315242,Encoding,1
218,1.17,0.5,3.0,1.0361419573356005,Encoding,1
219,1.1800000000000002,0.5,3.0,1.0394321269260265,Encoding,1
220,1.19,0.5,3.0,1.0427048466898619,Encoding,1
221,1.2000000000000002,0.5,3.0,1.0459603546542289,Encoding,1
222,1.21,0.5,3.0,1.0491988836479191,Encoding,1
223,1.2200000000000002,0.5,3.0,1.052420661456841,Encoding,1
224,1.23,0.5,3.0,1.0556259109735804,Encoding,1
225,1.24,0.5,3.0,1.0588148503413521,Encoding,1
226,1.25,0.5,3.0,1.061987693092592,Encoding,1
227,1.26,0.5,3.0,1.0651446482824305,Encoding,1
228,1.27,0.5,3.0,1.068285920617276,Encoding,1
229,1.28,0.5,3.0,1.0714117105787246,Encoding,1
230,1.29,0.5,3.0,1.0745222145430031,Encoding,1
231,1.3,0.5,3.0,1.0776176248961329,Encoding,1
232,1.31,0.5,3.0,1.080698130145009,Encoding,1
233,1.32,0.5,3.0,1.083763915024562,Encoding,1
234,1.33,0.5,3.0,1.0868151606011724,Encoding,1
235,1.34,0.5,3.0,1.089852044372495,Encoding,1
236,1.35,0.5,3.0,1.0928747403638455,Encoding,1
237,1.3599999999999999,0.5,3.0,1.0958834192212876,Encoding,1
238,1.37,0.5,3.0,1.0988782483015638,Encoding,1
239,1.38,0.5,3.0,1.101859391758992,Encoding,1
240,1.3900000000000001,0.5,3.0,1.1048270106294569,Encoding,1
241,1.4,0.5,3.0,1.1077812629116104,Encoding,1
242,1.4100000000000001,0.5,3.0,1.1107223036453948,Encoding,1
243,1.42,0.5,3.0,1.1136502849879935,Encoding,1
244,1.4300000000000002,0.5,3.0,1.1165653562873126,Encoding,1
245,1.44,0.5,3.0,1.1194676641530903,Encoding,1
246,1.4500000000000002,0.5,3.0,1.1223573525257247,Encoding,1
247,1.46,0.5,3.0,1.1252345627429112,Encoding,1
248,1.4700000000000002,0.5,3.0,1.1280994336041716,Encoding,1
249,1.48,0.5,3.0,1.1309521014333557,Encoding,1
250,1.4900000000000002,0.5,3.0,1.133792700139193,Encoding,1
251,1.5,0.5,3.0,1.136621361273969,Encoding,1
252,1.5100000000000002,0.5,3.0,1.1394382140903931,Encoding,1
253,1.52,0.5,3.0,1.1422433855967284,Encoding,1
254,1.5300000000000002,0.5,3.0,1.1450370006102466,Encoding,1
255,1.54,0.5,3.0,1.147819181809069,Encoding,1
256,1.5500000000000003,0.5,3.0,1.150590049782453,Encoding,1
257,1.56,0.5,3.0,1.1533497230795806,Encoding,1
258,1.5699999999999998,0.5,3.0,1.156098318256902,Encoding,1
259,1.58,0.5,3.0,1.158835949924087,Encoding,1
260,1.5899999999999999,0.5,3.0,1.1615627307886331,Encoding,1
261,1.6,0.5,3.0,1.1642787716991778,Encoding,1
262,1.6099999999999999,0.5,3.0,1.16698418168756,Encoding,1
263,1.62,0.5,3.0,1.1696790680096765,Encoding,1
