,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.254,0.264,0.759,1.737,0.009,0.007,793.0,1453.0,1.0
epsilon[1],1.684,0.357,1.014,2.347,0.012,0.009,793.0,1412.0,1.0
epsilon[2],1.15,0.244,0.685,1.594,0.009,0.006,779.0,1347.0,1.0
epsilon[3],1.927,0.408,1.167,2.68,0.015,0.01,757.0,1560.0,1.0
epsilon[4],1.489,0.323,0.87,2.069,0.011,0.008,837.0,1683.0,1.0
epsilon[5],1.161,0.244,0.681,1.594,0.009,0.006,790.0,1305.0,1.0
epsilon[6],2.814,0.599,1.757,3.973,0.021,0.015,815.0,1396.0,1.0
epsilon[7],3.849,0.833,2.337,5.431,0.028,0.02,869.0,1580.0,1.0
epsilon[8],2.237,0.485,1.342,3.146,0.016,0.011,860.0,1714.0,1.0
epsilon[9],2.153,0.46,1.292,3.002,0.016,0.011,781.0,1361.0,1.0
epsilon[10],2.403,0.51,1.459,3.362,0.018,0.012,818.0,1323.0,1.0
epsilon[11],4.195,0.974,2.483,6.059,0.027,0.019,1211.0,2073.0,1.0
epsilon[12],1.941,0.421,1.153,2.736,0.014,0.01,822.0,1384.0,1.0
epsilon[13],5.047,1.108,2.976,7.071,0.032,0.023,1121.0,1940.0,1.0
epsilon[14],3.567,0.778,2.211,5.108,0.025,0.018,899.0,1752.0,1.0
epsilon[15],2.915,0.63,1.735,4.096,0.021,0.015,847.0,1357.0,1.0
epsilon_k[0],2.53,1.823,0.001,5.795,0.027,0.019,3775.0,3080.0,1.0
epsilon_k[1],1.69,1.403,0.003,4.247,0.017,0.012,5285.0,3561.0,1.0
epsilon_k[2],2.899,1.874,0.004,6.119,0.026,0.019,4069.0,2949.0,1.0
epsilon_k[3],1.786,1.455,0.0,4.471,0.018,0.013,4348.0,2935.0,1.0
epsilon_k[4],2.215,1.604,0.0,5.113,0.022,0.016,3945.0,2609.0,1.0
epsilon_k[5],1.764,1.439,0.0,4.395,0.018,0.013,4741.0,3337.0,1.0
epsilon_k[6],1.749,1.466,0.0,4.433,0.019,0.013,4392.0,3173.0,1.0
epsilon_k[7],1.774,1.472,0.0,4.487,0.017,0.012,5565.0,4065.0,1.0
epsilon_k[8],1.314,1.418,0.0,4.071,0.026,0.018,2963.0,4372.0,1.0
epsilon_k[9],2.55,1.809,0.004,5.752,0.024,0.017,4457.0,3364.0,1.0
epsilon_k[10],1.291,1.26,0.0,3.636,0.016,0.011,5122.0,4108.0,1.0
epsilon_k[11],2.078,1.498,0.001,4.756,0.017,0.012,5767.0,3725.0,1.0
epsilon_k[12],2.037,1.547,0.003,4.868,0.018,0.013,5632.0,4349.0,1.0
epsilon_k[13],1.829,1.453,0.001,4.476,0.017,0.012,5442.0,4121.0,1.0
epsilon_k[14],3.602,2.183,0.003,7.327,0.032,0.023,3742.0,2460.0,1.0
epsilon_k[15],2.441,1.708,0.0,5.419,0.021,0.015,5519.0,3837.0,1.0
k_r,0.006,0.005,-0.002,0.016,0.0,0.0,2386.0,1711.0,1.0
k_s,0.011,0.008,0.0,0.026,0.0,0.0,2443.0,1880.0,1.0
l_s,0.032,0.023,0.0,0.071,0.0,0.0,1917.0,2718.0,1.0
mu_p[0],-0.122,0.019,-0.158,-0.086,0.0,0.0,7473.0,4944.0,1.0
mu_p[1],0.092,0.023,0.049,0.134,0.0,0.0,6787.0,4987.0,1.0
mu_p[2],-0.013,0.02,-0.049,0.026,0.0,0.0,6728.0,5607.0,1.0
mu_p[3],-0.069,0.022,-0.111,-0.028,0.0,0.0,7480.0,4373.0,1.0
mu_p[4],-0.039,0.048,-0.13,0.049,0.001,0.001,5554.0,3119.0,1.0
mu_p[5],-0.175,0.02,-0.211,-0.137,0.0,0.0,6498.0,4254.0,1.0
mu_p[6],-0.397,0.04,-0.473,-0.323,0.0,0.0,8688.0,4686.0,1.0
mu_p[7],-0.02,0.039,-0.095,0.051,0.0,0.0,8781.0,5379.0,1.0
mu_p[8],0.262,0.043,0.182,0.341,0.001,0.0,5140.0,3870.0,1.0
mu_p[9],-0.057,0.028,-0.11,-0.006,0.0,0.0,6202.0,4144.0,1.0
mu_p[10],-0.011,0.029,-0.067,0.043,0.0,0.0,8693.0,5581.0,1.0
