,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.992,0.4,1.285,2.786,0.014,0.01,854.0,1261.0,1.01
epsilon[1],3.462,0.713,2.166,4.813,0.024,0.017,883.0,1459.0,1.01
epsilon[2],2.061,0.417,1.294,2.846,0.014,0.01,870.0,1439.0,1.0
epsilon[3],3.41,0.684,2.212,4.755,0.023,0.016,895.0,1374.0,1.01
epsilon[4],3.014,0.605,1.912,4.141,0.021,0.015,838.0,1415.0,1.01
epsilon[5],2.546,0.511,1.666,3.567,0.017,0.012,849.0,1349.0,1.01
epsilon[6],2.076,0.416,1.304,2.864,0.014,0.01,839.0,1397.0,1.01
epsilon[7],3.349,0.675,2.15,4.652,0.023,0.016,872.0,1372.0,1.01
epsilon[8],3.62,0.722,2.288,4.967,0.024,0.017,864.0,1474.0,1.0
epsilon[9],2.471,0.497,1.571,3.405,0.017,0.012,852.0,1304.0,1.01
epsilon[10],2.103,0.424,1.36,2.93,0.014,0.01,851.0,1402.0,1.01
epsilon[11],1.884,0.375,1.197,2.593,0.013,0.009,830.0,1412.0,1.01
epsilon[12],2.29,0.459,1.499,3.192,0.016,0.011,830.0,1265.0,1.01
epsilon[13],2.778,0.555,1.774,3.847,0.019,0.013,851.0,1358.0,1.01
epsilon[14],1.179,0.235,0.76,1.633,0.008,0.006,837.0,1368.0,1.01
epsilon[15],4.124,0.846,2.602,5.77,0.028,0.019,912.0,1398.0,1.01
epsilon_k[0],0.132,0.121,0.0,0.353,0.002,0.001,4801.0,4208.0,1.0
epsilon_k[1],0.214,0.173,0.0,0.525,0.002,0.002,4478.0,3607.0,1.0
epsilon_k[2],1.074,0.364,0.46,1.763,0.007,0.005,2576.0,3702.0,1.0
epsilon_k[3],4.73,1.206,2.521,6.919,0.024,0.017,2543.0,3327.0,1.0
epsilon_k[4],1.279,0.538,0.311,2.254,0.008,0.006,4015.0,4555.0,1.0
epsilon_k[5],2.029,0.653,0.851,3.231,0.011,0.008,3288.0,4336.0,1.0
epsilon_k[6],1.728,0.559,0.752,2.774,0.01,0.007,3186.0,4268.0,1.0
epsilon_k[7],1.084,0.657,0.004,2.22,0.01,0.007,4163.0,3641.0,1.0
epsilon_k[8],4.744,1.233,2.559,7.146,0.023,0.016,2799.0,3754.0,1.0
epsilon_k[9],0.467,0.326,0.0,1.045,0.004,0.003,4811.0,3882.0,1.0
epsilon_k[10],2.301,0.663,1.138,3.537,0.012,0.009,2853.0,3747.0,1.0
epsilon_k[11],4.296,1.749,0.907,7.518,0.027,0.019,3833.0,2409.0,1.0
epsilon_k[12],1.362,1.033,0.0,3.243,0.014,0.01,4586.0,4150.0,1.0
epsilon_k[13],4.799,1.449,2.262,7.621,0.021,0.015,4489.0,4464.0,1.0
epsilon_k[14],0.385,0.346,0.0,0.992,0.005,0.004,4031.0,3626.0,1.0
epsilon_k[15],0.642,0.366,0.01,1.276,0.006,0.004,3095.0,3233.0,1.0
k_r[0],0.002,0.002,-0.0,0.007,0.0,0.0,3555.0,2409.0,1.0
k_r[1],0.003,0.003,-0.0,0.01,0.0,0.0,3418.0,2297.0,1.0
k_r[2],0.016,0.008,0.003,0.032,0.0,0.0,2814.0,2082.0,1.0
k_r[3],0.074,0.035,0.009,0.141,0.001,0.001,2551.0,2129.0,1.0
k_r[4],0.021,0.012,0.0,0.047,0.0,0.0,2955.0,2231.0,1.0
k_r[5],0.032,0.017,0.004,0.068,0.0,0.0,2891.0,2063.0,1.0
