,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.695,0.579,1.633,3.785,0.014,0.01,1643.0,2287.0,1.0
epsilon[1],2.165,0.466,1.345,3.1,0.012,0.008,1522.0,2214.0,1.0
epsilon[2],1.22,0.262,0.745,1.718,0.007,0.005,1514.0,2183.0,1.0
epsilon[3],1.482,0.318,0.921,2.101,0.008,0.006,1499.0,2177.0,1.0
epsilon[4],3.982,0.854,2.417,5.578,0.021,0.015,1579.0,2636.0,1.0
epsilon[5],1.752,0.378,1.036,2.437,0.009,0.007,1560.0,2283.0,1.0
epsilon[6],2.572,0.558,1.559,3.638,0.014,0.01,1549.0,2435.0,1.0
epsilon[7],3.091,0.67,1.905,4.394,0.017,0.012,1566.0,2582.0,1.0
epsilon[8],1.664,0.358,1.032,2.356,0.009,0.006,1544.0,2183.0,1.0
epsilon[9],1.843,0.395,1.094,2.558,0.01,0.007,1517.0,2177.0,1.0
epsilon[10],3.082,0.73,1.81,4.486,0.016,0.012,1894.0,2700.0,1.0
epsilon[11],2.471,0.532,1.488,3.461,0.013,0.009,1542.0,2236.0,1.0
epsilon[12],2.87,0.624,1.757,4.049,0.015,0.011,1578.0,2320.0,1.0
epsilon[13],5.497,1.178,3.299,7.624,0.028,0.02,1691.0,2567.0,1.0
epsilon[14],2.375,0.527,1.45,3.393,0.013,0.009,1573.0,2461.0,1.0
epsilon[15],1.816,0.391,1.113,2.568,0.01,0.007,1492.0,2220.0,1.0
epsilon_k[0],0.764,0.7,0.0,2.069,0.008,0.006,5774.0,4247.0,1.0
epsilon_k[1],0.576,0.478,0.0,1.43,0.006,0.004,5788.0,5087.0,1.0
epsilon_k[2],1.622,1.084,0.001,3.494,0.013,0.009,5229.0,3469.0,1.0
epsilon_k[3],1.887,1.187,0.0,3.96,0.015,0.01,5420.0,3363.0,1.0
epsilon_k[4],2.895,1.652,0.0,5.69,0.02,0.014,5881.0,3799.0,1.0
epsilon_k[5],2.538,1.379,0.271,5.144,0.018,0.013,5195.0,4221.0,1.0
epsilon_k[6],1.781,1.301,0.001,4.119,0.015,0.011,5881.0,3800.0,1.0
epsilon_k[7],2.485,1.215,0.469,4.876,0.014,0.01,6517.0,4178.0,1.0
epsilon_k[8],2.353,1.839,0.002,5.643,0.027,0.019,3885.0,3769.0,1.0
epsilon_k[9],2.25,1.469,0.001,4.83,0.018,0.013,5103.0,3255.0,1.0
epsilon_k[10],1.473,0.937,0.001,3.071,0.012,0.009,5109.0,3500.0,1.0
epsilon_k[11],4.055,1.95,0.549,7.65,0.023,0.016,6276.0,3662.0,1.0
epsilon_k[12],2.621,1.339,0.319,5.125,0.015,0.011,6882.0,4206.0,1.0
epsilon_k[13],2.877,1.224,0.7,5.144,0.015,0.01,6536.0,4498.0,1.0
epsilon_k[14],2.854,1.163,0.837,5.017,0.015,0.011,5769.0,4936.0,1.0
epsilon_k[15],2.528,1.283,0.347,4.91,0.017,0.012,4336.0,2662.0,1.0
k_r[0],0.002,0.006,-0.007,0.016,0.0,0.0,3555.0,5706.0,1.0
k_r[1],0.002,0.004,-0.006,0.01,0.0,0.0,3277.0,5073.0,1.0
k_r[2],0.004,0.01,-0.016,0.024,0.0,0.0,3413.0,5090.0,1.0
k_r[3],0.005,0.012,-0.015,0.031,0.0,0.0,3357.0,5606.0,1.0
k_r[4],0.011,0.02,-0.02,0.053,0.0,0.0,3085.0,5623.0,1.0
k_r[5],0.005,0.015,-0.025,0.034,0.0,0.0,3364.0,4892.0,1.0
k_r[6],0.006,0.013,-0.014,0.034,0.0,0.0,3203.0,5223.0,1.0
k_r[7],0.008,0.016,-0.023,0.037,0.0,0.0,3033.0,5070.0,1.0
