,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.597,0.543,1.638,3.658,0.017,0.012,956.0,748.0,1.0
epsilon[1],2.136,0.442,1.317,2.932,0.014,0.01,985.0,1384.0,1.0
epsilon[2],2.893,0.597,1.801,4.008,0.019,0.013,976.0,1541.0,1.0
epsilon[3],1.869,0.389,1.173,2.624,0.013,0.009,879.0,798.0,1.0
epsilon[4],4.274,0.933,2.506,5.949,0.028,0.02,1070.0,819.0,1.0
epsilon[5],2.73,0.567,1.751,3.888,0.018,0.013,921.0,861.0,1.0
epsilon[6],3.433,0.732,2.111,4.824,0.022,0.015,1083.0,1848.0,1.0
epsilon[7],2.349,0.487,1.466,3.244,0.015,0.011,975.0,1194.0,1.0
epsilon[8],2.766,0.576,1.697,3.808,0.018,0.013,958.0,767.0,1.0
epsilon[9],2.516,0.523,1.604,3.502,0.017,0.012,932.0,1324.0,1.0
epsilon[10],1.844,0.384,1.169,2.571,0.012,0.009,942.0,1538.0,1.0
epsilon[11],2.19,0.458,1.387,3.058,0.014,0.01,980.0,1176.0,1.0
epsilon[12],3.569,0.74,2.206,4.908,0.023,0.016,1011.0,1602.0,1.0
epsilon[13],3.129,0.646,1.965,4.349,0.02,0.014,1017.0,1632.0,1.0
epsilon[14],2.23,0.463,1.372,3.075,0.014,0.01,993.0,1656.0,1.0
epsilon[15],2.914,0.603,1.808,4.022,0.018,0.013,1043.0,1761.0,1.0
epsilon_k[0],0.812,0.669,0.0,2.008,0.009,0.007,4250.0,3789.0,1.0
epsilon_k[1],2.634,1.145,0.47,4.681,0.016,0.012,4187.0,2702.0,1.0
epsilon_k[2],0.846,0.713,0.0,2.112,0.009,0.006,3747.0,2458.0,1.0
epsilon_k[3],0.807,0.63,0.0,1.927,0.008,0.006,4226.0,2830.0,1.0
epsilon_k[4],1.864,1.232,0.0,3.977,0.031,0.028,2059.0,830.0,1.0
epsilon_k[5],2.054,1.093,0.176,4.049,0.014,0.01,5364.0,3868.0,1.0
epsilon_k[6],3.488,1.415,0.86,6.078,0.019,0.013,5339.0,3275.0,1.0
epsilon_k[7],0.515,0.471,0.0,1.38,0.006,0.004,5122.0,3857.0,1.0
epsilon_k[8],2.228,1.141,0.159,4.218,0.016,0.011,4491.0,3248.0,1.0
epsilon_k[9],5.37,1.469,2.657,8.048,0.02,0.014,4938.0,3164.0,1.0
epsilon_k[10],0.992,0.719,0.001,2.287,0.01,0.007,4356.0,3074.0,1.0
epsilon_k[11],1.704,0.976,0.028,3.422,0.012,0.008,5636.0,3676.0,1.0
epsilon_k[12],2.71,1.431,0.103,5.193,0.021,0.015,3971.0,2969.0,1.0
epsilon_k[13],1.546,0.995,0.0,3.283,0.015,0.01,3794.0,3160.0,1.0
epsilon_k[14],2.888,1.283,0.653,5.376,0.018,0.012,4650.0,3229.0,1.0
epsilon_k[15],3.577,1.423,0.902,6.142,0.019,0.014,4970.0,3182.0,1.0
k_r[0],0.015,0.012,0.0,0.037,0.0,0.0,2358.0,881.0,1.0
k_r[1],0.049,0.021,0.011,0.089,0.0,0.0,3923.0,3138.0,1.0
k_r[2],0.016,0.013,0.0,0.039,0.0,0.0,3782.0,2566.0,1.0
k_r[3],0.015,0.011,0.0,0.035,0.0,0.0,3363.0,3350.0,1.0
k_r[4],0.037,0.031,0.0,0.091,0.001,0.001,1511.0,684.0,1.0
k_r[5],0.038,0.02,0.003,0.073,0.0,0.0,4714.0,4077.0,1.0
k_r[6],0.068,0.034,0.011,0.132,0.001,0.001,2999.0,2851.0,1.0
k_r[7],0.009,0.008,0.0,0.024,0.0,0.0,5337.0,3452.0,1.0
k_r[8],0.042,0.022,0.002,0.081,0.0,0.0,3449.0,1880.0,1.0
k_r[9],0.102,0.03,0.046,0.156,0.001,0.001,2084.0,885.0,1.0
k_r[10],0.019,0.013,0.0,0.042,0.0,0.0,3558.0,3884.0,1.0
k_r[11],0.032,0.018,0.0,0.062,0.0,0.0,4311.0,3859.0,1.0
k_r[12],0.052,0.03,0.0,0.104,0.001,0.0,3353.0,3016.0,1.0
k_r[13],0.03,0.021,0.0,0.065,0.001,0.0,2099.0,1006.0,1.0
k_r[14],0.055,0.027,0.009,0.105,0.0,0.0,3419.0,2939.0,1.0
k_r[15],0.069,0.033,0.01,0.131,0.001,0.001,2061.0,861.0,1.0
k_r0,0.02,0.007,0.009,0.032,0.0,0.0,1904.0,1163.0,1.0
k_s[0],0.008,0.01,0.0,0.026,0.0,0.0,1795.0,781.0,1.0
k_s[1],0.027,0.023,0.0,0.072,0.0,0.0,2739.0,2655.0,1.0
k_s[2],0.009,0.011,0.0,0.028,0.0,0.0,3461.0,2741.0,1.0
k_s[3],0.008,0.01,0.0,0.027,0.0,0.0,2588.0,2620.0,1.0
k_s[4],0.024,0.032,0.0,0.08,0.001,0.001,1469.0,655.0,1.0
k_s[5],0.021,0.019,0.0,0.058,0.0,0.0,2684.0,1370.0,1.0
k_s[6],0.041,0.039,0.0,0.116,0.001,0.001,2482.0,2281.0,1.0
k_s[7],0.005,0.006,0.0,0.017,0.0,0.0,3662.0,2894.0,1.0
k_s[8],0.024,0.022,0.0,0.065,0.001,0.0,2401.0,1193.0,1.0
k_s[9],0.057,0.045,0.0,0.138,0.001,0.001,1853.0,809.0,1.0
k_s[10],0.01,0.012,0.0,0.032,0.0,0.0,2736.0,1543.0,1.0
k_s[11],0.018,0.017,0.0,0.051,0.0,0.0,2584.0,1797.0,1.0
k_s[12],0.03,0.03,0.0,0.085,0.001,0.001,3107.0,2794.0,1.0
k_s[13],0.018,0.02,0.0,0.055,0.001,0.001,2067.0,897.0,1.0
k_s[14],0.032,0.029,0.0,0.087,0.001,0.001,2845.0,1310.0,1.0
k_s[15],0.04,0.039,0.0,0.114,0.001,0.001,1939.0,657.0,1.0
k_s0,0.011,0.009,0.0,0.029,0.0,0.0,1831.0,604.0,1.0
l_s[0],0.019,0.02,0.0,0.054,0.0,0.0,4458.0,3836.0,1.0
l_s[1],0.062,0.045,0.0,0.141,0.001,0.0,3458.0,2682.0,1.0
l_s[2],0.019,0.021,0.0,0.056,0.0,0.0,3690.0,2546.0,1.0
l_s[3],0.018,0.018,0.0,0.052,0.0,0.0,4130.0,4036.0,1.0
l_s[4],0.042,0.036,0.0,0.106,0.001,0.0,3427.0,3476.0,1.0
l_s[5],0.048,0.038,0.0,0.115,0.001,0.0,4212.0,4056.0,1.0
l_s[6],0.081,0.056,0.0,0.182,0.001,0.001,3816.0,3987.0,1.0
l_s[7],0.012,0.013,0.0,0.034,0.0,0.0,5074.0,3600.0,1.0
l_s[8],0.055,0.045,0.0,0.137,0.001,0.0,3838.0,3528.0,1.0
l_s[9],0.128,0.083,0.0,0.272,0.001,0.001,3765.0,3544.0,1.0
l_s[10],0.024,0.023,0.0,0.066,0.0,0.0,3857.0,3416.0,1.0
l_s[11],0.039,0.032,0.0,0.096,0.0,0.0,4350.0,3602.0,1.0
l_s[12],0.064,0.052,0.0,0.157,0.001,0.001,3296.0,3755.0,1.0
l_s[13],0.035,0.03,0.0,0.087,0.0,0.0,3794.0,3666.0,1.0
l_s[14],0.07,0.054,0.0,0.168,0.001,0.001,3331.0,3402.0,1.0
l_s[15],0.086,0.064,0.0,0.198,0.001,0.001,3334.0,3425.0,1.0
l_s0,0.025,0.016,0.0,0.053,0.0,0.0,3297.0,3787.0,1.0
mu_p[0],-0.079,0.025,-0.126,-0.033,0.0,0.0,6227.0,3465.0,1.0
mu_p[1],-0.129,0.03,-0.182,-0.071,0.001,0.0,3474.0,1634.0,1.0
mu_p[2],-0.156,0.034,-0.221,-0.097,0.0,0.0,5527.0,2200.0,1.0
mu_p[3],0.005,0.022,-0.037,0.043,0.0,0.0,7225.0,3651.0,1.0
mu_p[4],0.113,0.098,-0.08,0.29,0.001,0.001,5442.0,2819.0,1.0
mu_p[5],0.016,0.03,-0.04,0.072,0.0,0.0,7177.0,3964.0,1.0
mu_p[6],-0.192,0.076,-0.333,-0.051,0.001,0.001,5762.0,4476.0,1.0
mu_p[7],0.092,0.02,0.055,0.129,0.0,0.0,7053.0,5744.0,1.0
