,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.256,0.265,0.769,1.761,0.008,0.006,1012.0,1447.0,1.0
epsilon[1],1.682,0.357,1.009,2.34,0.011,0.008,1005.0,1528.0,1.0
epsilon[2],1.158,0.246,0.711,1.621,0.008,0.005,1032.0,1535.0,1.0
epsilon[3],1.929,0.411,1.191,2.713,0.012,0.009,1050.0,1489.0,1.0
epsilon[4],1.496,0.33,0.881,2.121,0.01,0.007,1093.0,1547.0,1.0
epsilon[5],1.16,0.246,0.698,1.607,0.008,0.005,1028.0,1693.0,1.0
epsilon[6],2.815,0.595,1.749,3.935,0.018,0.013,1069.0,1544.0,1.0
epsilon[7],3.842,0.828,2.296,5.382,0.024,0.017,1110.0,1618.0,1.0
epsilon[8],2.221,0.481,1.364,3.151,0.014,0.01,1079.0,1625.0,1.0
epsilon[9],2.163,0.458,1.315,2.999,0.014,0.01,1053.0,1584.0,1.0
epsilon[10],2.397,0.514,1.519,3.419,0.015,0.011,1064.0,1539.0,1.0
epsilon[11],4.153,0.971,2.425,6.002,0.025,0.017,1454.0,2147.0,1.0
epsilon[12],1.944,0.42,1.165,2.714,0.012,0.009,1092.0,1734.0,1.0
epsilon[13],5.044,1.115,3.027,7.185,0.03,0.021,1330.0,1969.0,1.0
epsilon[14],3.606,0.792,2.168,5.121,0.024,0.017,1072.0,1650.0,1.0
epsilon[15],2.924,0.636,1.684,4.064,0.019,0.013,1082.0,1515.0,1.0
epsilon_k[0],2.439,1.793,0.001,5.673,0.016,0.012,7650.0,3716.0,1.0
epsilon_k[1],2.43,1.799,0.001,5.642,0.017,0.012,7143.0,3452.0,1.0
epsilon_k[2],2.391,1.797,0.0,5.619,0.018,0.013,6705.0,4051.0,1.0
epsilon_k[3],2.391,1.844,0.0,5.731,0.017,0.012,7556.0,4030.0,1.0
epsilon_k[4],2.382,1.804,0.0,5.662,0.02,0.014,5062.0,2866.0,1.0
epsilon_k[5],2.428,1.825,0.0,5.706,0.018,0.013,6593.0,4003.0,1.0
