,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.505,0.563,1.47,3.565,0.019,0.014,822.0,1470.0,1.0
epsilon[1],0.79,0.173,0.489,1.126,0.006,0.004,767.0,1347.0,1.0
epsilon[2],1.339,0.295,0.838,1.935,0.01,0.007,764.0,1182.0,1.0
epsilon[3],1.363,0.302,0.811,1.933,0.011,0.008,760.0,1255.0,1.0
epsilon[4],1.56,0.345,0.928,2.216,0.012,0.009,757.0,1356.0,1.0
epsilon[5],1.6,0.363,0.967,2.303,0.013,0.009,791.0,1375.0,1.0
epsilon[6],4.188,0.941,2.497,5.97,0.031,0.022,877.0,1609.0,1.0
epsilon[7],2.058,0.458,1.25,2.966,0.016,0.011,781.0,1315.0,1.0
epsilon[8],3.242,0.734,1.927,4.684,0.025,0.018,815.0,1447.0,1.0
epsilon[9],4.808,1.102,2.781,6.854,0.035,0.025,932.0,1652.0,1.0
epsilon[10],1.42,0.313,0.874,2.049,0.011,0.008,763.0,1233.0,1.0
epsilon[11],2.223,0.5,1.379,3.247,0.018,0.012,770.0,1404.0,1.0
epsilon[12],1.375,0.303,0.803,1.922,0.011,0.008,762.0,1335.0,1.0
epsilon[13],2.158,0.485,1.323,3.114,0.017,0.012,780.0,1344.0,1.0
epsilon[14],4.836,1.109,2.91,7.016,0.034,0.024,1004.0,1713.0,1.0
epsilon[15],3.301,0.755,1.981,4.775,0.025,0.018,881.0,1617.0,1.0
epsilon_k[0],2.425,1.823,0.001,5.734,0.017,0.012,7815.0,3729.0,1.0
epsilon_k[1],2.403,1.78,0.002,5.587,0.017,0.012,6653.0,3659.0,1.0
epsilon_k[2],2.397,1.807,0.0,5.626,0.017,0.012,7930.0,4278.0,1.0
epsilon_k[3],2.396,1.785,0.001,5.592,0.018,0.012,6911.0,4000.0,1.0
epsilon_k[4],2.391,1.813,0.0,5.646,0.019,0.013,5701.0,2751.0,1.0
epsilon_k[5],2.367,1.794,0.0,5.615,0.017,0.012,6446.0,3000.0,1.0
epsilon_k[6],2.393,1.812,0.003,5.642,0.017,0.012,7153.0,3785.0,1.0
epsilon_k[7],2.388,1.807,0.001,5.673,0.017,0.012,6714.0,3545.0,1.0
epsilon_k[8],2.404,1.83,0.001,5.759,0.017,0.013,7371.0,3892.0,1.0
epsilon_k[9],2.372,1.829,0.0,5.683,0.017,0.012,7722.0,3883.0,1.0
epsilon_k[10],2.423,1.825,0.001,5.679,0.016,0.012,7566.0,3768.0,1.0
epsilon_k[11],2.399,1.771,0.002,5.529,0.017,0.012,7488.0,3800.0,1.0
epsilon_k[12],2.396,1.843,0.001,5.749,0.017,0.012,8168.0,3973.0,1.0
epsilon_k[13],2.42,1.809,0.001,5.618,0.016,0.012,7468.0,3724.0,1.0
epsilon_k[14],2.43,1.807,0.001,5.659,0.018,0.013,6655.0,3670.0,1.0
epsilon_k[15],2.389,1.78,0.0,5.615,0.017,0.012,6394.0,3544.0,1.0
mu_p[0],-0.257,0.044,-0.34,-0.175,0.0,0.0,12935.0,5409.0,1.0
mu_p[1],-0.016,0.015,-0.044,0.014,0.0,0.0,14610.0,5859.0,1.0
mu_p[2],-0.163,0.021,-0.201,-0.123,0.0,0.0,15539.0,5782.0,1.0
mu_p[3],-0.107,0.019,-0.142,-0.071,0.0,0.0,12295.0,5967.0,1.0
mu_p[4],0.121,0.021,0.081,0.162,0.0,0.0,12236.0,6654.0,1.0
mu_p[5],-0.075,0.039,-0.145,-0.001,0.0,0.0,16560.0,5527.0,1.0
mu_p[6],-0.11,0.069,-0.235,0.023,0.001,0.001,10367.0,5009.0,1.0
mu_p[7],0.069,0.027,0.018,0.121,0.0,0.0,13548.0,6769.0,1.0
mu_p[8],0.144,0.035,0.082,0.212,0.0,0.0,10324.0,5555.0,1.0
mu_p[9],-0.278,0.113,-0.488,-0.065,0.001,0.001,9872.0,5368.0,1.0
mu_p[10],-0.003,0.019,-0.04,0.033,0.0,0.0,14408.0,6167.0,1.0
mu_p[11],0.058,0.028,0.006,0.11,0.0,0.0,11674.0,6061.0,1.0
mu_p[12],-0.357,0.031,-0.415,-0.299,0.0,0.0,13451.0,5309.0,1.0
mu_p[13],-0.087,0.035,-0.153,-0.021,0.0,0.0,13568.0,5355.0,1.0
mu_p[14],0.04,0.08,-0.112,0.189,0.001,0.001,11074.0,5537.0,1.0
mu_p[15],-0.723,0.124,-0.962,-0.511,0.001,0.001,9277.0,4386.0,1.0
sig_n,0.003,0.001,0.002,0.004,0.0,0.0,989.0,1912.0,1.0
var_p,0.05,0.011,0.032,0.07,0.0,0.0,684.0,1095.0,1.0
var_s[0],0.076,0.009,0.06,0.093,0.0,0.0,10577.0,5995.0,1.0
var_s[1],0.045,0.004,0.037,0.053,0.0,0.0,11318.0,6040.0,1.0
var_s[2],0.111,0.013,0.089,0.136,0.0,0.0,12828.0,5205.0,1.0
var_s[3],0.19,0.027,0.142,0.242,0.0,0.0,12697.0,5573.0,1.0
var_s[4],0.097,0.01,0.078,0.116,0.0,0.0,9245.0,6206.0,1.0
var_s[5],0.024,0.002,0.02,0.029,0.0,0.0,9985.0,5642.0,1.0
var_s[6],0.051,0.005,0.041,0.061,0.0,0.0,11657.0,5657.0,1.0
var_s[7],0.086,0.01,0.067,0.104,0.0,0.0,9035.0,6105.0,1.0
var_s[8],0.165,0.021,0.129,0.206,0.0,0.0,8747.0,6859.0,1.0
var_s[9],0.033,0.004,0.026,0.041,0.0,0.0,10458.0,6374.0,1.0
var_s[10],0.122,0.014,0.097,0.149,0.0,0.0,12243.0,6027.0,1.0
var_s[11],0.117,0.013,0.095,0.142,0.0,0.0,11355.0,6837.0,1.0
var_s[12],0.063,0.006,0.051,0.075,0.0,0.0,10505.0,5345.0,1.0
var_s[13],0.062,0.006,0.05,0.073,0.0,0.0,12330.0,5872.0,1.0
var_s[14],0.048,0.006,0.037,0.059,0.0,0.0,10430.0,6082.0,1.0
var_s[15],0.043,0.005,0.034,0.052,0.0,0.0,10036.0,6480.0,1.0
