,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.533,0.528,1.542,3.519,0.017,0.012,924.0,1408.0,1.01
epsilon[1],2.129,0.441,1.321,2.963,0.014,0.01,962.0,1304.0,1.01
epsilon[2],2.813,0.585,1.762,3.948,0.019,0.013,950.0,1404.0,1.01
epsilon[3],1.821,0.377,1.142,2.541,0.012,0.009,929.0,1397.0,1.01
epsilon[4],4.161,0.907,2.502,5.86,0.028,0.019,1043.0,1614.0,1.01
epsilon[5],2.7,0.557,1.71,3.771,0.018,0.013,947.0,1364.0,1.01
epsilon[6],3.402,0.734,2.044,4.745,0.023,0.016,974.0,1415.0,1.01
epsilon[7],2.297,0.481,1.402,3.186,0.016,0.011,930.0,1451.0,1.01
epsilon[8],2.716,0.566,1.64,3.754,0.018,0.013,937.0,1451.0,1.01
epsilon[9],2.615,0.542,1.625,3.633,0.017,0.012,960.0,1550.0,1.01
epsilon[10],1.799,0.375,1.112,2.497,0.012,0.009,932.0,1292.0,1.01
epsilon[11],2.162,0.45,1.286,2.972,0.015,0.01,921.0,1331.0,1.01
epsilon[12],3.533,0.735,2.154,4.845,0.023,0.016,976.0,1334.0,1.01
epsilon[13],3.062,0.644,1.863,4.26,0.02,0.014,969.0,1484.0,1.01
epsilon[14],2.213,0.462,1.39,3.099,0.015,0.01,951.0,1496.0,1.01
epsilon[15],2.906,0.613,1.767,4.021,0.019,0.014,977.0,1492.0,1.01
epsilon_k[0],2.379,1.791,0.001,5.499,0.017,0.012,7192.0,3680.0,1.0
epsilon_k[1],2.407,1.799,0.0,5.598,0.017,0.012,6405.0,3730.0,1.0
epsilon_k[2],2.387,1.779,0.0,5.524,0.018,0.012,6339.0,3135.0,1.0
epsilon_k[3],2.385,1.804,0.003,5.651,0.018,0.013,7001.0,4316.0,1.0
epsilon_k[4],2.425,1.811,0.001,5.668,0.016,0.012,7985.0,3878.0,1.0
epsilon_k[5],2.39,1.831,0.0,5.735,0.017,0.012,8008.0,4034.0,1.0
epsilon_k[6],2.409,1.766,0.0,5.64,0.019,0.013,5493.0,3106.0,1.0
epsilon_k[7],2.359,1.795,0.0,5.521,0.017,0.012,7350.0,3698.0,1.0
epsilon_k[8],2.4,1.789,0.0,5.657,0.018,0.012,6697.0,3730.0,1.0
epsilon_k[9],2.376,1.811,0.001,5.602,0.017,0.012,7088.0,3534.0,1.0
epsilon_k[10],2.381,1.793,0.001,5.612,0.017,0.012,6773.0,3455.0,1.0
epsilon_k[11],2.405,1.806,0.0,5.683,0.017,0.012,7005.0,3014.0,1.0
epsilon_k[12],2.396,1.816,0.003,5.662,0.017,0.012,6922.0,3851.0,1.0
epsilon_k[13],2.423,1.847,0.001,5.699,0.018,0.013,6203.0,2892.0,1.0
epsilon_k[14],2.388,1.809,0.001,5.596,0.018,0.013,6598.0,3556.0,1.0
epsilon_k[15],2.382,1.778,0.0,5.632,0.017,0.012,7376.0,4009.0,1.0
mu_p[0],-0.062,0.021,-0.102,-0.021,0.0,0.0,16641.0,5550.0,1.0
mu_p[1],-0.072,0.02,-0.108,-0.035,0.0,0.0,15569.0,5806.0,1.0
mu_p[2],-0.135,0.029,-0.19,-0.08,0.0,0.0,15819.0,5630.0,1.0
mu_p[3],0.022,0.018,-0.01,0.055,0.0,0.0,17594.0,5926.0,1.0
mu_p[4],0.229,0.068,0.098,0.355,0.001,0.0,11918.0,6082.0,1.0
mu_p[5],0.06,0.021,0.022,0.1,0.0,0.0,12815.0,5891.0,1.0
mu_p[6],-0.051,0.044,-0.134,0.029,0.0,0.0,13367.0,5532.0,1.0
mu_p[7],0.102,0.018,0.068,0.135,0.0,0.0,11913.0,5812.0,1.0
mu_p[8],-0.019,0.023,-0.063,0.025,0.0,0.0,17031.0,5647.0,1.0
mu_p[9],-0.032,0.023,-0.075,0.011,0.0,0.0,14079.0,6371.0,1.0
mu_p[10],0.074,0.018,0.04,0.108,0.0,0.0,13462.0,6063.0,1.0
mu_p[11],0.089,0.019,0.053,0.123,0.0,0.0,14810.0,6390.0,1.0
mu_p[12],-0.418,0.048,-0.513,-0.333,0.0,0.0,11304.0,5372.0,1.0
mu_p[13],0.179,0.03,0.122,0.236,0.0,0.0,13142.0,6376.0,1.0
mu_p[14],-0.279,0.034,-0.344,-0.215,0.0,0.0,13935.0,5095.0,1.0
mu_p[15],-0.313,0.039,-0.387,-0.241,0.0,0.0,13087.0,5464.0,1.0
sig_n,0.003,0.001,0.001,0.004,0.0,0.0,1097.0,1617.0,1.01
var_p,0.031,0.006,0.02,0.043,0.0,0.0,839.0,1194.0,1.01
var_s[0],0.146,0.019,0.113,0.183,0.0,0.0,11617.0,6618.0,1.0
var_s[1],0.112,0.013,0.087,0.136,0.0,0.0,11317.0,5922.0,1.0
var_s[2],0.079,0.009,0.063,0.096,0.0,0.0,9468.0,5911.0,1.0
var_s[3],0.093,0.01,0.075,0.112,0.0,0.0,13445.0,5399.0,1.0
var_s[4],0.019,0.002,0.015,0.023,0.0,0.0,10184.0,5940.0,1.0
var_s[5],0.149,0.019,0.116,0.185,0.0,0.0,11776.0,6807.0,1.0
var_s[6],0.034,0.004,0.027,0.041,0.0,0.0,11413.0,6538.0,1.0
var_s[7],0.21,0.033,0.157,0.275,0.0,0.0,11373.0,6097.0,1.0
var_s[8],0.105,0.013,0.083,0.13,0.0,0.0,13065.0,5414.0,1.0
var_s[9],0.103,0.012,0.082,0.125,0.0,0.0,11766.0,5972.0,1.0
var_s[10],0.071,0.007,0.058,0.085,0.0,0.0,13896.0,6606.0,1.0
var_s[11],0.124,0.014,0.099,0.152,0.0,0.0,13973.0,6233.0,1.0
var_s[12],0.084,0.009,0.068,0.102,0.0,0.0,13102.0,5748.0,1.0
var_s[13],0.061,0.006,0.05,0.073,0.0,0.0,9989.0,6623.0,1.0
var_s[14],0.05,0.005,0.041,0.06,0.0,0.0,11917.0,5594.0,1.0
var_s[15],0.065,0.007,0.052,0.079,0.0,0.0,11498.0,6020.0,1.0
