,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.264,0.271,0.769,1.763,0.009,0.006,953.0,1594.0,1.0
epsilon[1],1.694,0.367,1.04,2.397,0.012,0.008,976.0,1575.0,1.0
epsilon[2],1.165,0.25,0.745,1.672,0.008,0.006,966.0,1448.0,1.0
epsilon[3],1.941,0.417,1.177,2.718,0.013,0.009,951.0,1413.0,1.0
epsilon[4],1.505,0.334,0.913,2.129,0.01,0.007,1031.0,1687.0,1.0
epsilon[5],1.171,0.251,0.729,1.652,0.008,0.006,956.0,1543.0,1.0
epsilon[6],2.833,0.606,1.825,4.063,0.019,0.013,980.0,1595.0,1.0
epsilon[7],3.874,0.84,2.382,5.478,0.025,0.018,1060.0,1764.0,1.0
epsilon[8],2.235,0.496,1.375,3.22,0.015,0.011,1004.0,1490.0,1.0
epsilon[9],2.187,0.473,1.338,3.081,0.015,0.011,963.0,1569.0,1.0
epsilon[10],2.422,0.529,1.521,3.475,0.017,0.012,986.0,1492.0,1.0
epsilon[11],4.186,0.977,2.466,6.075,0.026,0.018,1334.0,2123.0,1.0
epsilon[12],1.959,0.432,1.205,2.806,0.014,0.01,975.0,1769.0,1.0
epsilon[13],5.085,1.141,3.047,7.235,0.031,0.022,1325.0,2139.0,1.0
epsilon[14],3.633,0.802,2.161,5.123,0.024,0.017,1097.0,1692.0,1.0
epsilon[15],2.947,0.648,1.797,4.183,0.02,0.014,1045.0,1577.0,1.0
epsilon_k[0],2.292,1.729,0.0,5.346,0.017,0.012,6933.0,3648.0,1.0
epsilon_k[1],2.428,1.794,0.0,5.603,0.019,0.013,6292.0,3669.0,1.0
epsilon_k[2],2.23,1.7,0.002,5.302,0.017,0.012,6598.0,3226.0,1.0
epsilon_k[3],2.315,1.728,0.001,5.359,0.017,0.012,6859.0,3920.0,1.0
epsilon_k[4],2.154,1.659,0.0,5.178,0.017,0.012,6854.0,4356.0,1.0
epsilon_k[5],2.262,1.707,0.0,5.376,0.017,0.012,6440.0,3583.0,1.0
epsilon_k[6],2.185,1.662,0.0,5.215,0.017,0.012,7092.0,3757.0,1.0
epsilon_k[7],2.266,1.755,0.001,5.459,0.017,0.012,7558.0,4401.0,1.0
epsilon_k[8],2.931,2.071,0.0,6.594,0.027,0.019,4533.0,3403.0,1.0
epsilon_k[9],2.011,1.649,0.001,5.022,0.019,0.014,5444.0,3745.0,1.0
epsilon_k[10],2.348,1.778,0.005,5.538,0.017,0.012,7499.0,4352.0,1.0
epsilon_k[11],2.541,1.884,0.0,5.881,0.02,0.014,5940.0,2987.0,1.0
epsilon_k[12],2.193,1.658,0.0,5.193,0.017,0.012,6839.0,3812.0,1.0
epsilon_k[13],2.343,1.772,0.001,5.512,0.017,0.012,7380.0,4168.0,1.0
epsilon_k[14],2.202,1.688,0.003,5.21,0.016,0.011,7267.0,3813.0,1.0
epsilon_k[15],2.245,1.687,0.002,5.303,0.016,0.012,7079.0,3748.0,1.0
k_r,-0.001,0.002,-0.004,0.002,0.0,0.0,3433.0,5267.0,1.0
mu_p[0],-0.11,0.017,-0.143,-0.08,0.0,0.0,11862.0,6038.0,1.0
mu_p[1],0.099,0.024,0.054,0.142,0.0,0.0,9432.0,5895.0,1.0
mu_p[2],-0.004,0.019,-0.039,0.032,0.0,0.0,11352.0,6112.0,1.0
mu_p[3],-0.06,0.022,-0.1,-0.019,0.0,0.0,13243.0,5306.0,1.0
mu_p[4],-0.052,0.043,-0.133,0.028,0.0,0.0,9279.0,5881.0,1.0
mu_p[5],-0.166,0.019,-0.202,-0.129,0.0,0.0,11962.0,5757.0,1.0
mu_p[6],-0.389,0.039,-0.463,-0.316,0.0,0.0,10080.0,6357.0,1.0
mu_p[7],-0.014,0.038,-0.086,0.059,0.0,0.0,10680.0,5102.0,1.0
mu_p[8],0.266,0.043,0.184,0.344,0.0,0.0,7621.0,6302.0,1.0
mu_p[9],-0.049,0.026,-0.096,0.002,0.0,0.0,11031.0,5532.0,1.0
mu_p[10],-0.005,0.031,-0.064,0.053,0.0,0.0,12151.0,5707.0,1.0
mu_p[11],-0.573,0.182,-0.92,-0.268,0.002,0.002,6645.0,4787.0,1.0
