,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.98,0.398,1.249,2.715,0.012,0.008,1173.0,1965.0,1.0
epsilon[1],3.412,0.697,2.158,4.774,0.02,0.014,1203.0,2135.0,1.0
epsilon[2],2.068,0.421,1.318,2.881,0.012,0.009,1130.0,2012.0,1.0
epsilon[3],3.338,0.673,2.13,4.639,0.02,0.014,1162.0,2113.0,1.0
epsilon[4],3.045,0.61,1.932,4.202,0.017,0.012,1202.0,2072.0,1.0
epsilon[5],2.596,0.52,1.657,3.584,0.015,0.011,1193.0,2005.0,1.0
epsilon[6],2.04,0.408,1.306,2.819,0.012,0.009,1114.0,2082.0,1.0
epsilon[7],3.339,0.676,2.119,4.632,0.02,0.014,1186.0,2097.0,1.0
epsilon[8],3.611,0.725,2.301,4.978,0.02,0.014,1237.0,2053.0,1.0
epsilon[9],2.462,0.493,1.564,3.396,0.015,0.01,1139.0,1991.0,1.0
epsilon[10],2.092,0.419,1.348,2.896,0.012,0.009,1165.0,2049.0,1.0
epsilon[11],1.922,0.38,1.233,2.633,0.011,0.008,1162.0,1887.0,1.0
epsilon[12],2.317,0.465,1.487,3.217,0.014,0.01,1122.0,1915.0,1.0
epsilon[13],2.67,0.531,1.674,3.667,0.016,0.011,1103.0,1908.0,1.0
epsilon[14],1.181,0.235,0.763,1.636,0.007,0.005,1091.0,1950.0,1.0
epsilon[15],4.101,0.839,2.543,5.67,0.024,0.017,1212.0,2099.0,1.0
epsilon_k[0],0.188,0.172,0.0,0.505,0.002,0.001,6071.0,4690.0,1.0
epsilon_k[1],0.409,0.312,0.0,0.961,0.004,0.003,5298.0,4438.0,1.0
epsilon_k[2],1.803,0.517,0.903,2.821,0.008,0.006,4218.0,4978.0,1.0
epsilon_k[3],6.755,1.325,4.261,9.16,0.022,0.016,3407.0,3736.0,1.0
epsilon_k[4],1.506,0.689,0.243,2.755,0.01,0.007,4378.0,3269.0,1.0
epsilon_k[5],2.367,0.712,1.145,3.748,0.01,0.007,4639.0,4610.0,1.0
epsilon_k[6],2.738,0.71,1.403,4.012,0.011,0.008,4117.0,4320.0,1.0
epsilon_k[7],1.296,0.663,0.106,2.491,0.009,0.006,5078.0,3461.0,1.0
epsilon_k[8],5.664,1.159,3.517,7.776,0.019,0.014,3537.0,4093.0,1.0
epsilon_k[9],0.77,0.502,0.0,1.627,0.006,0.004,5347.0,3408.0,1.0
epsilon_k[10],3.353,0.78,1.9,4.768,0.012,0.009,3751.0,4564.0,1.0
epsilon_k[11],0.35,0.3,0.0,0.898,0.003,0.002,6014.0,4378.0,1.0
epsilon_k[12],0.334,0.293,0.0,0.866,0.003,0.002,5883.0,4070.0,1.0
epsilon_k[13],3.947,0.973,2.185,5.759,0.015,0.01,4289.0,5145.0,1.0
epsilon_k[14],0.135,0.131,0.0,0.375,0.001,0.001,5973.0,4075.0,1.0
epsilon_k[15],0.913,0.515,0.002,1.784,0.007,0.005,4821.0,2968.0,1.0
k_r,-0.021,0.004,-0.029,-0.014,0.0,0.0,3048.0,3590.0,1.0
mu_p[0],-0.196,0.031,-0.255,-0.137,0.0,0.0,10605.0,6246.0,1.0
mu_p[1],0.344,0.061,0.232,0.46,0.001,0.0,7966.0,5790.0,1.0
mu_p[2],0.205,0.048,0.114,0.293,0.001,0.0,9155.0,6201.0,1.0
mu_p[3],0.013,0.044,-0.068,0.099,0.0,0.001,11301.0,5899.0,1.0
mu_p[4],-0.422,0.045,-0.507,-0.34,0.001,0.0,7211.0,5727.0,1.0
mu_p[5],-0.19,0.039,-0.261,-0.117,0.0,0.0,8634.0,5535.0,1.0
mu_p[6],-0.023,0.032,-0.082,0.038,0.0,0.0,10362.0,5480.0,1.0
mu_p[7],0.07,0.035,0.004,0.137,0.0,0.0,7880.0,5470.0,1.0
mu_p[8],0.075,0.043,-0.005,0.159,0.0,0.0,10201.0,5674.0,1.0
mu_p[9],-0.302,0.034,-0.362,-0.236,0.0,0.0,8138.0,6226.0,1.0
mu_p[10],0.012,0.034,-0.053,0.076,0.0,0.0,9755.0,5696.0,1.0
