,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.72,0.574,1.684,3.791,0.02,0.014,849.0,1775.0,1.01
epsilon[1],2.197,0.462,1.381,3.07,0.016,0.011,852.0,1658.0,1.01
epsilon[2],1.229,0.252,0.757,1.689,0.009,0.006,827.0,1496.0,1.01
epsilon[3],1.508,0.316,0.939,2.116,0.011,0.008,830.0,1533.0,1.01
epsilon[4],4.056,0.843,2.588,5.735,0.028,0.02,870.0,1719.0,1.01
epsilon[5],1.742,0.362,1.096,2.44,0.013,0.009,833.0,1451.0,1.01
epsilon[6],2.619,0.547,1.628,3.647,0.019,0.013,839.0,1644.0,1.01
epsilon[7],3.155,0.664,1.964,4.401,0.022,0.016,875.0,1678.0,1.01
epsilon[8],1.665,0.346,1.046,2.32,0.012,0.008,834.0,1482.0,1.01
epsilon[9],1.877,0.39,1.188,2.633,0.013,0.009,845.0,1591.0,1.01
epsilon[10],3.118,0.719,1.894,4.559,0.021,0.015,1110.0,2113.0,1.01
epsilon[11],2.496,0.521,1.567,3.495,0.018,0.013,846.0,1684.0,1.01
epsilon[12],2.926,0.61,1.796,4.073,0.021,0.015,859.0,1717.0,1.01
epsilon[13],5.364,1.125,3.317,7.47,0.036,0.025,982.0,1969.0,1.01
epsilon[14],2.556,0.55,1.556,3.582,0.018,0.013,933.0,1809.0,1.01
epsilon[15],1.867,0.388,1.162,2.612,0.013,0.009,827.0,1562.0,1.01
epsilon_k[0],1.701,1.285,0.004,3.995,0.014,0.01,6125.0,4622.0,1.0
epsilon_k[1],1.386,1.099,0.001,3.345,0.011,0.008,7391.0,4851.0,1.0
epsilon_k[2],2.678,1.479,0.002,5.17,0.018,0.013,5540.0,3531.0,1.0
epsilon_k[3],1.557,1.172,0.0,3.672,0.015,0.01,4546.0,3551.0,1.0
epsilon_k[4],0.946,0.88,0.0,2.552,0.008,0.006,7606.0,3970.0,1.0
epsilon_k[5],4.53,1.76,1.136,7.726,0.021,0.015,6598.0,3331.0,1.0
epsilon_k[6],0.999,0.894,0.0,2.637,0.01,0.007,6294.0,4382.0,1.0
epsilon_k[7],2.324,1.521,0.0,4.971,0.017,0.012,5777.0,3403.0,1.0
epsilon_k[8],2.837,1.617,0.0,5.558,0.02,0.014,5133.0,3016.0,1.0
epsilon_k[9],1.281,1.048,0.001,3.165,0.012,0.008,5726.0,3538.0,1.0
epsilon_k[10],1.971,1.235,0.005,4.079,0.016,0.011,4345.0,2756.0,1.0
epsilon_k[11],1.044,0.946,0.0,2.751,0.01,0.007,7470.0,4550.0,1.0
epsilon_k[12],1.98,1.407,0.0,4.484,0.016,0.012,5457.0,3253.0,1.0
epsilon_k[13],5.801,1.947,2.315,9.629,0.025,0.018,5457.0,2408.0,1.0
epsilon_k[14],3.445,1.61,0.391,6.318,0.02,0.014,5404.0,3033.0,1.0
epsilon_k[15],1.052,0.907,0.0,2.692,0.01,0.007,5917.0,4668.0,1.0
k_r[0],-0.014,0.011,-0.034,-0.0,0.0,0.0,5877.0,4663.0,1.0
k_r[1],-0.012,0.009,-0.028,-0.0,0.0,0.0,7607.0,4452.0,1.0
k_r[2],-0.023,0.012,-0.044,-0.0,0.0,0.0,5534.0,3688.0,1.0
k_r[3],-0.013,0.01,-0.03,-0.0,0.0,0.0,4994.0,4007.0,1.0
k_r[4],-0.008,0.007,-0.021,-0.0,0.0,0.0,8087.0,3748.0,1.0
k_r[5],-0.039,0.016,-0.069,-0.008,0.0,0.0,5626.0,3617.0,1.0
k_r[6],-0.008,0.007,-0.022,-0.0,0.0,0.0,7018.0,4267.0,1.0
k_r[7],-0.02,0.013,-0.043,-0.0,0.0,0.0,5327.0,3554.0,1.0
k_r[8],-0.024,0.014,-0.049,-0.0,0.0,0.0,4700.0,3236.0,1.0
k_r[9],-0.011,0.009,-0.027,-0.0,0.0,0.0,5987.0,3377.0,1.0
k_r[10],-0.017,0.01,-0.032,-0.0,0.0,0.0,4624.0,2842.0,1.0
k_r[11],-0.009,0.008,-0.023,-0.0,0.0,0.0,8039.0,4964.0,1.0
k_r[12],-0.017,0.012,-0.038,-0.0,0.0,0.0,5385.0,3334.0,1.0
k_r[13],-0.051,0.02,-0.089,-0.013,0.0,0.0,3971.0,2392.0,1.0
k_r[14],-0.03,0.014,-0.055,-0.004,0.0,0.0,4285.0,3008.0,1.0
k_r[15],-0.009,0.007,-0.022,-0.0,0.0,0.0,6539.0,4619.0,1.0
k_r0,-0.009,0.003,-0.014,-0.004,0.0,0.0,5055.0,4804.0,1.0
mu_p[0],-0.027,0.032,-0.088,0.033,0.0,0.0,9665.0,6328.0,1.0
mu_p[1],-0.257,0.042,-0.333,-0.175,0.0,0.0,11821.0,5957.0,1.0
mu_p[2],-0.054,0.022,-0.094,-0.012,0.0,0.0,8956.0,6255.0,1.0
mu_p[3],0.093,0.022,0.051,0.135,0.0,0.0,9846.0,6504.0,1.0
mu_p[4],0.108,0.034,0.045,0.171,0.0,0.0,9786.0,6520.0,1.0
mu_p[5],0.071,0.03,0.015,0.126,0.0,0.0,7323.0,5445.0,1.0
mu_p[6],0.111,0.027,0.059,0.16,0.0,0.0,12145.0,6217.0,1.0
mu_p[7],-0.066,0.042,-0.145,0.013,0.0,0.0,10376.0,5789.0,1.0
mu_p[8],0.041,0.022,0.002,0.083,0.0,0.0,8075.0,6164.0,1.0
mu_p[9],-0.078,0.023,-0.123,-0.036,0.0,0.0,11684.0,6311.0,1.0
mu_p[10],0.259,0.111,0.052,0.466,0.001,0.001,6567.0,5476.0,1.0
mu_p[11],0.087,0.022,0.043,0.127,0.0,0.0,10831.0,6047.0,1.0
mu_p[12],-0.124,0.036,-0.191,-0.055,0.0,0.0,9696.0,6040.0,1.0
mu_p[13],-0.104,0.105,-0.295,0.098,0.001,0.001,5194.0,4627.0,1.0
mu_p[14],-0.26,0.07,-0.387,-0.123,0.001,0.001,7278.0,5622.0,1.0
mu_p[15],0.074,0.024,0.027,0.118,0.0,0.0,11757.0,6444.0,1.0
sig_n,0.004,0.001,0.002,0.006,0.0,0.0,1246.0,2057.0,1.01
var_p,0.043,0.009,0.029,0.06,0.0,0.0,730.0,1350.0,1.01
var_s[0],0.187,0.027,0.138,0.238,0.0,0.0,12068.0,5683.0,1.0
var_s[1],0.073,0.008,0.058,0.089,0.0,0.0,8922.0,6284.0,1.0
var_s[2],0.162,0.023,0.123,0.209,0.0,0.0,13225.0,5438.0,1.0
var_s[3],0.142,0.019,0.107,0.176,0.0,0.0,10134.0,5588.0,1.0
var_s[4],0.459,0.096,0.307,0.646,0.001,0.001,9762.0,5650.0,1.0
var_s[5],0.143,0.019,0.11,0.177,0.0,0.0,12931.0,5950.0,1.0
var_s[6],0.242,0.04,0.174,0.317,0.0,0.0,10822.0,5727.0,1.0
var_s[7],0.125,0.015,0.098,0.154,0.0,0.0,12991.0,5506.0,1.0
var_s[8],0.897,0.365,0.377,1.574,0.004,0.003,15773.0,6471.0,1.0
var_s[9],0.26,0.047,0.181,0.344,0.0,0.0,13980.0,5157.0,1.0
var_s[10],0.017,0.002,0.013,0.021,0.0,0.0,9427.0,6085.0,1.0
var_s[11],0.834,0.303,0.408,1.402,0.003,0.003,14428.0,5252.0,1.0
