,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.542,0.531,1.531,3.507,0.019,0.013,756.0,1108.0,1.01
epsilon[1],2.088,0.435,1.276,2.884,0.015,0.011,753.0,1252.0,1.01
epsilon[2],2.826,0.59,1.736,3.908,0.021,0.015,759.0,1052.0,1.01
epsilon[3],1.828,0.385,1.122,2.538,0.014,0.01,746.0,1159.0,1.01
epsilon[4],4.189,0.912,2.603,6.017,0.03,0.021,898.0,1380.0,1.01
epsilon[5],2.679,0.56,1.655,3.752,0.019,0.014,799.0,1130.0,1.01
epsilon[6],3.368,0.724,2.041,4.701,0.025,0.018,802.0,1220.0,1.01
epsilon[7],2.3,0.481,1.455,3.24,0.017,0.012,766.0,1173.0,1.01
epsilon[8],2.716,0.57,1.644,3.756,0.02,0.014,741.0,1162.0,1.01
epsilon[9],2.472,0.517,1.529,3.449,0.018,0.013,781.0,1154.0,1.01
epsilon[10],1.801,0.378,1.089,2.489,0.013,0.01,746.0,1149.0,1.01
epsilon[11],2.151,0.45,1.301,2.966,0.016,0.011,771.0,1143.0,1.01
epsilon[12],3.498,0.728,2.155,4.872,0.025,0.018,777.0,1223.0,1.01
epsilon[13],3.067,0.651,1.87,4.264,0.023,0.016,771.0,1278.0,1.01
epsilon[14],2.189,0.46,1.366,3.07,0.016,0.011,778.0,1124.0,1.01
epsilon[15],2.865,0.605,1.729,3.956,0.021,0.015,783.0,1187.0,1.01
epsilon_k[0],1.064,0.836,0.0,2.595,0.01,0.007,4773.0,3484.0,1.0
epsilon_k[1],3.2,1.376,0.732,5.875,0.018,0.013,5017.0,3341.0,1.0
epsilon_k[2],1.066,0.849,0.0,2.61,0.01,0.007,4744.0,3153.0,1.0
epsilon_k[3],1.108,0.834,0.001,2.634,0.011,0.008,4529.0,3499.0,1.0
epsilon_k[4],1.678,0.964,0.004,3.334,0.014,0.01,4005.0,2767.0,1.0
epsilon_k[5],2.508,1.337,0.011,4.739,0.017,0.012,4871.0,2872.0,1.0
epsilon_k[6],3.466,1.304,1.113,5.946,0.017,0.012,5807.0,4601.0,1.0
epsilon_k[7],0.823,0.72,0.0,2.176,0.008,0.006,5826.0,4137.0,1.0
epsilon_k[8],2.151,1.228,0.001,4.211,0.017,0.012,4325.0,2534.0,1.0
epsilon_k[9],5.909,1.573,2.987,8.79,0.021,0.015,5341.0,4345.0,1.0
epsilon_k[10],1.148,0.849,0.0,2.661,0.012,0.009,3669.0,3073.0,1.0
epsilon_k[11],2.203,1.211,0.016,4.253,0.017,0.012,4406.0,3188.0,1.0
epsilon_k[12],2.844,1.447,0.19,5.364,0.02,0.014,4574.0,2709.0,1.0
epsilon_k[13],1.787,1.106,0.0,3.708,0.015,0.01,4667.0,3163.0,1.0
epsilon_k[14],2.754,1.257,0.439,5.093,0.019,0.013,3954.0,2206.0,1.0
epsilon_k[15],3.571,1.398,1.027,6.231,0.019,0.014,4708.0,3023.0,1.0
k_r,0.012,0.003,0.007,0.017,0.0,0.0,4287.0,3665.0,1.0
mu_p[0],-0.078,0.025,-0.124,-0.031,0.0,0.0,7295.0,5812.0,1.0
mu_p[1],-0.124,0.029,-0.177,-0.07,0.0,0.0,6362.0,5212.0,1.0
mu_p[2],-0.158,0.034,-0.221,-0.094,0.0,0.0,8561.0,5630.0,1.0
mu_p[3],0.004,0.022,-0.039,0.042,0.0,0.0,7550.0,5980.0,1.0
mu_p[4],0.098,0.097,-0.09,0.272,0.001,0.001,5743.0,5563.0,1.0
mu_p[5],0.02,0.03,-0.036,0.075,0.0,0.0,7067.0,6199.0,1.0
mu_p[6],-0.198,0.073,-0.333,-0.065,0.001,0.001,6967.0,6106.0,1.0
mu_p[7],0.09,0.02,0.051,0.128,0.0,0.0,8890.0,6138.0,1.0
mu_p[8],-0.058,0.032,-0.117,0.002,0.0,0.0,6269.0,6064.0,1.0
mu_p[9],-0.14,0.036,-0.21,-0.075,0.0,0.0,7143.0,5263.0,1.0
mu_p[10],0.054,0.023,0.01,0.097,0.0,0.0,5956.0,5914.0,1.0
mu_p[11],0.054,0.026,0.005,0.103,0.0,0.0,6669.0,5865.0,1.0
mu_p[12],-0.484,0.06,-0.6,-0.377,0.001,0.001,7270.0,5658.0,1.0
mu_p[13],0.133,0.04,0.057,0.207,0.0,0.0,7010.0,6649.0,1.0
mu_p[14],-0.345,0.045,-0.428,-0.259,0.001,0.0,6306.0,5229.0,1.0
mu_p[15],-0.402,0.055,-0.506,-0.302,0.001,0.0,6673.0,5545.0,1.0
sig_n,0.002,0.001,0.001,0.004,0.0,0.0,872.0,1275.0,1.01
var_p,0.031,0.006,0.021,0.044,0.0,0.0,672.0,965.0,1.01
var_s[0],0.148,0.019,0.113,0.184,0.0,0.0,10087.0,5834.0,1.0
var_s[1],0.11,0.013,0.087,0.135,0.0,0.0,8772.0,5885.0,1.0
var_s[2],0.08,0.009,0.064,0.097,0.0,0.0,9394.0,6398.0,1.0
var_s[3],0.093,0.01,0.075,0.113,0.0,0.0,8042.0,5748.0,1.0
var_s[4],0.019,0.002,0.015,0.023,0.0,0.0,8900.0,5766.0,1.0
var_s[5],0.148,0.019,0.115,0.184,0.0,0.0,9642.0,5785.0,1.0
var_s[6],0.034,0.004,0.027,0.04,0.0,0.0,8221.0,5970.0,1.0
var_s[7],0.213,0.034,0.155,0.278,0.0,0.0,11070.0,5997.0,1.0
var_s[8],0.105,0.012,0.084,0.128,0.0,0.0,9446.0,5864.0,1.0
var_s[9],0.097,0.011,0.078,0.118,0.0,0.0,10076.0,5759.0,1.0
var_s[10],0.071,0.007,0.058,0.085,0.0,0.0,9758.0,5832.0,1.0
var_s[11],0.124,0.015,0.099,0.152,0.0,0.0,8382.0,6020.0,1.0
var_s[12],0.084,0.009,0.066,0.101,0.0,0.0,11015.0,6145.0,1.0
var_s[13],0.061,0.006,0.05,0.073,0.0,0.0,10238.0,6213.0,1.0
var_s[14],0.049,0.005,0.04,0.059,0.0,0.0,9249.0,6606.0,1.0
var_s[15],0.064,0.007,0.052,0.077,0.0,0.0,9958.0,6254.0,1.0
