,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],0.885,0.317,0.293,1.512,0.006,0.004,2774.0,2451.0,1.0
epsilon[1],0.871,0.272,0.365,1.398,0.005,0.004,2956.0,3128.0,1.0
epsilon[2],0.872,0.25,0.419,1.332,0.006,0.004,1827.0,1513.0,1.0
epsilon[3],1.578,0.366,0.919,2.268,0.008,0.006,2074.0,2992.0,1.0
epsilon[4],0.141,0.103,0.0,0.325,0.002,0.001,3688.0,3233.0,1.0
epsilon[5],0.35,0.218,0.0,0.715,0.004,0.003,2778.0,2380.0,1.0
epsilon[6],1.182,0.304,0.637,1.773,0.006,0.004,2666.0,3700.0,1.0
epsilon[7],0.496,0.338,0.0,1.081,0.005,0.004,3734.0,3202.0,1.0
epsilon[8],1.044,0.28,0.513,1.55,0.006,0.004,2471.0,3818.0,1.0
epsilon[9],0.399,0.282,0.0,0.887,0.004,0.003,3752.0,3397.0,1.0
epsilon[10],0.306,0.219,0.0,0.692,0.003,0.002,3519.0,3291.0,1.0
epsilon[11],0.849,0.207,0.473,1.236,0.004,0.003,2394.0,3172.0,1.0
epsilon[12],0.54,0.203,0.134,0.922,0.004,0.003,2660.0,2532.0,1.0
epsilon[13],0.688,0.203,0.331,1.083,0.004,0.003,2686.0,3641.0,1.0
epsilon[14],1.067,0.293,0.557,1.629,0.006,0.004,2664.0,3499.0,1.0
epsilon[15],0.613,0.272,0.032,1.07,0.005,0.004,2653.0,1861.0,1.0
k_r,0.015,0.014,-0.009,0.041,0.0,0.0,3085.0,2889.0,1.0
k_s,0.036,0.023,0.0,0.076,0.0,0.0,3067.0,3216.0,1.0
l_s,0.006,0.004,0.0,0.013,0.0,0.0,4556.0,4587.0,1.0
mu_p[0],-0.116,0.019,-0.151,-0.082,0.0,0.0,5956.0,4796.0,1.0
mu_p[1],0.104,0.024,0.06,0.149,0.0,0.0,7651.0,6068.0,1.0
mu_p[2],-0.001,0.019,-0.037,0.035,0.0,0.0,7611.0,5368.0,1.0
mu_p[3],-0.052,0.026,-0.101,-0.002,0.0,0.0,6065.0,6197.0,1.0
mu_p[4],-0.065,0.039,-0.136,0.008,0.0,0.0,9335.0,6071.0,1.0
mu_p[5],-0.171,0.018,-0.204,-0.137,0.0,0.0,9566.0,5463.0,1.0
mu_p[6],-0.399,0.045,-0.487,-0.32,0.001,0.0,7592.0,4818.0,1.0
mu_p[7],-0.022,0.039,-0.096,0.052,0.0,0.0,8043.0,5823.0,1.0
mu_p[8],0.293,0.041,0.219,0.373,0.0,0.0,8243.0,5779.0,1.0
mu_p[9],-0.052,0.026,-0.101,-0.003,0.0,0.0,10017.0,6380.0,1.0
mu_p[10],-0.012,0.029,-0.066,0.045,0.0,0.0,8142.0,6316.0,1.0
mu_p[11],-0.678,0.326,-1.282,-0.185,0.005,0.004,4796.0,2939.0,1.0
mu_p[12],0.174,0.037,0.108,0.245,0.0,0.0,7084.0,5194.0,1.0
mu_p[13],0.264,0.33,-0.275,0.884,0.007,0.006,3935.0,2816.0,1.0
mu_p[14],-0.04,0.047,-0.124,0.052,0.001,0.0,7651.0,5805.0,1.0
mu_p[15],-0.111,0.04,-0.188,-0.038,0.0,0.0,7703.0,6056.0,1.0
sig_n,0.099,0.023,0.063,0.144,0.001,0.0,2047.0,2714.0,1.0
sig_p[0],0.208,0.018,0.174,0.24,0.0,0.0,4363.0,4844.0,1.0
sig_p[1],0.247,0.017,0.216,0.279,0.0,0.0,5830.0,5289.0,1.0
sig_p[2],0.193,0.015,0.164,0.22,0.0,0.0,3965.0,1929.0,1.0
sig_p[3],0.214,0.02,0.175,0.252,0.0,0.0,6438.0,4356.0,1.0
sig_p[4],0.283,0.017,0.253,0.315,0.0,0.0,7734.0,6306.0,1.0
sig_p[5],0.223,0.011,0.202,0.245,0.0,0.0,6071.0,5139.0,1.0
sig_p[6],0.311,0.022,0.27,0.352,0.0,0.0,7588.0,5161.0,1.0
sig_p[7],0.415,0.026,0.369,0.466,0.0,0.0,7689.0,5886.0,1.0
sig_p[8],0.257,0.027,0.207,0.308,0.0,0.0,5993.0,5236.0,1.0
sig_p[9],0.307,0.017,0.275,0.338,0.0,0.0,6890.0,5657.0,1.0
sig_p[10],0.329,0.017,0.297,0.361,0.0,0.0,6818.0,6104.0,1.0
sig_p[11],0.494,0.093,0.346,0.672,0.001,0.001,5222.0,3900.0,1.0
sig_p[12],0.289,0.019,0.254,0.326,0.0,0.0,6354.0,5637.0,1.0
sig_p[13],0.809,0.306,0.457,1.363,0.006,0.004,3804.0,3146.0,1.0
sig_p[14],0.369,0.028,0.32,0.423,0.0,0.0,6754.0,5624.0,1.0
sig_p[15],0.356,0.023,0.314,0.4,0.0,0.0,6493.0,5825.0,1.0
sig_s[0],0.351,0.04,0.275,0.428,0.001,0.0,4510.0,4445.0,1.0
sig_s[1],0.247,0.019,0.213,0.285,0.0,0.0,4979.0,4522.0,1.0
sig_s[2],0.2,0.019,0.162,0.235,0.0,0.0,3445.0,1514.0,1.0
sig_s[3],0.269,0.032,0.206,0.328,0.0,0.0,6477.0,4720.0,1.0
sig_s[4],0.134,0.006,0.122,0.145,0.0,0.0,6585.0,5617.0,1.0
sig_s[5],0.284,0.018,0.248,0.317,0.0,0.0,5799.0,4599.0,1.0
sig_s[6],0.336,0.033,0.275,0.395,0.0,0.0,6745.0,4799.0,1.0
sig_s[7],0.369,0.024,0.326,0.415,0.0,0.0,6870.0,5504.0,1.0
sig_s[8],0.162,0.015,0.132,0.19,0.0,0.0,5843.0,4504.0,1.0
sig_s[9],0.318,0.02,0.281,0.354,0.0,0.0,6354.0,5122.0,1.0
sig_s[10],0.281,0.015,0.253,0.308,0.0,0.0,6400.0,4939.0,1.0
sig_s[11],0.133,0.011,0.113,0.152,0.0,0.0,7886.0,5175.0,1.0
sig_s[12],0.177,0.012,0.155,0.199,0.0,0.0,5063.0,5142.0,1.0
sig_s[13],0.175,0.011,0.155,0.197,0.0,0.0,7268.0,5252.0,1.0
sig_s[14],0.257,0.021,0.219,0.297,0.0,0.0,6079.0,4362.0,1.0
sig_s[15],0.253,0.018,0.221,0.287,0.0,0.0,4664.0,5005.0,1.0
