,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],0.902,0.218,0.518,1.31,0.007,0.005,1026.0,1671.0,1.01
epsilon[1],0.748,0.175,0.435,1.087,0.005,0.004,1004.0,1414.0,1.0
epsilon[2],0.299,0.19,0.0,0.62,0.005,0.004,1369.0,2584.0,1.0
epsilon[3],0.365,0.224,0.0,0.737,0.005,0.003,1983.0,2544.0,1.0
epsilon[4],1.234,0.291,0.712,1.778,0.01,0.007,887.0,1448.0,1.01
epsilon[5],0.455,0.128,0.222,0.699,0.003,0.002,1249.0,1776.0,1.0
epsilon[6],0.215,0.134,0.0,0.443,0.004,0.003,1332.0,2637.0,1.0
epsilon[7],1.517,0.328,0.917,2.136,0.011,0.008,919.0,1255.0,1.0
epsilon[8],1.798,0.387,1.086,2.532,0.012,0.009,964.0,1398.0,1.0
epsilon[9],0.239,0.147,0.0,0.484,0.004,0.002,1360.0,719.0,1.0
epsilon[10],0.522,0.246,0.026,0.926,0.007,0.005,1149.0,1779.0,1.0
epsilon[11],0.715,0.27,0.165,1.216,0.007,0.005,1499.0,1242.0,1.0
epsilon[12],0.237,0.145,0.0,0.484,0.004,0.003,1464.0,1913.0,1.0
epsilon[13],0.328,0.18,0.003,0.627,0.004,0.003,1669.0,2302.0,1.0
epsilon[14],0.767,0.224,0.341,1.156,0.009,0.006,548.0,161.0,1.0
epsilon[15],0.552,0.158,0.255,0.848,0.004,0.003,1475.0,2112.0,1.0
k_r,0.032,0.023,0.0,0.069,0.002,0.002,419.0,118.0,1.01
k_s,0.078,0.044,0.012,0.156,0.003,0.003,428.0,111.0,1.01
l_s,0.006,0.004,0.0,0.013,0.0,0.0,1247.0,613.0,1.0
mu_p[0],-0.2,0.042,-0.281,-0.127,0.001,0.001,2416.0,4275.0,1.0
mu_p[1],-0.002,0.016,-0.03,0.031,0.0,0.0,2184.0,1693.0,1.0
mu_p[2],-0.164,0.02,-0.204,-0.128,0.001,0.001,1335.0,653.0,1.0
mu_p[3],-0.114,0.019,-0.15,-0.079,0.001,0.0,1386.0,721.0,1.0
mu_p[4],0.155,0.025,0.111,0.204,0.001,0.001,597.0,337.0,1.01
mu_p[5],-0.027,0.043,-0.104,0.056,0.001,0.001,938.0,693.0,1.01
mu_p[6],-0.169,0.107,-0.377,0.026,0.005,0.004,506.0,178.0,1.01
mu_p[7],0.153,0.027,0.106,0.205,0.001,0.0,1703.0,2058.0,1.0
mu_p[8],0.264,0.044,0.181,0.344,0.001,0.001,1878.0,1014.0,1.0
mu_p[9],-0.632,0.31,-1.214,-0.132,0.008,0.006,1477.0,1817.0,1.0
mu_p[10],-0.005,0.02,-0.044,0.032,0.0,0.0,3147.0,2910.0,1.0
mu_p[11],0.069,0.03,0.014,0.127,0.001,0.0,2051.0,1647.0,1.0
mu_p[12],-0.357,0.03,-0.421,-0.307,0.001,0.001,945.0,181.0,1.01
mu_p[13],-0.075,0.033,-0.14,-0.014,0.001,0.001,1917.0,3781.0,1.0
mu_p[14],0.162,0.11,-0.051,0.359,0.002,0.002,2261.0,2359.0,1.0
mu_p[15],-0.784,0.162,-1.074,-0.491,0.006,0.004,577.0,173.0,1.01
sig_n,0.133,0.03,0.085,0.189,0.001,0.001,875.0,1216.0,1.0
sig_p[0],0.303,0.024,0.257,0.347,0.0,0.0,3103.0,2573.0,1.0
sig_p[1],0.145,0.013,0.121,0.17,0.0,0.0,2428.0,2650.0,1.0
sig_p[2],0.259,0.014,0.234,0.286,0.0,0.0,913.0,633.0,1.0
sig_p[3],0.258,0.014,0.231,0.284,0.0,0.0,1789.0,1442.0,1.0
sig_p[4],0.192,0.023,0.15,0.235,0.001,0.0,1524.0,1066.0,1.0
sig_p[5],0.283,0.02,0.246,0.321,0.0,0.0,2251.0,2223.0,1.0
sig_p[6],0.584,0.063,0.474,0.7,0.001,0.001,1742.0,1377.0,1.0
sig_p[7],0.126,0.03,0.073,0.183,0.001,0.001,1172.0,733.0,1.01
sig_p[8],0.271,0.03,0.215,0.327,0.001,0.001,1590.0,1124.0,1.0
sig_p[9],0.802,0.167,0.547,1.117,0.005,0.003,1184.0,1445.0,1.0
sig_p[10],0.256,0.015,0.226,0.284,0.0,0.0,2499.0,4336.0,1.0
sig_p[11],0.316,0.021,0.278,0.358,0.0,0.0,2165.0,1807.0,1.0
sig_p[12],0.271,0.014,0.248,0.301,0.001,0.0,874.0,130.0,1.01
sig_p[13],0.337,0.019,0.302,0.373,0.0,0.0,3048.0,3447.0,1.0
sig_p[14],0.529,0.072,0.409,0.655,0.002,0.001,2152.0,3711.0,1.0
sig_p[15],0.457,0.042,0.386,0.538,0.001,0.001,920.0,833.0,1.0
sig_s[0],0.239,0.019,0.204,0.275,0.0,0.0,1845.0,866.0,1.0
sig_s[1],0.151,0.015,0.122,0.179,0.0,0.0,2964.0,2250.0,1.0
sig_s[2],0.342,0.023,0.296,0.381,0.001,0.0,1691.0,1638.0,1.0
sig_s[3],0.435,0.036,0.368,0.5,0.001,0.001,1551.0,2570.0,1.0
sig_s[4],0.198,0.026,0.15,0.25,0.001,0.0,1578.0,1362.0,1.0
sig_s[5],0.157,0.01,0.138,0.176,0.0,0.0,2454.0,2684.0,1.0
sig_s[6],0.247,0.011,0.224,0.267,0.0,0.0,2390.0,2586.0,1.0
sig_s[7],0.106,0.026,0.06,0.155,0.001,0.001,1086.0,694.0,1.01
sig_s[8],0.227,0.029,0.171,0.28,0.001,0.0,2075.0,1486.0,1.0
sig_s[9],0.216,0.011,0.194,0.237,0.0,0.0,1720.0,2018.0,1.0
sig_s[10],0.337,0.03,0.283,0.391,0.001,0.001,1210.0,2021.0,1.0
sig_s[11],0.324,0.027,0.274,0.377,0.001,0.001,1358.0,1457.0,1.0
sig_s[12],0.265,0.015,0.236,0.292,0.0,0.0,1998.0,4438.0,1.0
sig_s[13],0.263,0.015,0.234,0.292,0.0,0.0,1892.0,1114.0,1.0
sig_s[14],0.224,0.017,0.194,0.257,0.001,0.0,1170.0,1004.0,1.0
sig_s[15],0.214,0.015,0.185,0.24,0.0,0.0,2245.0,2805.0,1.0
