,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.096,0.258,0.606,1.568,0.005,0.004,2178.0,2637.0,1.0
epsilon[1],0.556,0.159,0.273,0.862,0.003,0.002,2411.0,3098.0,1.0
epsilon[2],0.638,0.2,0.277,1.028,0.004,0.003,3016.0,3591.0,1.0
epsilon[3],0.868,0.228,0.44,1.282,0.004,0.003,2547.0,3591.0,1.0
epsilon[4],0.429,0.305,0.0,0.973,0.004,0.003,4603.0,3780.0,1.0
epsilon[5],0.66,0.217,0.268,1.078,0.004,0.003,2801.0,3227.0,1.0
epsilon[6],1.417,0.316,0.805,1.98,0.007,0.005,1999.0,2676.0,1.0
epsilon[7],0.414,0.199,0.007,0.744,0.003,0.002,3306.0,3114.0,1.0
epsilon[8],0.886,0.332,0.267,1.554,0.007,0.005,2490.0,1552.0,1.0
epsilon[9],0.654,0.258,0.161,1.155,0.005,0.003,2983.0,2563.0,1.0
epsilon[10],0.589,0.14,0.336,0.843,0.003,0.002,2144.0,3166.0,1.0
epsilon[11],1.642,0.385,0.951,2.373,0.008,0.006,2390.0,3369.0,1.0
epsilon[12],0.884,0.236,0.468,1.349,0.005,0.003,2326.0,3417.0,1.0
epsilon[13],0.353,0.176,0.015,0.652,0.003,0.002,3449.0,2732.0,1.0
epsilon[14],0.553,0.14,0.294,0.816,0.003,0.002,2432.0,3352.0,1.0
epsilon[15],1.066,0.241,0.652,1.537,0.005,0.004,2022.0,2813.0,1.0
k_s,0.04,0.019,0.004,0.074,0.0,0.0,2659.0,3192.0,1.0
l_s,0.05,0.014,0.027,0.076,0.0,0.0,2345.0,3021.0,1.0
mu_p[0],-0.005,0.028,-0.056,0.05,0.0,0.0,8333.0,5474.0,1.0
mu_p[1],-0.248,0.037,-0.321,-0.182,0.0,0.0,8520.0,5983.0,1.0
mu_p[2],-0.072,0.017,-0.103,-0.041,0.0,0.0,12818.0,5939.0,1.0
mu_p[3],0.1,0.019,0.063,0.136,0.0,0.0,10098.0,6202.0,1.0
