,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.163,0.442,1.347,2.966,0.016,0.011,764.0,1263.0,1.0
epsilon[1],1.805,0.365,1.149,2.484,0.014,0.01,735.0,1223.0,1.0
epsilon[2],1.376,0.277,0.881,1.909,0.01,0.007,742.0,1195.0,1.0
epsilon[3],1.665,0.343,1.045,2.297,0.013,0.009,739.0,1256.0,1.0
epsilon[4],3.065,0.623,1.947,4.244,0.022,0.016,783.0,1211.0,1.0
epsilon[5],1.634,0.336,1.031,2.25,0.012,0.009,772.0,1310.0,1.0
epsilon[6],3.413,0.709,2.15,4.712,0.026,0.019,744.0,1349.0,1.0
epsilon[7],3.167,0.662,1.944,4.367,0.024,0.017,785.0,1189.0,1.0
epsilon[8],2.937,0.593,1.87,4.044,0.021,0.015,795.0,1212.0,1.0
epsilon[9],4.147,0.858,2.574,5.74,0.029,0.02,861.0,1470.0,1.0
epsilon[10],2.212,0.449,1.39,3.048,0.016,0.011,813.0,1248.0,1.0
epsilon[11],2.631,0.54,1.621,3.621,0.019,0.013,810.0,1225.0,1.0
epsilon[12],2.111,0.424,1.322,2.887,0.015,0.011,773.0,1351.0,1.0
epsilon[13],2.184,0.475,1.331,3.059,0.016,0.012,817.0,1175.0,1.0
epsilon[14],3.474,0.707,2.2,4.819,0.025,0.018,780.0,1297.0,1.0
epsilon[15],3.804,0.805,2.38,5.371,0.027,0.019,846.0,1255.0,1.0
epsilon[16],2.993,0.627,1.902,4.203,0.023,0.016,765.0,1201.0,1.0
epsilon[17],2.685,0.555,1.61,3.657,0.02,0.014,738.0,1243.0,1.0
epsilon_k[0],0.857,0.702,0.0,2.137,0.01,0.007,3902.0,3096.0,1.0
epsilon_k[1],1.124,0.787,0.001,2.53,0.012,0.008,3455.0,1476.0,1.0
epsilon_k[2],2.346,1.332,0.048,4.652,0.021,0.015,3644.0,2909.0,1.0
epsilon_k[3],0.473,0.436,0.0,1.28,0.006,0.004,4453.0,3107.0,1.0
epsilon_k[4],1.134,0.887,0.001,2.751,0.012,0.008,4947.0,4382.0,1.0
epsilon_k[5],0.914,0.654,0.0,2.072,0.009,0.006,4455.0,3304.0,1.0
epsilon_k[6],5.959,1.675,2.875,9.077,0.022,0.015,5804.0,4413.0,1.0
epsilon_k[7],0.469,0.452,0.0,1.297,0.006,0.004,3833.0,2395.0,1.0
epsilon_k[8],1.106,0.837,0.0,2.586,0.011,0.008,4341.0,2926.0,1.0
epsilon_k[9],2.837,1.419,0.171,5.36,0.019,0.013,4842.0,2956.0,1.0
epsilon_k[10],1.73,1.04,0.006,3.493,0.014,0.01,4233.0,2732.0,1.0
epsilon_k[11],0.556,0.494,0.0,1.428,0.006,0.004,4426.0,2745.0,1.0
epsilon_k[12],3.968,1.456,1.263,6.629,0.025,0.018,3224.0,4058.0,1.0
epsilon_k[13],0.814,0.641,0.001,1.946,0.009,0.006,3784.0,2170.0,1.0
epsilon_k[14],0.58,0.534,0.0,1.575,0.008,0.006,4927.0,3340.0,1.0
epsilon_k[15],1.591,1.219,0.0,3.81,0.018,0.013,3732.0,2535.0,1.0
epsilon_k[16],2.755,1.215,0.587,4.996,0.016,0.011,5566.0,3890.0,1.0
epsilon_k[17],5.529,1.576,2.734,8.544,0.021,0.015,5379.0,4444.0,1.0
k_r,-0.007,0.006,-0.016,0.006,0.0,0.0,1887.0,813.0,1.0
k_s,0.012,0.01,0.0,0.031,0.0,0.0,2015.0,1058.0,1.0
l_s,0.046,0.024,0.003,0.089,0.0,0.0,2444.0,1893.0,1.0
mu_p[0],0.119,0.038,0.049,0.193,0.001,0.0,4638.0,5203.0,1.0
mu_p[1],-0.241,0.044,-0.325,-0.162,0.001,0.0,5552.0,5309.0,1.0
mu_p[2],-0.157,0.025,-0.206,-0.11,0.0,0.0,5687.0,4232.0,1.0
mu_p[3],0.162,0.041,0.089,0.246,0.001,0.0,5999.0,3941.0,1.0
mu_p[4],-0.295,0.05,-0.386,-0.199,0.001,0.0,6221.0,3459.0,1.0
mu_p[5],0.133,0.054,0.037,0.24,0.001,0.001,6360.0,3936.0,1.0
mu_p[6],0.137,0.072,0.002,0.275,0.001,0.001,5374.0,4668.0,1.0
mu_p[7],-0.087,0.058,-0.194,0.021,0.001,0.001,5948.0,4296.0,1.0
mu_p[8],-0.126,0.059,-0.24,-0.02,0.001,0.001,5619.0,2885.0,1.0
mu_p[9],0.133,0.073,-0.008,0.263,0.001,0.001,4701.0,3404.0,1.0
mu_p[10],0.016,0.047,-0.072,0.104,0.001,0.0,5976.0,4667.0,1.0
