,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.689,0.359,1.051,2.384,0.012,0.008,903.0,1349.0,1.0
epsilon[1],2.262,0.479,1.347,3.127,0.016,0.011,876.0,1368.0,1.0
epsilon[2],1.461,0.305,0.919,2.048,0.01,0.007,856.0,1387.0,1.0
epsilon[3],5.468,1.137,3.411,7.603,0.037,0.026,912.0,1396.0,1.0
epsilon[4],2.479,0.521,1.534,3.46,0.017,0.012,912.0,1334.0,1.0
epsilon[5],2.138,0.461,1.273,2.988,0.015,0.011,885.0,1440.0,1.0
epsilon[6],3.401,0.765,1.992,4.845,0.023,0.017,1043.0,1861.0,1.0
epsilon[7],2.6,0.56,1.584,3.648,0.018,0.013,889.0,1417.0,1.01
epsilon[8],1.923,0.408,1.168,2.68,0.013,0.009,913.0,1191.0,1.0
epsilon[9],2.716,0.586,1.656,3.782,0.02,0.014,858.0,1409.0,1.0
epsilon[10],3.331,0.735,1.989,4.725,0.024,0.017,946.0,1516.0,1.0
epsilon[11],3.293,0.763,1.93,4.752,0.023,0.016,1060.0,1770.0,1.0
epsilon[12],2.791,0.592,1.783,3.949,0.019,0.014,930.0,1506.0,1.0
epsilon[13],1.945,0.44,1.116,2.748,0.014,0.01,976.0,1434.0,1.0
epsilon[14],3.013,0.648,1.843,4.243,0.021,0.015,914.0,1378.0,1.0
epsilon[15],2.302,0.495,1.365,3.188,0.017,0.012,824.0,1347.0,1.0
epsilon[16],1.74,0.371,1.058,2.429,0.012,0.009,865.0,1457.0,1.0
epsilon[17],2.419,0.515,1.447,3.345,0.017,0.012,918.0,1475.0,1.0
epsilon_k[0],2.004,1.586,0.001,4.918,0.043,0.041,1978.0,936.0,1.0
epsilon_k[1],2.097,1.519,0.002,4.816,0.024,0.017,3585.0,3142.0,1.0
epsilon_k[2],2.256,1.89,0.001,5.695,0.033,0.023,1930.0,1164.0,1.0
epsilon_k[3],3.908,1.625,0.961,6.977,0.023,0.016,4466.0,3492.0,1.0
epsilon_k[4],2.721,1.868,0.001,5.942,0.03,0.021,3160.0,3492.0,1.0
epsilon_k[5],2.568,1.456,0.061,5.063,0.024,0.02,4146.0,3299.0,1.0
epsilon_k[6],2.482,1.309,0.159,4.731,0.019,0.014,3933.0,3054.0,1.0
epsilon_k[7],2.817,1.822,0.003,5.975,0.034,0.024,2557.0,1397.0,1.0
epsilon_k[8],1.971,1.367,0.0,4.345,0.018,0.013,4295.0,3198.0,1.0
epsilon_k[9],3.34,1.879,0.005,6.402,0.027,0.019,4099.0,2293.0,1.0
epsilon_k[10],2.505,1.479,0.009,5.047,0.026,0.018,2840.0,922.0,1.0
epsilon_k[11],1.304,0.893,0.0,2.881,0.013,0.009,4108.0,3151.0,1.0
epsilon_k[12],1.691,1.408,0.0,4.178,0.02,0.014,4193.0,3379.0,1.0
epsilon_k[13],0.875,0.689,0.0,2.092,0.009,0.007,4515.0,3124.0,1.0
epsilon_k[14],1.301,1.083,0.0,3.23,0.013,0.01,4964.0,3102.0,1.0
epsilon_k[15],2.007,1.517,0.001,4.769,0.027,0.02,3007.0,2845.0,1.0
epsilon_k[16],2.107,1.557,0.002,4.894,0.024,0.017,3790.0,2789.0,1.0
epsilon_k[17],1.744,1.403,0.0,4.307,0.03,0.025,2939.0,1245.0,1.0
k_r,0.019,0.014,-0.007,0.044,0.0,0.0,1488.0,1967.0,1.0
k_s,0.039,0.022,0.0,0.076,0.001,0.0,1640.0,2098.0,1.0
l_s,0.004,0.005,0.0,0.012,0.0,0.0,4982.0,4059.0,1.0
mu_p[0],0.176,0.033,0.118,0.24,0.0,0.0,4913.0,5059.0,1.0
mu_p[1],-0.115,0.039,-0.186,-0.04,0.001,0.0,5801.0,3963.0,1.0
mu_p[2],-0.188,0.03,-0.244,-0.129,0.0,0.0,4199.0,4404.0,1.0
mu_p[3],0.295,0.126,0.062,0.533,0.002,0.001,4640.0,4241.0,1.0
mu_p[4],0.11,0.039,0.036,0.178,0.001,0.001,2155.0,1522.0,1.0
mu_p[5],-0.188,0.056,-0.293,-0.084,0.001,0.001,4333.0,3439.0,1.0
mu_p[6],0.331,0.098,0.159,0.52,0.001,0.001,4775.0,4873.0,1.0
