,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],1.125,0.265,0.655,1.634,0.011,0.008,533.0,1094.0,1.01
epsilon[1],0.941,0.224,0.519,1.345,0.01,0.007,532.0,910.0,1.01
epsilon[2],0.595,0.139,0.335,0.844,0.006,0.004,534.0,1037.0,1.01
epsilon[3],1.023,0.244,0.588,1.49,0.01,0.007,520.0,1106.0,1.01
epsilon[4],10.778,1.922,7.11,14.323,0.07,0.049,743.0,1264.0,1.0
epsilon[5],1.173,0.284,0.674,1.721,0.012,0.008,581.0,1163.0,1.01
epsilon[6],1.039,0.244,0.614,1.516,0.01,0.007,542.0,1008.0,1.01
epsilon[7],1.485,0.359,0.846,2.16,0.015,0.011,555.0,1094.0,1.01
epsilon[8],0.766,0.18,0.438,1.105,0.008,0.005,553.0,1097.0,1.01
epsilon[9],1.616,0.392,0.94,2.379,0.016,0.011,560.0,1153.0,1.01
epsilon[10],1.122,0.264,0.669,1.63,0.011,0.008,538.0,1055.0,1.01
epsilon[11],1.015,0.236,0.58,1.455,0.01,0.007,567.0,1158.0,1.01
epsilon[12],1.525,0.368,0.856,2.209,0.015,0.011,553.0,987.0,1.01
epsilon[13],0.688,0.161,0.4,0.991,0.007,0.005,565.0,958.0,1.01
epsilon[14],1.318,0.319,0.751,1.918,0.013,0.009,554.0,1037.0,1.01
epsilon[15],0.929,0.219,0.52,1.32,0.009,0.006,543.0,1088.0,1.01
epsilon[16],0.596,0.138,0.34,0.847,0.006,0.004,502.0,918.0,1.01
epsilon[17],1.326,0.317,0.765,1.948,0.013,0.009,565.0,1224.0,1.01
epsilon_k[0],2.753,1.876,0.001,6.061,0.029,0.02,3475.0,2531.0,1.0
epsilon_k[1],1.974,1.619,0.001,4.944,0.022,0.016,3914.0,3282.0,1.0
epsilon_k[2],1.876,1.538,0.0,4.692,0.02,0.014,4164.0,2797.0,1.0
epsilon_k[3],2.483,1.773,0.0,5.631,0.027,0.019,3475.0,3357.0,1.0
epsilon_k[4],2.149,1.692,0.002,5.256,0.021,0.015,4197.0,2823.0,1.0
epsilon_k[5],2.12,1.632,0.001,5.058,0.021,0.015,4464.0,3005.0,1.0
epsilon_k[6],2.271,1.776,0.0,5.464,0.044,0.041,2272.0,1303.0,1.0
epsilon_k[7],2.051,1.585,0.0,4.896,0.021,0.015,3422.0,2226.0,1.0
epsilon_k[8],1.954,1.557,0.0,4.816,0.019,0.013,4253.0,2770.0,1.0
epsilon_k[9],1.878,1.58,0.0,4.8,0.021,0.015,3642.0,2657.0,1.0
epsilon_k[10],1.983,1.605,0.001,4.915,0.021,0.015,4434.0,3426.0,1.0
epsilon_k[11],2.088,1.568,0.005,4.985,0.026,0.019,2951.0,2717.0,1.0
epsilon_k[12],2.817,1.912,0.005,6.159,0.029,0.021,2848.0,2256.0,1.0
epsilon_k[13],2.1,1.615,0.001,5.0,0.024,0.017,3692.0,2601.0,1.0
epsilon_k[14],2.402,1.719,0.006,5.455,0.024,0.017,3935.0,3045.0,1.0
epsilon_k[15],2.365,1.738,0.0,5.4,0.021,0.015,4714.0,2987.0,1.0
epsilon_k[16],2.021,1.559,0.001,4.802,0.02,0.014,4599.0,3046.0,1.0
epsilon_k[17],1.799,1.478,0.001,4.504,0.021,0.015,4087.0,3007.0,1.0
k_r,0.01,0.008,-0.001,0.025,0.0,0.0,1277.0,1302.0,1.0
k_s,0.015,0.011,0.0,0.034,0.0,0.0,1259.0,876.0,1.01
l_s,0.019,0.014,0.0,0.043,0.0,0.0,2248.0,1846.0,1.0
mu_p[0],-0.024,0.036,-0.09,0.044,0.001,0.001,3956.0,3558.0,1.0
mu_p[1],-0.125,0.047,-0.218,-0.041,0.001,0.0,6379.0,4204.0,1.0
mu_p[2],-0.108,0.027,-0.16,-0.057,0.0,0.0,4532.0,2720.0,1.0
mu_p[3],0.028,0.034,-0.038,0.088,0.001,0.0,3642.0,3776.0,1.0
mu_p[4],0.112,0.634,-1.105,1.324,0.009,0.009,5273.0,3839.0,1.0
mu_p[5],-0.037,0.067,-0.167,0.085,0.001,0.001,5064.0,3656.0,1.0
