rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale,reliable,experiment,ic_type,model
0,-1986.9902147585908,66.3579638408221,0.0,0.5420722515384511,156.9322171952543,0.0,False,deviance,True,Baseline,loo,Experimentwise
1,-1986.754627082984,66.53756213066413,0.23558767560711402,0.0,156.96831188061807,0.4328722807389958,True,deviance,False,Baseline,loo,NULL
2,-1986.5039077702124,71.67225147930264,0.4863069883781428,0.3960940977349805,157.1748363850621,4.592030872368079,True,deviance,False,Baseline,loo,EncodingOnly
3,-1985.0892461587696,68.17719575325395,1.900968599821308,1.3305346800697648e-16,156.75306428021796,1.6926218843422707,True,deviance,False,Baseline,loo,ReproductionOnly
4,-1984.8585957480223,73.396677015352,2.1316190105682953,0.06183365072656832,157.1433924870988,5.386074470239405,True,deviance,False,Baseline,loo,FreeParameters
0,1014.7208892376163,69.91814677751819,0.0,1.4286435499170336e-15,127.06040570674874,0.0,False,deviance,True,Encoding,loo,EncodingOnly
1,1014.7973388603854,69.91762339483068,0.07644962276908274,0.8161676691905969,127.055491101979,0.5182140589009382,True,deviance,False,Encoding,loo,Experimentwise
2,1017.1148112015037,72.19249760789916,2.3939219638875997,2.0503941351879694e-14,127.08016989195897,1.5141479950675438,False,deviance,True,Encoding,loo,FreeParameters
3,1061.7804518723065,63.52558213672626,47.05956263469036,0.18383233080942857,126.264319689111,17.80872112916539,False,deviance,True,Encoding,loo,ReproductionOnly
4,1080.9820202540707,56.18028222237308,66.26113101645433,0.0,126.42569643190717,18.337586615102786,False,deviance,True,Encoding,loo,NULL
0,-1182.9823270711493,73.73902182073914,0.0,0.8032682581780315,139.51916296839732,0.0,False,deviance,True,Reproduction,loo,FreeParameters
1,-1181.402638862146,72.27806235216087,1.5796882090032476,0.11748099903717511,139.67867745725746,3.4939572901522107,False,deviance,True,Reproduction,loo,ReproductionOnly
2,-1180.9916864575353,72.3558017146787,1.9906406136140369,1.2881237419813546e-15,139.63990459807823,3.4917628239846796,False,deviance,True,Reproduction,loo,Experimentwise
3,-1130.8016614623184,62.27197664707751,52.18066560883071,0.07925074278479464,139.46845627453874,15.761883939058814,False,deviance,True,Reproduction,loo,NULL
4,-1126.477877459937,64.08125486303891,56.50444961121234,0.0,139.43317851613094,15.876784130450723,False,deviance,True,Reproduction,loo,EncodingOnly
0,-1111.0493494048058,86.39438800269738,0.0,0.5702709295829158,169.64306295722955,0.0,True,deviance,False,Both,loo,Experimentwise
1,-1110.6435772263883,86.47690744694432,0.4057721784176227,2.3635745781537592e-15,169.7378483358596,0.39788368561156934,True,deviance,False,Both,loo,FreeParameters
2,-1109.4327200736952,83.98405448449148,1.6166293311106372,0.3330504740647217,170.0983878806031,5.895884600291378,True,deviance,False,Both,loo,ReproductionOnly
3,-1108.7529606416485,84.12077466315384,2.2963887631574345,3.031856539651894e-14,169.44767737854843,3.648450529273538,True,deviance,False,Both,loo,EncodingOnly
4,-1078.193512130143,75.83501703128809,32.85583727466261,0.09667859635232989,169.78477778227682,13.672062545509533,True,deviance,False,Both,loo,NULL
0,-3956.298910842517,80.43488797438931,0.0,0.770119811938386,204.03434863780083,0.0,False,deviance,True,Both_gap,loo,Experimentwise
1,-3955.8545306008173,80.65471015061894,0.4443802416994824,0.0,204.04518661185404,0.33075531156170673,False,deviance,True,Both_gap,loo,FreeParameters
2,-3928.2095470862696,75.94426280718312,28.089363756247188,1.3452417352988185e-12,204.51579934805434,11.792259066776278,False,deviance,True,Both_gap,loo,EncodingOnly
3,-3906.4493866699067,74.98907670663948,49.84952417261017,0.1928843663471367,203.97797890474575,19.11660112237875,False,deviance,True,Both_gap,loo,ReproductionOnly
4,-3562.9285901701082,63.02154345558279,393.3703206724088,0.03699582171313209,203.66210560441687,40.90182668097997,False,deviance,True,Both_gap,loo,NULL
