,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.558,0.541,1.555,3.555,0.018,0.012,935.0,1586.0,1.0
epsilon[1],2.106,0.447,1.331,2.992,0.015,0.011,862.0,1557.0,1.0
epsilon[2],2.848,0.613,1.748,3.998,0.02,0.014,923.0,1535.0,1.0
epsilon[3],1.844,0.392,1.135,2.575,0.012,0.009,952.0,1482.0,1.0
epsilon[4],4.201,0.951,2.569,5.995,0.034,0.024,718.0,1684.0,1.0
epsilon[5],2.698,0.576,1.663,3.787,0.019,0.013,940.0,1439.0,1.0
epsilon[6],3.375,0.743,2.07,4.789,0.026,0.018,792.0,1880.0,1.0
epsilon[7],2.315,0.49,1.455,3.271,0.015,0.011,988.0,1532.0,1.0
epsilon[8],2.731,0.579,1.68,3.809,0.019,0.014,883.0,1685.0,1.0
epsilon[9],2.466,0.522,1.534,3.456,0.017,0.012,913.0,1591.0,1.0
epsilon[10],1.808,0.387,1.112,2.54,0.013,0.009,814.0,1538.0,1.0
epsilon[11],2.154,0.461,1.35,3.019,0.015,0.011,864.0,1543.0,1.0
epsilon[12],3.527,0.745,2.222,4.976,0.024,0.017,928.0,1374.0,1.0
epsilon[13],3.089,0.657,1.877,4.319,0.02,0.014,1016.0,1549.0,1.0
epsilon[14],2.196,0.476,1.364,3.097,0.016,0.011,804.0,508.0,1.0
epsilon[15],2.866,0.613,1.742,3.984,0.021,0.015,843.0,1576.0,1.0
epsilon_k[0],0.796,0.665,0.0,1.986,0.009,0.006,4284.0,3320.0,1.0
epsilon_k[1],2.623,1.17,0.489,4.815,0.021,0.015,2671.0,2372.0,1.0
epsilon_k[2],0.904,0.743,0.0,2.252,0.016,0.013,2436.0,2795.0,1.0
epsilon_k[3],0.786,0.629,0.0,1.915,0.009,0.006,4387.0,3509.0,1.0
epsilon_k[4],1.861,1.171,0.004,3.873,0.027,0.019,1834.0,3522.0,1.0
epsilon_k[5],2.024,1.098,0.016,3.873,0.015,0.011,4548.0,3005.0,1.0
epsilon_k[6],3.531,1.449,0.926,6.247,0.033,0.024,2063.0,2839.0,1.0
epsilon_k[7],0.515,0.474,0.001,1.384,0.007,0.005,2885.0,3895.0,1.0
epsilon_k[8],2.191,1.156,0.058,4.206,0.021,0.015,2992.0,3193.0,1.0
epsilon_k[9],5.351,1.518,2.661,8.236,0.025,0.018,3576.0,3591.0,1.0
epsilon_k[10],0.991,0.717,0.0,2.27,0.011,0.008,3930.0,3698.0,1.0
epsilon_k[11],1.647,0.97,0.0,3.297,0.028,0.02,716.0,192.0,1.0
epsilon_k[12],2.741,1.417,0.121,5.14,0.021,0.015,3979.0,3092.0,1.0
epsilon_k[13],1.529,0.984,0.001,3.218,0.02,0.014,1785.0,1022.0,1.0
epsilon_k[14],2.823,1.283,0.492,5.252,0.017,0.012,5013.0,3757.0,1.0
epsilon_k[15],3.581,1.464,0.892,6.273,0.03,0.027,3047.0,2926.0,1.0
k_r,0.021,0.008,0.009,0.035,0.0,0.0,671.0,157.0,1.01
k_s,0.013,0.011,0.0,0.034,0.001,0.001,584.0,170.0,1.01
l_s,0.025,0.016,0.0,0.052,0.0,0.0,2700.0,2411.0,1.0
mu_p[0],-0.078,0.025,-0.127,-0.035,0.0,0.0,4035.0,5800.0,1.0
mu_p[1],-0.129,0.03,-0.187,-0.073,0.0,0.0,5578.0,3996.0,1.0
mu_p[2],-0.159,0.035,-0.227,-0.098,0.001,0.0,4062.0,4915.0,1.0
mu_p[3],0.006,0.022,-0.039,0.045,0.001,0.001,1151.0,772.0,1.0
mu_p[4],0.117,0.096,-0.057,0.305,0.002,0.001,3312.0,4049.0,1.0
mu_p[5],0.017,0.03,-0.038,0.075,0.0,0.0,6204.0,4551.0,1.0
mu_p[6],-0.19,0.074,-0.336,-0.055,0.001,0.001,5431.0,3215.0,1.0
mu_p[7],0.091,0.02,0.054,0.128,0.0,0.0,2969.0,4409.0,1.0
mu_p[8],-0.069,0.036,-0.138,-0.006,0.001,0.0,4529.0,5787.0,1.0
mu_p[9],-0.157,0.038,-0.226,-0.087,0.001,0.001,1768.0,4935.0,1.0
mu_p[10],0.052,0.023,0.006,0.094,0.0,0.0,7087.0,4368.0,1.0
mu_p[11],0.055,0.027,0.001,0.103,0.001,0.001,742.0,209.0,1.0
mu_p[12],-0.493,0.065,-0.623,-0.38,0.001,0.001,2620.0,660.0,1.0
mu_p[13],0.135,0.04,0.061,0.213,0.001,0.0,5403.0,2742.0,1.0
mu_p[14],-0.355,0.049,-0.446,-0.263,0.001,0.0,7544.0,4823.0,1.0
mu_p[15],-0.412,0.057,-0.517,-0.305,0.001,0.001,6012.0,4787.0,1.0
sig_n,0.002,0.001,0.001,0.004,0.0,0.0,664.0,805.0,1.0
var_p,0.031,0.007,0.02,0.043,0.0,0.0,854.0,1302.0,1.0
var_s[0],0.145,0.02,0.112,0.183,0.0,0.0,1531.0,1017.0,1.0
var_s[1],0.105,0.013,0.082,0.13,0.0,0.0,1120.0,850.0,1.01
var_s[2],0.079,0.009,0.063,0.096,0.0,0.0,2016.0,2927.0,1.0
var_s[3],0.092,0.01,0.073,0.112,0.0,0.0,9040.0,4587.0,1.0
var_s[4],0.018,0.002,0.015,0.023,0.0,0.0,1042.0,462.0,1.0
var_s[5],0.142,0.018,0.108,0.175,0.0,0.0,1812.0,2789.0,1.0
var_s[6],0.032,0.004,0.025,0.038,0.0,0.0,3088.0,4856.0,1.0
var_s[7],0.21,0.033,0.154,0.271,0.001,0.0,3995.0,4463.0,1.0
var_s[8],0.099,0.012,0.077,0.122,0.0,0.0,5272.0,5634.0,1.0
var_s[9],0.087,0.011,0.066,0.108,0.0,0.0,6378.0,6069.0,1.0
var_s[10],0.07,0.007,0.058,0.084,0.0,0.0,4530.0,4853.0,1.0
var_s[11],0.12,0.014,0.095,0.147,0.0,0.0,8394.0,5450.0,1.0
var_s[12],0.08,0.01,0.062,0.098,0.0,0.0,2472.0,548.0,1.0
var_s[13],0.059,0.006,0.047,0.07,0.0,0.0,1065.0,206.0,1.0
var_s[14],0.046,0.005,0.037,0.056,0.0,0.0,1809.0,566.0,1.0
var_s[15],0.06,0.007,0.047,0.073,0.0,0.0,1963.0,2707.0,1.0
